query,query_type,vanilla,agentic,agentic-graph,graphrag,oracle_pipeline,oracle_f1
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,0.4000000000000001,0.0,0.0,0.6555666666666666,graphrag,0.6555666666666666
"For the Skyrunner-T1 test configuration, how is the FCC’s duplex single-LRU architecture derived from the platform-dependent independent-lane requirement?",1-hop,0.5714,0.6667,0.6793666666666667,0.6052666666666667,agentic-graph,0.6793666666666667
"For the battery maintenance interface, what authentication must be enforced before any diagnostics, firmware updates, or calibration actions are permitted?",2-hop,1.0,0.0,0.0,1.0,vanilla,1.0
"For the flight data recorder’s mandatory engine-parameter logging, which engine status message fields must be captured, and at what recorder rate versus publication rate?",2-hop,0.7857,0.0,0.19046666666666667,0.6944666666666667,vanilla,0.7857
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",2-hop,0.8380666666666666,0.8380666666666666,0.8571,0.8571,agentic-graph,0.8571
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",2-hop,0.7555666666666667,0.5666666666666668,0.5,1.0,graphrag,1.0
How are authenticated operator mode-change commands from the ground station routed through the data link to engage autopilot modes requiring explicit operator authorization?,2-hop,0.27776666666666666,0.24336666666666665,0.0,0.3636,graphrag,0.3636
How are the inertial-measurement structural-notch filters validated using ground-vibration data and in-flight flutter testing to show adequate damping through the required flutter-clearance margin?,2-hop,0.7222333333333334,0.7222333333333334,0.75,0.6667,agentic-graph,0.75
How are the notch filters on inertial measurements derived from validated ground-vibration modal data and then verified before flutter-clearance flight testing?,2-hop,0.6667,0.6944666666666667,0.6667,0.6667,agentic,0.6944666666666667
"How do lateral-guidance accuracy requirements constrain autopilot roll and throttle targets through the FCC flight-control command limits across enroute, terminal, and approach phases?",2-hop,0.6627,0.20873333333333333,0.4444000000000001,0.5666666666666667,vanilla,0.6627
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,3+-hop,0.20133333333333334,0.29209999999999997,0.34496666666666664,0.3376333333333333,agentic-graph,0.34496666666666664
"How do the automated control functions trace through security and emergency management constraints to the cockpit display behavior, and what end-to-end dependency does that imply?",3+-hop,0.0,0.0,0.0,0.0,vanilla,0.0
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,3+-hop,0.6944666666666667,0.5079333333333333,0.6190333333333333,0.5707333333333333,vanilla,0.6944666666666667
"How do the autonomous control requirements trace through security constraints into emergency management behavior, and which security requirement closes the loop back into the autonomy design?",3+-hop,0.38786666666666664,0.21480000000000002,0.14073333333333335,0.3111,vanilla,0.38786666666666664
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",2-hop,0.46293333333333336,0.19046666666666667,0.3555333333333333,0.3275333333333333,vanilla,0.46293333333333336
How do the emergency management constraints propagate through power allocation and navigation dependencies to determine the final command/data link behavior?,3+-hop,0.0,0.0,0.13756666666666667,0.0,agentic-graph,0.13756666666666667
How do the navigation power allocation constraints propagate through the command/data link back into power management and ultimately affect the flight control computer interface requirements?,3+-hop,0.0,0.0,0.0,0.0,vanilla,0.0
"How does in-field LRU firmware updating ensure only signed loads are accepted, and during INIT how is an expired navigation database revision rejected?",2-hop,0.8571,0.5166666666666667,0.0,0.6667,vanilla,0.8571
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",1-hop,0.5714,0.7000000000000001,0.7904666666666667,0.46293333333333336,agentic-graph,0.7904666666666667
How does payload-bay thermal management need to accommodate the SAR’s platform-specific steady-state and transmit-pulse power loads while keeping sensor electronics within operating range?,2-hop,0.75,0.8214,0.75,0.6944666666666667,agentic,0.8214
How does the APM guidance requirement trace through security and built-in test constraints into flight-control behavior and ultimately the landing subsystem requirement?,3+-hop,0.0,0.0,0.0,0.0,vanilla,0.0
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,2-hop,0.8571,0.6349333333333332,0.6071333333333334,0.7000000000000001,vanilla,0.8571
"How does the GPS requirement trace through inertial navigation to the downstream GPS dependency and back into INS, and what end-to-end dependency does that establish?",3+-hop,0.0,0.15813333333333332,0.24146666666666664,0.0,agentic-graph,0.24146666666666664
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,2-hop,0.8571,0.6666333333333333,0.6746,0.9047333333333333,graphrag,0.9047333333333333
How does the Skyrunner-T1 hybrid-mode test requirement refine the higher-level navigation-mode accuracy and output requirement?,1-hop,0.8666666666666667,0.7555666666666667,0.7555666666666667,0.6667,vanilla,0.8666666666666667
How does the application process requirement trace through security and built-in test constraints to the ground control station capability it ultimately depends on?,3+-hop,0.6667,0.6424333333333333,0.5308999999999999,0.8296333333333333,graphrag,0.8296333333333333
"How does the autonomous function’s top-level requirement trace through radar interface constraints and back to its originating autonomy requirement, and what end-to-end obligation does that imply?",3+-hop,0.6444666666666666,0.2222333333333333,0.2222333333333333,0.6263,vanilla,0.6444666666666666
How does the command path from the ground station to the flight control computer ensure invalid commands are rejected before reaching the control laws?,2-hop,0.5,0.35713333333333336,0.3174333333333333,0.6263,graphrag,0.6263
"How does the command-validation discipline ensure unauthenticated, replayed, stale, or out-of-sequence ground commands are rejected before reaching the flight control laws?",2-hop,0.5,0.3174333333333333,0.33966666666666673,0.4615,vanilla,0.5
"How does the control data link requirement propagate through flight control and flight management into the pilot interface, and what end-to-end behavior must the cockpit display present?",3+-hop,0.23146666666666668,0.08333333333333333,0.060599999999999994,0.4000000000000001,graphrag,0.4000000000000001
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",3+-hop,0.0,0.0,0.0,0.41480000000000006,graphrag,0.41480000000000006
"How does the flight control computer’s referenced requirement propagate through flight data recording and navigation logic to the underlying GPS requirement, and what end-to-end behavior is mandated?",3+-hop,0.0,0.0,0.0,0.05126666666666666,graphrag,0.05126666666666666
"How does the flight control function depend on power support through navigation and ultimately inertial sensing, and what end-to-end behavior is required across those subsystems?",3+-hop,0.0,0.0,0.0,0.0,vanilla,0.0
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",3+-hop,0.8426,0.23446666666666668,0.13466666666666668,0.5666666666666667,vanilla,0.8426
"How does the fuel-system requirement trace through data loading and flight-control software to the final data-loader constraint, and what end-to-end dependency does that establish?",3+-hop,0.0,0.0,0.0,0.0,vanilla,0.0
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",3+-hop,0.0,0.07406666666666667,0.19526666666666667,0.0,agentic-graph,0.19526666666666667
How does the ground-vibration test’s identified modal model determine the notch-filter frequencies and widths applied to inertial measurements before inner-loop control?,2-hop,0.7857,0.6111,0.7857,0.6667,vanilla,0.7857
"How does the payload’s structural interface flow down through the data link and command/telemetry link into the communications subsystem, and what end-to-end constraints must remain consistent?",3+-hop,0.0,0.0,0.0,0.0,vanilla,0.0
"How does the power management requirement ultimately trace through autonomy and emergency management to the flight data recording obligation, and what end-to-end behavior must be captured?",3+-hop,0.0,0.060599999999999994,0.04763333333333333,0.0,agentic,0.060599999999999994
"How does the power requirement for the GPS path flow through the intermediate power and inertial references back to the originating power constraint, and what end-to-end obligation results?",3+-hop,0.5476,0.39053333333333334,0.5168,0.4444000000000001,vanilla,0.5476
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,3+-hop,0.3636,0.25453333333333333,0.0,0.4664,graphrag,0.4664
"How does the security requirement propagate through built-in test and power into the instrumentation requirement, and what referenced security dependency must also be considered?",3+-hop,0.0,0.0,0.3666666666666667,0.0,agentic-graph,0.3666666666666667
How does the thermal control architecture referenced by the initial avionics power requirement ultimately constrain the downstream avionics power requirement reached at the end of the trace chain?,3+-hop,0.0,0.0,0.13333333333333333,0.0,agentic-graph,0.13333333333333333
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",2-hop,0.8571,0.8214,0.2857,0.47433333333333333,vanilla,0.8571
"How is a malformed GCS command screened against table-defined limits, sequence, and authentication before rejection and prevention of propagation into the control laws?",2-hop,0.6944666666666667,0.6667,0.6349333333333332,0.5356666666666666,vanilla,0.6944666666666667
"How is a suspected GPS spoofing event detected in the inertial filter, handled in navigation fusion, and propagated to security monitoring and logging?",2-hop,0.75,0.2740666666666667,0.25503333333333333,0.4538333333333333,vanilla,0.75
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",1-hop,0.6111333333333333,0.6238,0.5926,0.5714,agentic,0.6238
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",2-hop,0.8214,0.0,0.0,0.5175,vanilla,0.8214
"How is autonomous or operator-requested autopilot mode engagement authenticated over the data link, and what terminal cryptographic capability must support that protection?",2-hop,0.75,0.5714,0.5714,0.4615,vanilla,0.75
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,0.5476,0.4666666666666666,0.5,0.5,vanilla,0.5476
How is compliance shown that 10 Hz health-monitoring tasks do not cause the 50 Hz outer-loop guidance law to exceed its 95%-of-cycles 2 ms jitter limit?,2-hop,0.5714,0.6031666666666666,0.7301666666666667,0.7857,graphrag,0.7857
How is end-to-end DAA resolution coupling verified from intruder-profile injection through RA arming to autopilot engagement and correct rate-limited manoeuvre execution timing?,2-hop,0.6667,0.0,0.0,0.6444666666666666,vanilla,0.6667
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",2-hop,0.7857,0.6031666666666666,0.6667,0.6667,vanilla,0.7857
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,2-hop,0.5555666666666667,0.09523333333333334,0.5833333333333334,0.7936333333333333,graphrag,0.7936333333333333
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,1-hop,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.5793666666666667,vanilla,0.8000000000000002
How is the 30-minute battery discharge endurance test tied to the lost-link return-to-base mission profile and associated essential/emergency bus loads?,2-hop,0.6444666666666666,0.0,0.0,0.5455,vanilla,0.6444666666666666
How is the EOIR geolocation accuracy flight test tied to the navigation solution’s WGS-84 position output and synchronized MGRS display representation?,2-hop,0.9047333333333333,0.0,0.0,1.0,graphrag,1.0
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,2-hop,0.5,0.4000000000000001,0.3952333333333333,0.4444000000000001,vanilla,0.5
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,1-hop,0.6031666666666666,0.0,0.0,0.6031666666666666,vanilla,0.6031666666666666
How is the flight control computer’s 50 ms power-interruption continuity requirement shown compliant through the power hold-up provision and its Category Z verification testing?,2-hop,0.8571,0.4867333333333333,0.4219333333333333,0.75,vanilla,0.8571
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,0.2857,0.2222333333333333,0.0,0.6667,graphrag,0.6667
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.8000000000000002,vanilla,0.8000000000000002
"How is the power subsystem’s APU load-transfer command sequence validated across sea-level and 44,000‑ft conditions to ensure timely ready acknowledgement before transfer?",2-hop,0.75,0.0,0.0,0.7222333333333334,vanilla,0.75
How must the FCC’s 10 Hz background BIT scheduling preserve compliance with the inner-loop 200 Hz jitter requirement?,1-hop,0.7555666666666667,1.0,0.9333333333333332,0.5714,agentic,1.0
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",2-hop,0.2857,0.5,0.40633333333333327,0.5926,graphrag,0.5926
"If a condition escalates to WARNING, how quickly must the ground station annunciate it, and what audio cue and repeat behavior are required?",2-hop,1.0,0.8889,0.5555666666666667,1.0,vanilla,1.0
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",2-hop,0.4285666666666667,0.5926,0.48146666666666665,0.5455,agentic,0.5926
"If external GNSS aiding is invoked through maintenance, what authentication and which maintenance interface requirements govern using the APM ground-maintenance port?",2-hop,0.8571,0.8000000000000002,0.8000000000000002,0.8571,vanilla,0.8571
"If navigation flags spoofed GPS or INS inputs and deweights them, how is the resulting cyber incident prioritized by emergency management and what operator action follows?",2-hop,0.4444000000000001,0.36190000000000005,0.3555333333333333,0.7936333333333333,graphrag,0.7936333333333333
"If primary aircraft power drops out for 50 ms, how do the FCC hold-up requirement, essential-bus energy provision, and GNSS ride-through capability align?",2-hop,0.5714,0.6260666666666667,0.6318333333333334,0.3757333333333333,agentic-graph,0.6318333333333334
"If spoofing is suspected, how are GPS updates and aircraft control affected, and which monitoring and incident-response actions must follow?",2-hop,0.2738,0.11109999999999999,0.0,0.47433333333333333,graphrag,0.47433333333333333
"If the GCS sends a COMM tuning/PTT command over the datalink, what command range, bus, and maximum dispatch rate govern its routing through the CDL?",2-hop,0.9523666666666667,0.7555666666666667,0.7000000000000001,0.5926,vanilla,0.9523666666666667
"If the GNSS receiver suspects jamming but can still track some satellites, how should NAV fusion treat GPS measurements and what security-monitor coordination is required?",2-hop,0.9047333333333333,0.6666333333333333,0.6031666666666666,0.6944666666666667,vanilla,0.9047333333333333
"If the command link is lost long enough to trigger return-to-base, can the aircraft autonomously use the current operator-updated rally point without prior operator engagement?",2-hop,0.5714,0.13333333333333333,0.6031666666666666,0.6667,graphrag,0.6667
"If the ground station sends FCC-directed commands at 20 Hz, how are invalid ranges, rates, sequence numbers, and unknown targets handled before reaching control laws?",2-hop,0.6667,0.3174333333333333,0.35000000000000003,0.6667,vanilla,0.6667
"If the operator commands autonomous-flight mode engagement from the ground station, how must the command be routed, and which modes still require explicit authenticated engagement?",2-hop,0.23146666666666668,0.2526333333333333,0.23146666666666668,0.3636,graphrag,0.3636
"If the primary INS attitude stream degrades below required rate or validity, how quickly must the FCC switch to the backup GPS-aided AHRS to maintain flight-control attitude input?",2-hop,0.7555666666666667,0.9523666666666667,1.0,0.8000000000000002,agentic-graph,1.0
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,0.9333333333333332,0.26666666666666666,0.3333333333333333,0.8666666666666667,vanilla,0.9333333333333332
"In NAV mode, does the inertial unit’s 200 Hz output to the flight control computer satisfy the computer’s inertial data input rate and latency requirement?",1-hop,0.8666666666666667,0.33966666666666673,0.4000000000000001,0.8000000000000002,vanilla,0.8666666666666667
"In approach mode, if a pilot override disconnects the autopilot, what guidance-source context and mode-transition details must the flight data recorder capture?",2-hop,0.3333,0.4127,0.5555666666666667,0.6349333333333332,graphrag,0.6349333333333332
"In approach mode, what guidance source must the flight control computer accept, and what deviation data must the FMS provide to support it?",1-hop,0.6667,0.5,0.43333333333333335,0.6667,vanilla,0.6667
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",2-hop,0.8571,0.0,0.0,0.75,vanilla,0.8571
"In ground mode, what requirement defines the authorized control-surface command path, and which ground system requirement implements that interface?",1-hop,1.0,1.0,1.0,1.0,vanilla,1.0
"In linked mode, what ground-station command latency supports the command-data link’s 20 Hz command reception and downstream routing?",1-hop,0.5,0.3333333333333333,0.43333333333333335,0.6667,graphrag,0.6667
"In the 60-minute HIL recorder coverage check, how is compliance shown for the autopilot mode parameter sourced from the autopilot annunciation output at 2 Hz?",2-hop,0.37776666666666664,0.5078999999999999,0.3333,0.36190000000000005,agentic,0.5078999999999999
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",2-hop,1.0,0.3952333333333333,0.35000000000000003,0.9523666666666667,vanilla,1.0
"Through the flight control and command/data link chain into autonomy, what security requirement ultimately constrains the referenced function, and how is that trace propagated end-to-end?",3+-hop,0.0,0.15,0.1963,0.04763333333333333,agentic-graph,0.1963
"Under what aircraft conditions may the FCC maintenance Ethernet port be used, and what multifactor operator authentication must be completed before any maintenance commands are accepted?",2-hop,0.8571,0.6667,0.6667,0.8571,vanilla,0.8571
Under what fine-align and GPS-fix conditions will the INS enter NAV so GNSS velocity can support the autopilot’s ±0.5° track-hold requirement?,2-hop,0.6667,0.38093333333333335,0.25503333333333333,0.8214,graphrag,0.8214
Under what on-ground conditions is the recorder’s post-flight Ethernet retrieval interface available to maintenance personnel?,2-hop,0.6667,0.7936333333333333,0.7936333333333333,0.9047333333333333,graphrag,0.9047333333333333
"What APU health and battery data must the recorder capture, and at what rates during normal operation versus around an APM fault transition?",2-hop,0.8571,0.9047333333333333,0.6190333333333333,0.8571,agentic,0.9047333333333333
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",1-hop,0.8000000000000002,0.6667,0.8000000000000002,0.8000000000000002,vanilla,0.8000000000000002
What GNSS timing output and validity conditions support the data link terminal’s 1 µs network time alignment requirement?,1-hop,0.7111333333333333,0.6667,0.7111333333333333,0.5714,vanilla,0.7111333333333333
What HMI controls and indications must support authorising entry into EOIR designate mode for laser operation?,1-hop,0.6667,0.6667,0.4127,0.5238,vanilla,0.6667
What INS 1-sigma attitude accuracy values define the navigation fusion residual threshold for dual-INS arbitration in GPS-aided cruise and turning?,1-hop,1.0,0.9333333333333332,1.0,1.0,vanilla,1.0
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,2-hop,0.5714,0.0,0.25,0.4867333333333333,vanilla,0.5714
What autopilot DAA advisory behavior must be available for presentation as traffic on the navigation display?,1-hop,0.6031666666666666,0.5396666666666666,0.16666666666666666,0.5476,vanilla,0.6031666666666666
"What cryptographic authentication must the APM use when accepting autopilot mode engagement requests, and which autonomous modes are exempt from explicit operator engagement?",2-hop,0.8856999999999999,0.48889999999999995,0.4190333333333333,0.6222333333333333,vanilla,0.8856999999999999
"What end-to-end requirement flow links the security constraint to the final auto-function behavior, and how do the flight-control and data-link provisions propagate that constraint across subsystems?",3+-hop,0.0,0.13333333333333333,0.09523333333333334,0.0,agentic,0.13333333333333333
"What flight control computer behavior, as referenced by cockpit display logic and lighting requirements, ultimately satisfies the applicable security requirement?",3+-hop,0.0,0.0,0.0,0.33966666666666673,graphrag,0.33966666666666673
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",3+-hop,0.0,0.0,0.0,0.2867,graphrag,0.2867
What flight-test evidence demonstrates that hybrid-navigation accuracy supports the FMS’s enroute RNP lateral-guidance containment target when GPS/SBAS is available?,2-hop,0.8571,0.9333333333333332,0.9333333333333332,0.9523666666666667,graphrag,0.9523666666666667
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,1.0,0.0,0.0,1.0,vanilla,1.0
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,1-hop,0.6667,0.26666666666666666,0.26666666666666666,0.6667,vanilla,0.6667
What landing-gear weight-on-wheels discretes support the taxi-light ground-only inhibit and maintenance override behavior?,1-hop,0.6667,0.6349333333333332,0.7111333333333333,0.5714,agentic-graph,0.7111333333333333
What maintenance Ethernet port constraints and authentication conditions govern the FMS flight-plan upload/download interface?,1-hop,0.4444000000000001,0.48146666666666665,0.3333333333333333,0.4444000000000001,agentic,0.48146666666666665
"What message definition table governs the 1 Hz primary-bus APM status broadcast, and what fields must that status message contain?",1-hop,1.0,1.0,0.6666666666666666,1.0,vanilla,1.0
What navigation time-synchronization service must the flight data recorder use to timestamp mandatory parameters in UTC at native sampling rates?,1-hop,1.0,0.5,0.5,0.8222333333333333,vanilla,1.0
What published payload status data must the flight data recorder timestamp and log for sensor and external-store events?,1-hop,0.8889,0.7666666666666666,0.6666666666666666,0.8000000000000002,vanilla,0.8889
