query,query_type,pipeline,embedder,reranker,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,graphrag,local,none,11635,1291,421,1712,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020;GPS-003;SAR-012;INS-004;EOIR-029;GPS-011;INS-020;NAV-020;PLD-014;AUTO-032;FCC-016,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020;GPS-003;SAR-012;INS-004;EOIR-029;GPS-011;INS-020;NAV-020;PLD-014;AUTO-032;FCC-016,15,0,,
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic-graph,local,none,26282,4340,1026,5366,NAV-010;WGS-84;NAV-020;NAV-008,NAV-016;NAV-010;NAV-008;NAV-C5;NAV-020,5,3,continue,semantic
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,vanilla,local,none,8336,566,329,895,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002,5,0,,
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,agentic,local,none,24596,4964,607,5571,FCC-023;EMS-006;FCC-009;FCC-010;FCC-050,EMS-006;FCC-009;ENG-008;EMS-034;EMS-004;FCC-023;ALX2-FCC-003;FCC-038;FCC-050;ALX2-FCC-002,10,3,continue,semantic
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,graphrag,local,none,10314,1374,334,1708,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002;EMS-006;FCC-010;EMS-034;APM-017;AUTO-009;BIT-024;EMS-020;ENG-010;EPS-001;FCC-006,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002;EMS-006;FCC-010;EMS-034;APM-017;AUTO-009;BIT-024;EMS-020;ENG-010;EPS-001;FCC-006,15,0,,
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,agentic-graph,local,none,29330,7469,715,8184,FCC-023;FCC-009;FCC-010;EMS-006;FCC-050,EMS-022;EMS-004;EMS-002;FCC-010;EMS-006;APM-017;TCS-012;FCC-023;FCC-002;FCC-050;FCC-009,11,3,continue,semantic
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,vanilla,local,none,12502,627,67,694,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005,5,0,,
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,agentic,local,none,27167,3768,550,4318,EMS-034;EMS-006,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005,5,3,continue,semantic
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,graphrag,local,none,10042,1655,252,1907,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005;EMS-002;FCC-009;EMS-004;AUTO-009;COMM-021;EMS-001;EMS-006;EMS-010;EMS-033;EPS-001,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005;EMS-002;FCC-009;EMS-004;AUTO-009;COMM-021;EMS-001;EMS-006;EMS-010;EMS-033;EPS-001,15,0,,
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,agentic-graph,local,none,22023,4398,527,4925,EMS-034,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005,5,3,continue,semantic
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,vanilla,local,none,-1,0,0,0,,,0,0,,
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic,local,none,-1,0,0,0,,,0,0,,
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,graphrag,local,none,17128,1629,298,1927,EMS-020;EMS-033;STR-002;INS-017;FCC-030;EMS-014;STR-008;EMS-007;FCC-009;FCC-010;FCC-021;FCC-049;FUEL-013;SEC-028;STR-024,EMS-020;EMS-033;STR-002;INS-017;FCC-030;EMS-014;STR-008;EMS-007;FCC-009;FCC-010;FCC-021;FCC-049;FUEL-013;SEC-028;STR-024,15,0,,
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic-graph,local,none,23979,4471,534,5005,STR-008;EMS-020;EMS-033,EMS-020;EMS-033;EMS-007;FCC-030;ENG-040,5,3,continue,semantic
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,vanilla,local,none,9125,823,247,1070,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003,5,0,,
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,agentic,local,none,30784,6200,1006,7206,ADS-001;ADS-023;ADS-024;ADS-014;FCC-037;FCC-040;FCC-007;FCC-050;FCC-038,ADS-004;ADS-001;ADS-023;ADS-024;ADS-014;FCC-037;FCC-040;FCC-007;FCC-050;FCC-038,10,3,continue,semantic
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,graphrag,local,none,10046,1833,266,2099,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003;SEC-012;GCS-004;EMS-024;FCC-005;FCC-009;FCC-011;FCC-012;FDR-045;SEC-017;SEC-019,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003;SEC-012;GCS-004;EMS-024;FCC-005;FCC-009;FCC-011;FCC-012;FDR-045;SEC-017;SEC-019,15,0,,
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,agentic-graph,local,none,32666,6311,755,7066,FCC-007;FCC-037;FCC-040,ADS-023;ADS-024;ADS-004;ADS-001;ADS-014;FCC-037;FCC-040;FCC-007;FCC-050;FCC-038,10,3,continue,semantic
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,vanilla,local,none,7408,557,173,730,HMI-020;ALX2-FCC-003;HMI-001;HMI-050;HMI-008,HMI-020;ALX2-FCC-003;HMI-001;HMI-050;HMI-008,5,0,,
