query,pipeline,repeat,query_type,judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
When did Mary Basset's father die?,graphrag,0,2-hop,2026-08-20,True,The claim that William Roper is Mary Basset’s father and that he died on 4 January 1578 is directly supported by the retrieved contexts.,2797
"Which film has the director who was born earlier, The Forbidden Trail or A Weaver Of Dreams?",graphrag,0,3+-hop,2026-08-20,True,Birth dates for both directors are explicitly stated in the contexts and the comparative claim is correctly inferred.,2077
"Which film has the director died later, The Wax Model or Khoon Ka Karz?",graphrag,0,3+-hop,2026-08-20,True,All claims about the directors and their death dates are directly supported by the contexts.,3241
"Are the movies The Urethra Chronicles and Starter For 10 (Film), from the same country?",graphrag,0,1-hop,2026-08-20,True,"The answer accurately matches the retrieved contexts, which state that The Urethra Chronicles is about an American band and Starter for 10 is a British film.",1336
"Which film has the director who was born earlier, Angélique, Marquise Des Anges or That Man George?",graphrag,0,3+-hop,2026-08-20,True,"All claims, including directors and their birthdates, are explicitly supported by the retrieved contexts.",1960
"Who lived longer, George F. Sowers or Henrietta Amelia Leeson?",graphrag,0,1-hop,2026-08-20,True,"Both individuals' lifespans are detailed in the contexts, with Leeson's birth year only given, and the claim about her living slightly longer is supported by the provided dates.",2281
Did Mitch Brian and Harry Kent (Cyclist) share the same nationality?,graphrag,0,1-hop,2026-08-20,True,The answer accurately reflects the information in the contexts about both individuals' nationalities.,1145
"Which film has the director who died later, Waiting For The Hearse or The Seventh Sword?",graphrag,0,3+-hop,2026-08-20,True,All claims about directors and their death dates are supported by the contexts.,1760
Who is Princess Elizabeth Of Greece And Denmark's maternal grandfather?,graphrag,0,2-hop,2026-08-20,True,All claims about Princess Elizabeth's maternal grandfather are supported in the retrieved contexts.,1328
What is the place of birth of Dianne Bentley's husband?,graphrag,0,2-hop,2026-08-20,True,Both claims about Dianne Bentley’s husband and his birthplace are directly supported by the provided contexts.,2201
What nationality is Sukhumala Marasri's father?,graphrag,0,2-hop,2026-08-20,False,"The answer claims her father's nationality is Siamese/Thai, but the contexts do not explicitly state 'Siamese' or 'Thai' as Mongkut's nationality.",1325
"Which magazine was founded first, Racing Toward Diversity or Lo Scolaro?",graphrag,0,1-hop,2026-08-20,True,Both magazine founding dates are explicitly stated in the retrieved contexts.,1521
"Which film was released earlier, Smiles Of A Summer Night or Two Idiots In Hollywood?",graphrag,0,1-hop,2026-08-20,True,The release years for both films are explicitly stated in the provided contexts.,1187
Did Charles Robinson (Raf Airman) and Terri Hooley share the same nationality?,graphrag,0,1-hop,2026-08-20,True,"The answer accurately reflects that only Charles Robinson’s nationality is explicit, and Terri Hooley’s is not specified in the contexts.",1275
Do both films All Souls (Film) and Atomised (Film) have the directors from the same country?,graphrag,0,3+-hop,2026-08-20,False,The answer claims both directors are German but Oskar Roehler's nationality is not explicitly stated in the retrieved contexts.,2358
Where was the director of film Death Of A Friend born?,graphrag,0,2-hop,2026-08-20,True,Both the director's identity and place of birth are explicitly stated in the retrieved contexts.,2615
Who is the spouse of the director of film Fire-Eater (Film)?,graphrag,0,2-hop,2026-08-20,True,"All claims in the answer are supported by the retrieved context, which states that Pirjo Honkasalo's partner is Pirkko Saisio but does not explicitly mention a spouse.",2014
"Which film has the director born later, No Dough Boys or The Punch And Judy Man?",graphrag,0,3+-hop,2026-08-20,True,All birth and director information is directly supported by the retrieved contexts.,2265
Are Saks Fifth Avenue and Warburg Pincus located in the same country?,graphrag,0,1-hop,2026-08-20,True,Both entities are described as being based in the United States in the retrieved contexts.,1170
Are the directors of films Jaco (Film) and Half A Bride both from the same country?,graphrag,0,3+-hop,2026-08-20,True,All factual claims are supported or carefully indicate where context is missing.,2019
"Which film has the director who died earlier, My Husband'S Other Wife or ¡Que Viene Mi Marido!?",graphrag,0,3+-hop,2026-08-20,True,All factual claims about directors and their death dates are directly supported by the retrieved contexts.,1450
Are Vivicca Whitsett and Pepa (Rapper) from the same country?,graphrag,0,1-hop,2026-08-20,True,Both are described as American in the retrieved contexts.,1344
"Which film came out first, Je L'Ai Été Trois Fois or Tamala 2010: A Punk Cat In Space?",graphrag,0,1-hop,2026-08-20,False,"The answer claims Tamala 2010: A Punk Cat in Space was released in 2002, but the retrieved contexts do not specify a release year for it.",1423
"Which film came out first, The Happy Life or King Arthur Was A Gentleman?",graphrag,0,1-hop,2026-08-20,True,Both film release years are explicitly stated in the contexts.,876
"Which film has the director who was born earlier, Time For Loving or Un'Altra Vita?",graphrag,0,3+-hop,2026-08-20,True,All claims about film directors and their birth dates are directly supported by the retrieved contexts.,2360
"Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?",graphrag,0,3+-hop,2026-08-20,True,All factual claims about directors and their birth dates are supported in the contexts.,1101
"Which film has the director who died first, The Squaw Man'S Son or Till We Meet Again (1936 Film)?",graphrag,0,3+-hop,2026-08-20,True,All factual claims about directors and their death dates are directly supported by the retrieved contexts.,1566
What is the place of birth of Marie Tomášová's husband?,graphrag,0,2-hop,2026-08-20,True,All claims about Otomar Krejča's identity and place of birth are supported directly by the retrieved contexts.,1845
Where did Eduardo Notari's mother die?,graphrag,0,2-hop,2026-08-20,True,The context [2W-058-P00] states that Elvira Notari died in Cava de' Tirreni.,2023
"Who is younger, Empress Xiaoshurui or Goran Veselinovski?",graphrag,0,1-hop,2026-08-20,True,All claims about birth dates and the conclusion are directly supported by the contexts.,1662
"Which film has the director who died earlier, A Medal For Benny or King Of Chinatown?",graphrag,0,3+-hop,2026-08-20,False,"The answer incorrectly states that King of Chinatown has the director who died earlier, but contexts show Irving Pichel (A Medal for Benny) died earlier than Nick Grinde (King of Chinatown), so it sho",2084
"Which film came out earlier, Painted Post (Film) or Katka'S Reinette Apples?",graphrag,0,1-hop,2026-08-20,True,"The retrieved contexts give the years of release for both films, clearly supporting the answer and its claims.",2146
"Who was born earlier, Ela Gandhi or Sebastián Borensztein?",graphrag,0,1-hop,2026-08-20,True,Both birth dates and the comparison are directly supported by the retrieved contexts.,2394
Was Dudley Russell or Juan René Serrano born first?,graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly supported by the retrieved contexts.,975
Are Bilthoven and Herveld both located in the same country?,graphrag,0,1-hop,2026-08-20,True,"Both contexts state the villages are in Dutch provinces, which supports that both are in the Netherlands.",1719
Who is the spouse of the director of film The Glass Boat?,graphrag,0,2-hop,2026-08-20,True,"The answer accurately cites that Constantin J. David is the director and is married to Käthe von Nagy, both fully supported by the retrieved context [2W-065-P00][2W-065-P02].",2132
What is the place of birth of the director of film A Woman'S Face (1938 Film)?,graphrag,0,2-hop,2026-08-20,True,Both the director's name and his place of birth are explicitly supported by the retrieved contexts.,2249
Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?,graphrag,0,3+-hop,2026-08-20,True,Both Rob Reiner and Gilbert Cates are explicitly identified as American in the retrieved contexts.,2063
"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",graphrag,0,3+-hop,2026-08-20,True,The answer accurately reports the directors and their birth dates as stated in the retrieved contexts.,1959
Who is Charlotte Of Schaumburg-Lippe's father?,graphrag,0,2-hop,2026-08-20,True,The context [2W-069-P07] directly states that Charlotte of Schaumburg-Lippe was the daughter of Prince Wilhelm Karl August of Schaumburg-Lippe.,1220
"Which film came out first, A Girl'S Folly or The Original Latin Kings Of Comedy?",graphrag,0,1-hop,2026-08-20,True,Both release years are explicitly stated in the retrieved contexts.,882
"Who was born later, Borys Karnicki or Admir Velagić?",graphrag,0,1-hop,2026-08-20,True,All birth dates and identities are explicitly supported by the retrieved contexts.,743
Are Paula Arundell and Trent Grimsey both from the same country?,graphrag,0,1-hop,2026-08-20,True,Both individuals are explicitly identified as Australian in the retrieved contexts.,1068
Where did Hal Steinbrenner's father die?,graphrag,0,2-hop,2026-08-20,True,"The answer is directly supported by context [2W-073-P02], which states George Steinbrenner died in his Tampa home.",1681
"Who is older, Oreste Scalzone or John Dugard?",graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts and support the claim that John Dugard is older than Oreste Scalzone.,2392
"Which film has the director who was born first, The Millionaire'S Double or The Groundstar Conspiracy?",graphrag,0,3+-hop,2026-08-20,True,All claims about directors and their birth dates are directly supported by the retrieved contexts.,2544
"Which film was released earlier, Navavadhu or The January Man?",graphrag,0,1-hop,2026-08-20,True,Both film release years are explicitly stated in the retrieved contexts.,2729
"Where did Frederick, Hereditary Prince Of Baden-Durlach's father die?",graphrag,0,2-hop,2026-08-20,True,The retrieved contexts state that Frederick's father was Charles III William and that Charles III William died in Karlsruhe.,1129
"Which film has the director who is older, Heremias or S.P.Q.R.: 2,000 And A Half Years Ago?",graphrag,0,3+-hop,2026-08-20,True,All claims about the directors and their birthdates are supported by the retrieved contexts.,2803
"Were both Pietro Salini and Domenico Ravenna, born in the same place?",graphrag,0,1-hop,2026-08-20,True,The answer only restates information from the contexts and makes no unsupported claims.,1116
"Which film has the director born earlier, Street Of No Return or Stage Door?",graphrag,0,3+-hop,2026-08-20,True,All director names and birth dates are directly supported by the retrieved contexts.,1987
"Which film has the director who died first, Sons Of Bitches or Di Che Segno Sei??",graphrag,0,3+-hop,2026-08-20,True,"All claims are supported by the contexts, which provide the director names and their dates of death.",1774
"Which magazine came out first, Sri Ramakrishna Vijayam or Tait'S Edinburgh Magazine?",graphrag,0,1-hop,2026-08-20,True,Both dates for the magazines are explicitly stated in the retrieved contexts.,1556
"Which film has the director who died earlier, Here Is The Beauty or Whirl Of Youth?",graphrag,0,3+-hop,2026-08-20,True,"All claims about the director names, their respective films, and their dates of death are directly supported by the provided contexts.",2017
"Who is older, Artyom Novichonok or Lyubov Kiryukhina-Tsyoma?",graphrag,0,1-hop,2026-08-20,True,Both birth dates for Lyubov Kiryukhina-Tsyoma and Artyom Novichonok are stated in the retrieved contexts.,1348
Who was born first out of Andrea Di Vito and Barbara Fairchild?,graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts.,955
What is the place of birth of the director of film The New Kids?,graphrag,0,2-hop,2026-08-20,True,The answer correctly states that the place of birth is not provided in the retrieved contexts and does not add any unsupported information.,1397
"What is the place of birth of Rudolf Christian, Count Of East Frisia's father?",graphrag,0,2-hop,2026-08-20,True,All factual claims about Enno III being Rudolf Christian's father and Enno III's place of birth as Aurich are supported by the retrieved contexts.,1846
"Which film was released earlier, Samundi or Babilonia?",graphrag,0,1-hop,2026-08-20,False,"The initial claim that Samundi was released earlier is contradicted by the context, which shows Babilonia was released in 1987 and Samundi in 1992.",2138
Do director of film Trouble In The Glen and director of film Hennessy (Film) have the same nationality?,graphrag,0,3+-hop,2026-08-20,True,All claims about the directors and their nationalities are directly supported by the retrieved contexts.,1251
"Who was born earlier, Denis Rogers or Zelma Wilson?",graphrag,0,1-hop,2026-08-20,True,Birth dates for both Denis Rogers and Zelma Wilson are explicitly given in the retrieved contexts.,979
"Which film has the director born first, Escape From The Dark or Bulundi?",graphrag,0,3+-hop,2026-08-20,True,All factual claims are supported with director names and birth years directly stated in the contexts.,2026
"Which film has the director who died later, The Heart Of Nora Flynn or A Vanished World?",graphrag,0,3+-hop,2026-08-20,True,All director death dates and film/director associations are explicitly found in the contexts.,2813
Are Trenton Aerodrome and Mackenzie Airport both located in the same country?,graphrag,0,1-hop,2026-08-20,True,Both airports are explicitly stated to be located in Canada in the retrieved contexts.,624
"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",graphrag,0,3+-hop,2026-08-20,True,All claims about directors' names and birthdates are directly supported by the retrieved contexts.,2436
What is the place of birth of Lupe Rumazo's father?,graphrag,0,2-hop,2026-08-20,True,Alfonso Rumazo González is named as Lupe Rumazo's father and his place of birth is given as Latacunga in the retrieved contexts.,3557
Are Mount Queen Mary and Curia Mountain located in the same country?,graphrag,0,1-hop,2026-08-20,True,All location claims about Mount Queen Mary and Curia Mountain being in Canada are supported by the retrieved contexts.,924
"Which film was released earlier, Robotech: The Movie or Lakeeran?",graphrag,0,1-hop,2026-08-20,True,The release years for both films are directly stated in the contexts and support the answer.,698
"Who is younger, R. Nagarajan or Agneta Engström?",graphrag,0,1-hop,2026-08-20,True,Both birth dates are explicitly stated in the contexts and the answer draws a correct comparison based on them.,975
"Which film has the director who died earlier, Up In The World or Gioventù Alla Sbarra?",graphrag,0,3+-hop,2026-08-20,True,The answer only uses director and death date information present in the retrieved contexts and does not make any unfounded comparisons; it correctly states what is and is not available.,1926
Where did the composer of film Kilippattu (Film) die?,graphrag,0,2-hop,2026-08-20,True,The context states M. B. Sreenivasan died of a heart attack while conducting a choir in the Lakshadweep islands.,2631
Where did the composer of film Before Sunset study?,graphrag,0,2-hop,2026-08-20,True,All claims in the answer are grounded in the provided contexts.,943
"Which film has the director who died later, Farewell, My Beautiful Lady or Night 'N' Gales?",graphrag,0,3+-hop,2026-08-20,True,Both directors' death dates are explicitly stated in the contexts; Gordon Douglas died later than Fernando Cerchio.,1601
Does Éric Ruf have the same nationality as Jean Léonard Marie Poiseuille?,graphrag,0,1-hop,2026-08-20,True,Both individuals are explicitly described as French in the retrieved contexts.,838
Where was the founder of university Vermont Studio Center born?,graphrag,0,2-hop,2026-08-20,True,"All claims accurately reflect the retrieved context, noting the absence of birthplace information for the Vermont Studio Center founders.",1629
Are Marib Airport and Lee County Airport (Virginia) both located in the same country?,graphrag,0,1-hop,2026-08-20,True,Both airports' locations are directly supported by the contexts.,740
What is the place of birth of the performer of song Heaven (Namie Amuro Song)?,graphrag,0,2-hop,2026-08-20,True,"The contexts explicitly state that Namie Amuro, the performer, was born in Naha, Okinawa, Japan.",1830
Where did Shivaji Ii's father die?,graphrag,0,2-hop,2026-08-20,True,"The answer cites Rajaram I as Shivaji II's father and states he died in Sinhagad, both of which are explicitly supported in the retrieved contexts.",1038
Where did Paulding Farnham's wife die?,graphrag,0,2-hop,2026-08-20,False,The answer adds details about Sally James Farnham's birth location and references to requirement IDs that are not present in the retrieved contexts.,1530
What is the place of birth of Oliver Penrose's father?,graphrag,0,2-hop,2026-08-20,True,The answer does not make unsupported claims and correctly notes the absence of information in the contexts.,1571
"Who is younger, Adam Morawski or Matt Kilcullen?",graphrag,0,1-hop,2026-08-20,True,"Both birth dates for Adam Morawski (1994) and Matt Kilcullen (1954) are present in the retrieved contexts, supporting the comparison and conclusion.",739
Which award the director of film Solstice (Film) received?,graphrag,0,2-hop,2026-08-20,False,"The contexts do not state that Daniel Myrick received any award for Solstice, only for The Blair Witch Project.",2499
"Are director of film The Case Is Closed, Forget It and director of film Le Signorine Dello 04 from the same country?",graphrag,0,3+-hop,2026-08-20,False,Damiano Damiani's nationality is not explicitly stated in the retrieved contexts.,2059
Who is the father of the director of film Dino Ki Dulhaniya?,graphrag,0,2-hop,2026-08-20,True,Both claims about the director and her father are directly supported by the contexts.,3141
Are both directors of films Dead Man Running and Night Alone from the same country?,graphrag,0,3+-hop,2026-08-20,True,Both directors are explicitly identified as British in the retrieved contexts.,1486
Do director of film Brain Damage (Film) and director of film The Hole In The Ground (Film) have the same nationality?,graphrag,0,3+-hop,2026-08-20,False,"The answer includes information that the directors have different nationalities, but the question asks if they have the same nationality; the answer should directly respond that they do not.",2186
"Which film has the director who was born later, L'Eclisse or A Matter Of Morals?",graphrag,0,3+-hop,2026-08-20,True,"All facts, including birth dates and director-film pairings, are directly supported by the retrieved contexts.",2355
"Who was born later, Jay T. Harris or Amie Casey?",graphrag,0,1-hop,2026-08-20,True,The birth dates for Amie Casey and Jay T. Harris are directly supported by the retrieved contexts.,1201
Where was the director of film Chopsticks (Film) born?,graphrag,0,2-hop,2026-08-20,True,All claims are supported or correctly limited by the provided contexts.,3394
"Which film whose director was born first, Flesh And The Spur or Memories Of A Mexican?",graphrag,0,3+-hop,2026-08-20,True,All relevant birth dates and director information are supported by the retrieved contexts.,1666
Who is the father of Alexios Iii Angelos?,graphrag,0,2-hop,2026-08-20,True,The answer correctly states that the retrieved contexts do not identify the father of Alexios III Angelos.,1700
"Which magazine came out first, Family Herald or Books For Keeps?",graphrag,0,1-hop,2026-08-20,True,All launch dates and factual claims are directly supported by the retrieved contexts.,1004
"Which film has the director born earlier, Trail To Vengeance or Sally'S Irish Rogue?",graphrag,0,3+-hop,2026-08-20,True,All claims about directors and birth dates are directly supported by the provided contexts.,1633
Where was the composer of film Billy Elliot born?,graphrag,0,2-hop,2026-08-20,True,"The answer directly matches information in the provided context, citing both the composer's identity and birthplace as listed.",1320
"Which film has the director who is older than the other, Velli Vizha or A Year Ago In Winter? ",graphrag,0,3+-hop,2026-08-20,True,Both directors' birth dates are present in the retrieved contexts and the deduction of which is older is supported.,2034
"Which film came out earlier, Kalyana Mandapam or Lucrèce Borgia?",graphrag,0,1-hop,2026-08-20,True,All claims about release years and titles are explicitly supported in the retrieved contexts.,2958
"Which film was released more recently, Bhanwarey or Harlem Nights?",graphrag,0,1-hop,2026-08-20,True,Both release dates for Bhanwarey and Harlem Nights are explicitly stated in the retrieved contexts.,2862
"Which film has the director who was born first, Valley Of The Redwoods or The Law Of Men?",graphrag,0,3+-hop,2026-08-20,True,All birth dates and director assignments are explicitly supported by the contexts.,2391
"Which film has the director who was born earlier, The Blackmailers or Re-Animator?",graphrag,0,3+-hop,2026-08-20,True,All factual claims about directors and birthdates are explicitly supported by the contexts.,2810
Are Graduate University Of Advanced Technology and Fruita Schoolhouse located in the same country?,graphrag,0,1-hop,2026-08-20,True,Both location claims for the institutions are explicitly supported in the retrieved contexts.,863
Who is Paolo Ii Vitelli's maternal grandfather?,graphrag,0,2-hop,2026-08-20,True,All claims—including the identification of Paolo II Vitelli’s mother and maternal grandfather—are directly supported by the retrieved contexts.,1371
Do both films: Blockade (1938 Film) and Woman In The River have the directors from the same country?,graphrag,0,3+-hop,2026-08-20,False,The answer claims both directors are German but contexts state William Dieterle emigrated to the US and became a US citizen; it is unsupported to say both are from the same country based solely on the,3007
"Which film has the director died later, Mexican Spitfire'S Elephant or Revenge (1918 Film)?",graphrag,0,3+-hop,2026-08-20,True,"All director names, death dates, and film associations are explicitly supported by the retrieved contexts.",1464
What is the place of birth of the director of film Walerjan Wrobel'S Homesickness?,graphrag,0,2-hop,2026-08-20,True,Both claims are directly supported by the retrieved contexts.,2793
Do both films September Affair and A Gathering Of Eagles have the directors that share the same nationality?,graphrag,0,3+-hop,2026-08-20,True,The answer accurately observes that Delbert Mann's nationality is not given in the contexts and does not make unsupported claims.,3076
"Which film has the director died earlier, Hôtel Du Nord or Down In 'Arkansaw'?",graphrag,0,3+-hop,2026-08-20,False,The answer makes a comparative claim not fully supported since Nick Grinde's death date is not provided in the contexts.,1760
Who is Adolf Ernst Of Limburg Stirum's paternal grandfather?,graphrag,0,2-hop,2026-08-20,True,"The answer accurately uses the retrieved context to trace Adolf Ernst's paternal grandfather as Jobst of Limburg Stirum, without adding unsupported details.",1283
When did Harald Sigtryggsson's father die?,graphrag,0,2-hop,2026-08-20,True,Both the identity of Harald's father and the death year 927 for Sitric Cáech are stated explicitly in the contexts.,2990
Where did Richard Altham's father study?,graphrag,0,2-hop,2026-08-20,True,The answer faithfully restates information directly from the retrieved context about Harry Altham's education.,1000
"Which film has the director who is older than the other, Zwemplaats Voor Jongelingen Te Amsterdam or Client 9: The Rise And Fall Of Eliot Spitzer? ",graphrag,0,3+-hop,2026-08-20,True,"All claims, including directors and birth dates, are directly supported by the retrieved contexts.",3236
Where was the editor of magazine Argentus born?,graphrag,0,2-hop,2026-08-20,True,Both claims about the editor and his birthplace are explicitly supported in the retrieved contexts.,2052
"Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?",graphrag,0,1-hop,2026-08-20,True,Both release dates are explicitly stated in the retrieved contexts.,1474
Where was the place of burial of the director of film Loose Ankles?,graphrag,0,2-hop,2026-08-20,True,All claims about Ted Wilde's directorship and place of burial are directly supported by the retrieved contexts.,3084
"Which film has the director who died later, The House Behind The Cedars or First Case, Second Case?",graphrag,0,3+-hop,2026-08-20,True,All claims about directors and their death dates are explicitly supported by the retrieved contexts.,2893
Where did the performer of song Girlfriend (Alicia Keys Song) study?,graphrag,0,2-hop,2026-08-20,True,The answer only uses information present in the contexts and correctly notes that no school or place of study is provided.,2317
Does Devorah Rose have the same nationality as Jay Hambidge?,graphrag,0,1-hop,2026-08-20,True,Both Devorah Rose and Jay Hambidge are described as American in the contexts.,1253
Where did Princess Catherine Of Schleswig-Holstein-Sonderburg-Beck's father die?,graphrag,0,2-hop,2026-08-20,True,"The answer cites Peter August as Catherine's father and confirms his death in Reval, which is supported by the retrieved contexts.",1579
"Which film whose director is younger, The Jazz Cinderella or The Battle Of Jangsari?",graphrag,0,3+-hop,2026-08-20,True,All factual claims about director birth years and film directors are supported by the retrieved contexts.,1235
Who is the paternal grandmother of King Kang Of Zhou?,graphrag,0,2-hop,2026-08-20,False,"Context [2W-148-P03] states King Cheng's parents were King Wu of Zhou and Queen Yi Jiang, identifying Yi Jiang as the paternal grandmother.",1773
"Who is Hans Albrecht, Hereditary Prince Of Schleswig-Holstein's maternal grandmother?",graphrag,0,2-hop,2026-08-20,True,"All claims are directly supported by the retrieved contexts, specifically [2W-149-P09] and [2W-149-P05].",1618
Who is Al-Nu'Man Vi Ibn Al-Mundhir's paternal grandfather?,graphrag,0,2-hop,2026-08-20,True,"The answer correctly links Al-Nuʿmān VI ibn al-Mundhir to al-Mundhir III ibn al-Harith (his father) and then to al-Harith ibn Jabalah (his grandfather), both facts directly supported by the contexts [",1821
Where was the place of burial of Mariamne I's husband?,graphrag,0,2-hop,2026-08-20,True,"The answer states Herod the Great was Mariamne I's husband, and says his place of burial is not given in the contexts, which is supported by the retrieved contexts.",1595
Who is the child of the director of film Kathputli (1971 Film)?,graphrag,0,2-hop,2026-08-20,True,All claims about Brij Sadanah’s children and his role as director of Kathputli (1971) are directly supported by the contexts.,2889
Which country the director of film Batman: The Dark Knight Returns (Film) is from?,graphrag,0,2-hop,2026-08-20,False,The claim that Jay Oliva is from the Philippines is not supported; only 'Filipino-American' is stated without mentioning the Philippines as a country of origin.,3006
What nationality is Margaret Of Hereford's mother?,graphrag,0,2-hop,2026-08-20,True,The claim that Sibyl de Neufmarché was Cambro-Norman is explicitly supported by the contexts.,1743
"Which film came out first, Festival In Cannes or Petria'S Wreath?",graphrag,0,1-hop,2026-08-20,True,Both release years are explicitly stated in the contexts.,1724
Do director of film D'Annunzio (Film) and director of film Così Parlò Bellavista have the same nationality?,graphrag,0,3+-hop,2026-08-20,True,"Both films are described as Italian and the directors named are associated with their respective films, supporting the claim they share Italian nationality.",1945
