query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,2-hop,agentic,azure,none,2,15975,5392,524,5916,ICE-019,NAV-035;NAV-026;NAV-002;NAV-030;NBC3-NAV-001;ICE-008;ICE-019;ICE-018;ICE-016;ICE-004;ADS-026;ADS-019;ADS-020;ADS-014;ADS-027,15,3,continue,semantic,,,True,"The answer contains no factual claims, so there is nothing unsupported by the provided contexts.",False,No context mentions authentication or access conditions for use of the INS maintenance port during firmware updates.,,skipped,False
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",3+-hop,vanilla,azure,none,0,7826,521,416,937,FUEL-026;FUEL-001;FUEL-002;FUEL-017;FUEL-007,FUEL-026;FUEL-001;FUEL-002;FUEL-017;FUEL-007,5,0,,,,,False,The answer is empty and does not address the trace or dependency described in the provided requirements.,False,The answer is missing; no claims about requirement trace or fuel dependency are present.,,skipped,True
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic,azure,none,2,1696,159,58,217,,,0,0,sufficient,id_lookup,,,False,"No retrieved contexts were provided, so the answer cannot be verified or grounded.",False,"No contexts were retrieved, so the answer cannot be verified or supported.",,skipped,True
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",3+-hop,adaptive,azure,none,1,12898,1534,645,2179,FDR-022;NAV-008;INS-039;FDR-001;GPS-008;FDR-004;GPS-006;INS-013;BIT-002;EMS-005;FCC-029;FDR-016;FDR-020;FDR-070;INS-014,FDR-022;NAV-008;INS-039;FDR-001;GPS-008;FDR-004;GPS-006;INS-013;BIT-002;EMS-005;FCC-029;FDR-016;FDR-020;FDR-070;INS-014,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,False,"The answer is missing, so no factual claims can be verified from the provided contexts.",False,The chain from inertial sensors (INS) through navigation to GPS traceability is only partially described in the contexts; explicit dependency of FDR position data on inertial sensor provisions is not ,,skipped,True
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,3+-hop,graphrag,azure,none,0,12351,1581,781,2362,RADAR-025;AUTO-004;RADAR-017;SAR-003;FCC-004;COMM-018;AUTO-020;ENG-003;AUTO-006;AUTO-027;AUTO-035;AUTO-038;CDL-024;CDL-028;COMM-029,RADAR-025;AUTO-004;RADAR-017;SAR-003;FCC-004;COMM-018;AUTO-020;ENG-003;AUTO-006;AUTO-027;AUTO-035;AUTO-038;CDL-024;CDL-028;COMM-029,15,0,,,,,True,"The answer contains no factual claims, so nothing is unsupported.",True,"All claims about automated control requirements tracing through radar subsystem dependencies to the final automation constraint are supported by RADAR-017, RADAR-025, AUTO-020, and AUTO-035, which exp",,skipped,True
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",3+-hop,adaptive,azure,none,0,27265,5905,1251,7156,BIT-001;EPS-018;SEC-014;SEC-012;SEC-035;SEC-010,SEC-035;SEC-014;BIT-001;STR-021;SEC-012;FCC-052;FCC-056;STR7-FCC-003;FCC-055;ALX2-FCC-003;EPS-006;EPS-005;EPS-004;EPS-018;EPS-015,15,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",False,"The answer is missing, so no factual claims can be verified from the provided contexts.",False,The answer is missing; no factual claims are present to verify faithfulness against the retrieved contexts.,,skipped,True
"Which communications requirement, linked through the security constraint referenced by the fuel requirement, ultimately traces to the EMS requirement, and what end-to-end dependency does that establish?",3+-hop,agentic-graph,azure,none,1,20091,4815,791,5606,COMM-022;FUEL-010;SEC-028;EMS-021;EMS-018,SEC-028;COMM-022;FDR-045;FUEL-010;EMS-005;EMS-006;COMM-018;FDR-012;EMS-018;FDR-050;ENG-014;FDR-016;FMS-015;GCS-014;COMM-021;INS-013;PWR-032,17,0,sufficient,semantic,,,False,The answer is empty and does not answer the question from the provided contexts.,False,"The contexts do not explicitly link any communications requirement to the security constraint referenced by the fuel requirement and tracing to the EMS requirement; thus, the end-to-end dependency ask",,skipped,True
Which payload requirement is ultimately satisfied by the security control referenced through the flight-control communication link that fulfills the communication requirement?,3+-hop,agentic-graph,azure,none,2,19942,10182,581,10763,PLD-010;CDL-030;FCC-031;FMS-022;AUTO-006;FUEL-025;ICE-019;LGT-014;SEC-010;SEC-014,CDL-003;COMM-012;CDL-001;CDL-030;COMM-010;CDL-031;COMM-019;SEC-014;FMS-022;COMM-018;AUTO-006;AUTO-033;CDL-035;COMM-023;ENG-021;FCC-031;FUEL-025;GCS-006;ICE-019;LGT-014;PLD-009;PLD-010,22,3,continue,semantic,,,False,"The answer is empty, so it does not provide the requested payload requirement.",False,No answer was provided to assess faithfulness.,,skipped,True
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",2-hop,adaptive,azure,none,1,22600,5715,744,6459,FCC-003,STR7-FCC-003;ALX2-FCC-003;FCC-010;FCC-006;ALX2-FCC-002;ICE-015;ICE-018;ICE-007;ICE-010;ICE-006,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=True)",False,The answer is empty and does not address the question using the provided Stratos-7 requirement context.,False,"The answer is missing; therefore, no claims can be verified against the contexts.",,skipped,True
Which payload requirement is ultimately satisfied by the security control referenced through the flight-control communication link that fulfills the communication requirement?,3+-hop,agentic,azure,none,2,17104,4512,522,5034,CDL-030;PLD-010;FCC-031;SEC-014,CDL-003;COMM-012;CDL-001;CDL-030;COMM-010;CDL-031;COMM-019;SEC-014;FMS-022;COMM-018,10,3,continue,semantic,,,False,The answer is empty and does not identify any payload requirement from the provided contexts.,False,The answer is missing; no claims are made to judge faithfulness.,,skipped,True
"For the Skyrunner-T1 test configuration, how is the FCC’s duplex single-LRU architecture derived from the platform-dependent independent-lane requirement?",1-hop,vanilla,azure,none,1,11857,571,423,994,SKT1-FCC-001;SKT1-CDL-001;ALX2-FCC-001;STR7-FCC-001;PWR-020,SKT1-FCC-001;SKT1-CDL-001;ALX2-FCC-001;STR7-FCC-001;PWR-020,5,0,,,,,False,The answer is empty and does not answer the question from the provided contexts.,True,"The answer’s claims about the Skyrunner-T1 FCC duplex single-LRU architecture being derived from the platform-dependent independent-lane requirement (FCC-003) are directly supported by SKT1-FCC-001, w",,skipped,False
"Does the selected VHF transceiver transmit power remain compliant with EMC coexistence expectations for the CDL, GPS, and radar altimeter under DO-160G Category Y?",2-hop,vanilla,azure,none,1,7374,563,283,846,CDL-024;COMM-018;COMM-029;RADAR-024;RADAR-009,CDL-024;COMM-018;COMM-029;RADAR-024;RADAR-009,5,0,,,,,True,"The answer contains no factual claims, so nothing is unsupported by the provided contexts.",False,The answer is missing; no claims were made to evaluate faithfulness.,,skipped,False
"If navigation flags spoofed GPS or INS inputs and deweights them, how is the resulting cyber incident prioritized by emergency management and what operator action follows?",2-hop,vanilla,azure,none,1,6718,578,332,910,INS-028;SEC-028;NAV-028;SEC-025;INS-013,INS-028;SEC-028;NAV-028;SEC-025;INS-013,5,0,,,,,True,"The answer contains no factual claims, so there is nothing unsupported by the provided contexts.",False,The contexts do not specify how emergency management prioritizes the cyber incident or detail subsequent operator actions after spoof detection and deweighting.,,skipped,False
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",2-hop,graphrag,azure,none,2,4178,1729,117,1846,NAV-001;FMS-001;DLNK-025;NAV-002;ALX2-FMS-001;ALX2-NAV-001;NBC3-NAV-001;SKT1-NAV-001;ADS-020;FCC-004;FMS-006;FMS-012;FMS-020;GPS-030;INS-001,NAV-001;FMS-001;DLNK-025;NAV-002;ALX2-FMS-001;ALX2-NAV-001;NBC3-NAV-001;SKT1-NAV-001;ADS-020;FCC-004;FMS-006;FMS-012;FMS-020;GPS-030;INS-001,15,0,,,,,False,"The answer is missing, so its factual claims cannot be verified from the provided contexts.",True,"It is supported that Skyrunner-T1 relies on navigation integration rather than an FMS, and that its navigation (NAV Fusion) software applies DO-178C DAL-B.",,skipped,False
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",3+-hop,agentic,azure,none,2,22735,6875,872,7747,ADS-021;ADS-005;FCC-020,ADS-004;ADS-001;ADS-005;ADS-010;ADS-021;FCC-007;FCC-001;FCC-032;FCC-004;FCC-020;ENG-003;BIT-003;FMS-004;RADAR-025;EMS-003;EPS-003,16,3,continue,semantic,,,False,The answer is empty and does not identify any traced flight-control requirement or ADS–FCC linkage from the provided contexts.,False,No retrieved context explicitly traces a flight control requirement from an air data requirement through an intermediate dependency or describes end-to-end linkage across the ADS–FCC boundary.,,skipped,True
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",2-hop,adaptive,azure,none,2,20169,3709,701,4410,EPS-004;EPS-012;EPS-005;EPS-024,EPS-004;EPS-005;EPS-012;EPS-015;EPS-024,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",True,The answer is empty and therefore makes no factual claims beyond the provided contexts.,False,The answer is empty and does not specify which loads must drop during generator loss or reference load shedding phases as described in the contexts.,,skipped,False
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",3+-hop,adaptive,azure,none,2,22423,4668,849,5517,PWR-012;STR-021;FCC-041;FCC-046;SEC-014;SEC-035;SEC-012,SEC-014;PWR-001;SEC-035;SEC-012;STR-021;APM-001;PWR-003;FUEL-007;ENG-002;BIT-001,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",False,The answer is empty and does not identify any built-in test requirement or rationale from the provided contexts.,False,No context directly links the built-in test requirement to the power requirement through security and flight-control requirements or provides an end-to-end rationale.,,skipped,True
Do the payload-bay mounting rails and bus routing provide enough EMC shielding for coexistence with the selectable-power VHF transceiver under the CDL’s DO-160G Category Y requirement?,2-hop,vanilla,azure,none,1,6859,567,334,901,STR-038;COMM-018;COMM-029;CDL-024;RADAR-024,STR-038;COMM-018;COMM-029;CDL-024;RADAR-024,5,0,,,,,True,"The answer contains no factual claims, so nothing is unsupported by the provided contexts.",False,The contexts confirm EMC shielding and coexistence requirements but do not specify adequacy of shielding for a selectable-power VHF transceiver.,,skipped,False
"For ground-maintenance fault-injection on the power subsystem via the BIT maintenance interface, what operator authentication is required before BPCU commands are accepted?",2-hop,adaptive,azure,none,1,17612,4641,572,5213,SEC-010;EPS-018,EPS-018;EPS-015;EPS-006;EPS-011;EPS-024;EPS-018;EPS-015;EPS-006;EPS-004;EPS-011,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=1, trace_kw=False, chain_ind=True, numeric=False)",True,"The answer contains no factual claims, so nothing is unsupported.",False,The contexts do not state any authentication required for BPCU commands specifically via the BIT maintenance interface or under ground-maintenance fault-injection; only bus-tie command authentication ,,skipped,False
"If the primary INS attitude stream degrades below required rate or validity, how quickly must the FCC switch to the backup GPS-aided AHRS to maintain flight-control attitude input?",2-hop,agentic,azure,none,0,14953,4741,525,5266,FCC-017;NAV-015;FCC-016,FCC-017;FCC-016;FCC-024;FCC-041;FCC-032;NAV-008;NAV-007;NAV-015;NAV-016;NAV-005,10,3,continue,semantic,,,True,FCC-017 states the FCC must switch to the secondary GPS-aided AHRS within 100 ms when INS rate or validity degrades.,True,FCC-017 states the FCC must switch to the backup GPS-aided AHRS within 100 ms when the INS attitude stream is degraded.,,skipped,True
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",2-hop,vanilla,azure,none,0,4012,586,188,774,PWR-006;PWR-034;PWR-007;APM-010;PWR-004,PWR-006;PWR-034;PWR-007;APM-010;PWR-004,5,0,,,,,False,"The contexts say only non-essential loads are shed per PWR-032, but the specific loads that must drop are not provided.",True,"The answer that non-essential loads must be shed per the Load_Shed_Priority table during transition to single-generator operation, while all flight-critical buses remain powered within limits, is expl",,skipped,False
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,3+-hop,graphrag,azure,none,1,13586,1402,686,2088,PWR-018;GPS-029;INS-023;INS-030;INS-043;INS-019;INS-002;AUTO-025;ADS-001;ADS-003;CDL-025;EMS-029;ENG-022;FCC-013;FCC-036,PWR-018;GPS-029;INS-023;INS-030;INS-043;INS-019;INS-002;AUTO-025;ADS-001;ADS-003;CDL-025;EMS-029;ENG-022;FCC-013;FCC-036,15,0,,,,,True,"The answer contains no factual claims, so there is nothing unsupported by the contexts.",False,The retrieved contexts do not mention GPS-derived power constraints or their propagation through command/data handling or impacts on inertial subsystem implementation.,,skipped,False
