query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,vanilla,local,none,0,7501,548,269,817,FMS-018;FUEL-002;FUEL-014;ENG-014;FUEL-010,FMS-018;FUEL-014;FUEL-002;FUEL-001;ENG-014,5,0,,,,,0.2,0.5,0.2857,0.5,0.2,5,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,agentic,local,none,0,24140,6036,646,6682,FCC-010;FCC-032;FCC-037;FCC-038;FCC-049;ADS-010;ADS-014;ADS-018;ADS-023;ADS-024,FCC-049;FCC-032;FCC-037;FCC-010;FCC-038;ADS-024;ADS-023;ADS-010;ADS-018;ADS-014,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,10,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,graphrag,local,none,0,9315,1397,172,1569,FUEL-011;FMS-018,FMS-018;FUEL-014;FUEL-002;FUEL-001;ENG-014;FUEL-012;ENG-025;FMS-002;EMS-017;ENG-001;FCC-013;FMS-017;FMS-025;FUEL-010;FUEL-011,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,agentic-graph,local,none,0,25513,7563,509,8072,NBC3-ADS-001;FMS-020;FCC-032;FMS-030,FCC-049;FCC-037;FCC-038;FCC-032;ALX2-FCC-003;ADS-005;ADS-024;NBC3-ADS-001;ADS-018;ADS-006;FCC-004;FCC-055;FCC-052;FCC-051,14,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,adaptive,local,none,0,14917,1957,434,2391,FMS-018;FUEL-014;FMS-039,FMS-018;FUEL-014;FMS-039;ENG-014;FUEL-001,5,0,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.3333,0.5,0.4,0.5,0.2,3,2,1,1-hop,True
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,vanilla,local,none,0,7716,525,173,698,LDG-031;LDG-015,LDG-031;LDG-015;ENG-044;LDG-002;LDG-032,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,agentic,local,none,0,35853,4035,1009,5044,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;ENG-044;FCC-040,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,graphrag,local,none,0,11136,1217,316,1533,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;ENG-044;LDG-002;LDG-032;PLD-035;FCC-048;BIT-023;ALX2-FCC-003;ENG-018;FCC-003;FCC-008;FCC-046;INS-032;LDG-014,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,agentic-graph,local,none,0,26663,4480,863,5343,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;ENG-044;FCC-040,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,adaptive,local,none,0,32242,3937,959,4896,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;ENG-044;FCC-040,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,vanilla,local,none,0,7027,914,168,1082,SEC-017;SEC-005,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic,local,none,0,2197,159,85,244,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0.0,0,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,graphrag,local,none,0,9713,1882,154,2036,SEC-017;SEC-005,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050;CDL-021;PLD-012;SEC-020;APM-033;AUTO-006;AUTO-034;BIT-033;CDL-040;COMM-019;DLNK-013,15,0,,,,,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic-graph,local,none,0,2970,159,86,245,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0.0,0,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,adaptive,local,none,0,5305,914,145,1059,SEC-017;SEC-005,SEC-017;SEC-005;CDL-012;SEC-010;FCC-050,5,0,,,vanilla,R2: explicit_id (1) + no_traceability_kw → cheap top-K,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,False
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,vanilla,local,none,0,8010,514,267,781,SAR-013;SAR-009,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020,5,0,,,,,0.5,0.5,0.5,0.5,0.2,2,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic,local,none,0,27709,3743,837,4580,NAV-010;NAV-020,NAV-016;NAV-010;NAV-008;NAV-C5;NAV-020,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,2,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,graphrag,local,none,0,10535,1291,342,1633,INS-020;SAR-013;SAR-009;GPS-011,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020;GPS-003;SAR-012;INS-004;EOIR-029;GPS-011;INS-020;NAV-020;PLD-014;AUTO-032;FCC-016,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic-graph,local,none,0,25686,4120,519,4639,NAV-010;NAV-020,NAV-016;NAV-008;NAV-010;ALX2-NAV-001;NAV-020,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,2,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,adaptive,local,none,0,8756,514,243,757,SAR-013;SAR-009,SAR-009;SAR-013;SAR-024;EOIR-014;SAR-020,5,0,,,vanilla,R5: numeric_hint + single_module (SAR) → top-K,0.5,0.5,0.5,0.5,0.2,2,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,vanilla,local,none,0,7770,566,241,807,FCC-023;EMS-006;EMS-002;EMS-004,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002,5,0,,,,,0.5,1.0,0.6667,0.5,0.2,4,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,agentic,local,none,0,31150,5068,703,5771,FCC-023;EMS-006;FCC-009;FCC-050,EMS-006;FCC-009;ENG-008;EMS-034;EMS-004;FCC-023;ALX2-FCC-003;FCC-038;FCC-050;ALX2-FCC-002,10,3,continue,semantic,,,0.5,1.0,0.6667,1.0,0.2,4,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,graphrag,local,none,0,10301,1374,328,1702,FCC-023;EMS-006;FCC-009;FCC-010,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002;EMS-006;FCC-010;EMS-034;APM-017;AUTO-009;BIT-024;EMS-020;ENG-010;EPS-001;FCC-006,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,agentic-graph,local,none,0,28442,8647,634,9281,FCC-023;EMS-006;FCC-009;FCC-010;FCC-050,EMS-022;ENG-008;EMS-004;EMS-006;FCC-023;APM-017;TCS-012;FCC-002;FCC-050;FCC-010;FCC-009;FCC-033;FCC-051;FCC-037;FCC-039;FCC-030,16,3,continue,semantic,,,0.4,1.0,0.5714,1.0,0.125,5,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,adaptive,local,none,0,9222,1374,278,1652,FCC-023;EMS-006;FCC-010,EMS-022;EMS-004;EMS-002;FCC-023;FCC-002;EMS-006;FCC-010;EMS-034;APM-017;AUTO-009;BIT-024;EMS-020;ENG-010;EPS-001;FCC-006,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,True
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,vanilla,local,none,0,5696,627,68,695,EMS-034;EMS-006,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005,5,0,,,,,1.0,1.0,1.0,0.5,0.2,2,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,agentic,local,none,0,23871,3477,418,3895,EMS-034,EMS-034;PWR-033;EPS-024;EMS-005;ENG-008;FCC-009;ENG-040;SEC-018,8,1,sufficient,semantic,,,1.0,0.5,0.6667,0.5,0.125,1,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,graphrag,local,none,0,9960,1655,249,1904,EMS-034;EMS-006;FCC-009,EMS-034;EPS-024;PWR-033;ENG-008;EMS-005;EMS-002;FCC-009;EMS-004;AUTO-009;COMM-021;EMS-001;EMS-006;EMS-010;EMS-033;EPS-001,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,agentic-graph,local,none,0,12280,2237,305,2542,EMS-034;EMS-006;PWR-033;EPS-024,EMS-034;PWR-033;EPS-024;EMS-005;ENG-008,5,0,sufficient,semantic,,,0.5,1.0,0.6667,0.5,0.2,4,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,adaptive,local,none,0,24813,2821,438,3259,EMS-034,EMS-034;PWR-033;EPS-024;EMS-005;ENG-008,5,1,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",1.0,0.5,0.6667,0.5,0.2,1,2,1,1-hop,False
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,vanilla,local,none,0,7280,655,159,814,STR-008;EMS-020;STR-002,EMS-020;EMS-033;STR-002;INS-017;FCC-030,5,0,,,,,0.6667,1.0,0.8,0.5,0.2,3,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic,local,none,0,24396,3910,611,4521,STR-008;EMS-020;EMS-033,EMS-020;EMS-033;ENG-040;STR-008;FCC-030,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,0.4,3,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,graphrag,local,none,0,10647,1629,350,1979,STR-008;EMS-020;FCC-049;FCC-030;EMS-033,EMS-020;EMS-033;STR-002;INS-017;FCC-030;EMS-014;STR-008;EMS-007;FCC-009;FCC-010;FCC-021;FCC-049;FUEL-013;SEC-028;STR-024,15,0,,,,,0.4,1.0,0.5714,1.0,0.1333,5,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic-graph,local,none,0,21234,4293,492,4785,STR-008;EMS-020;EMS-033,EMS-020;EMS-033;EMS-007;EMS-014;EMS-013,5,3,continue,semantic,,,0.6667,1.0,0.8,0.5,0.2,3,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,adaptive,local,none,0,6432,655,154,809,STR-008;EMS-020;EMS-033,EMS-020;EMS-033;STR-002;INS-017;FCC-030,5,0,,,vanilla,R5: numeric_hint + single_module (EMS) → top-K,0.6667,1.0,0.8,0.5,0.2,3,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,vanilla,local,none,0,7957,823,255,1078,GCS-010;FDR-045;BIT-021,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003,5,0,,,,,0.6667,1.0,0.8,0.5,0.2,3,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,agentic,local,none,0,32060,5796,805,6601,ADS-023;ADS-024;ADS-014;FCC-037;FCC-040;FCC-007;FCC-050;FCC-038,ADS-023;ADS-024;ADS-001;ADS-014;ADS-004;FCC-037;FCC-040;FCC-007;FCC-050;FCC-038,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,8,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,graphrag,local,none,0,11801,1833,348,2181,GCS-010;FDR-045;FCC-012,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003;SEC-012;GCS-004;EMS-024;FCC-005;FCC-009;FCC-011;FCC-012;FDR-045;SEC-017;SEC-019,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,agentic-graph,local,none,0,25389,5543,640,6183,ICE-017;CDL-030;ICE-019;FDR-017,ADS-023;ADS-024;ADS-004;ADS-001;ADS-014;ICE-020;ICE-003;ICE-017;ICE-019;ICE-012,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,adaptive,local,none,0,9729,1833,312,2145,GCS-010;FDR-045,GCS-010;BIT-021;SEC-003;FCC-037;GPS-003;SEC-012;GCS-004;EMS-024;FCC-005;FCC-009;FCC-011;FCC-012;FDR-045;SEC-017;SEC-019,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,1.0,1.0,1.0,1.0,0.1333,2,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,vanilla,local,none,0,6826,557,149,706,HMI-020;ALX2-FCC-003,HMI-020;ALX2-FCC-003;HMI-001;HMI-050;HMI-008,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,agentic,local,none,0,19635,3699,367,4066,HMI-020;ALX2-FCC-003,HMI-020;HMI-001;HMI-050;HMI-037;HMI-090,5,3,continue,semantic,,,1.0,1.0,1.0,0.5,0.2,2,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,graphrag,local,none,0,9673,1299,200,1499,HMI-020;ALX2-FCC-003;ENG-018,HMI-020;ALX2-FCC-003;HMI-001;HMI-050;HMI-008;HMI-007;HMI-037;HMI-090;ADS-014;ALX2-AUTO-003;AUTO-010;ENG-018;ENG-028;ENG-044;FCC-003,15,0,,,,,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,agentic-graph,local,none,0,20362,4280,377,4657,HMI-020;ALX2-FCC-003,HMI-020;HMI-001;HMI-090;HMI-050;HMI-037,5,3,continue,semantic,,,1.0,1.0,1.0,0.5,0.2,2,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,adaptive,local,none,0,7971,1299,210,1509,HMI-020;ALX2-FCC-003;ENG-018,HMI-020;ALX2-FCC-003;HMI-001;HMI-050;HMI-008;HMI-007;HMI-037;HMI-090;ADS-014;ALX2-AUTO-003;AUTO-010;ENG-018;ENG-028;ENG-044;FCC-003,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.6667,1.0,0.8,1.0,0.1333,3,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,vanilla,local,none,0,6769,589,179,768,NBC3-FCC-003;PLD-026;PLD-001,PLD-026;PLD-030;PLD-023;NBC3-FCC-003;PLD-001,5,0,,,,,0.3333,0.5,0.4,0.5,0.2,3,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,agentic,local,none,0,2454,160,72,232,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0.0,0,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,graphrag,local,none,0,7927,1431,307,1738,NBC3-FCC-003;PLD-026;PLD-030;FCC-003;ALX2-FCC-001,PLD-026;PLD-030;PLD-023;NBC3-FCC-003;PLD-001;NBC3-FCC-002;ENG-033;FCC-001;EOIR-002;FCC-003;HMI-022;HMI-155;NBC3-INS-002;ALX2-AUTO-003;ALX2-FCC-001,15,0,,,,,0.4,1.0,0.5714,1.0,0.1333,5,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,agentic-graph,local,none,0,2771,160,62,222,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0.0,0,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,adaptive,local,none,0,7026,589,180,769,NBC3-FCC-003;PLD-026;PLD-001,PLD-026;PLD-030;PLD-023;NBC3-FCC-003;PLD-001,5,0,,,vanilla,R2: explicit_id (1) + no_traceability_kw → cheap top-K,0.3333,0.5,0.4,0.5,0.2,3,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,vanilla,local,none,0,10150,629,556,1185,GCS-009;CDL-012;GCS-011;FCC-040;CDL-035;ENG-022,GCS-011;CDL-012;FCC-040;ENG-022;GCS-009,5,0,,,,,0.0,0.0,0.0,0.0,0.0,6,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,agentic,local,none,0,16738,3261,511,3772,FCC-040;CDL-035;GCS-022;FCC-007,ADS-014;ADS-016;ADS-023;ADS-026;ADS-024;FCC-040;FCC-038;FCC-C5;FCC-007;FCC-037,10,0,sufficient,semantic,,,0.0,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,graphrag,local,none,0,10164,1690,483,2173,CDL-030;CDL-035;FCC-031;FCC-040;GCS-009,GCS-011;CDL-012;FCC-040;ENG-022;GCS-009;ENG-016;FCC-038;FCC-031;ALX2-FCC-004;AUTO-025;AUTO-028;CDL-030;CDL-035;ENG-021;FCC-021,15,0,,,,,0.4,1.0,0.5714,1.0,0.1333,5,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,agentic-graph,local,none,0,20110,3429,662,4091,GCS-022;FCC-007;CDL-035;FCC-040;FCC-038;FCC-037,ADS-016;ADS-014;ADS-023;ADS-026;ADS-004;FCC-040;FCC-038;FCC-037;FCC-007;FCC-010,10,0,sufficient,semantic,,,0.0,0.0,0.0,0.0,0.0,6,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,adaptive,local,none,0,23964,4309,775,5084,FCC-040;GCS-022;FCC-007;CDL-035,ADS-014;ADS-016;ADS-023;ADS-026;ADS-024;FCC-040;FCC-038;FCC-007;FCC-037;FCC-C5,10,1,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.0,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,1-hop,vanilla,local,none,0,9533,573,438,1011,EOIR-025;PLD-C5;EOIR-017;EOIR-007;PLD-031;CDL-028,EOIR-025;EOIR-017;EOIR-007;PLD-C5;CDL-028,5,0,,,,,0.3333,1.0,0.5,0.5,0.2,6,2,1,1-hop,True
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,1-hop,agentic,local,none,0,22026,4334,731,5065,PLD-031;EOIR-025;PLD-C5;SAR-021;EOIR-001,EOIR-025;EOIR-017;PLD-C5;EOIR-001;CDL-028;SAR-021;GCS-032;GCS-028,8,3,continue,semantic,,,0.4,1.0,0.5714,0.5,0.125,5,2,1,1-hop,True
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,1-hop,graphrag,local,none,0,8289,1401,306,1707,EOIR-025;PLD-C5;PLD-031;EOIR-001;CDL-028;GCS-032,EOIR-025;EOIR-017;EOIR-007;PLD-C5;CDL-028;SAR-021;EOIR-001;GCS-028;FCC-004;GCS-032;HMI-006;PLD-031;SKT1-PLD-001;NBC3-NAV-001;SAR-010,15,0,,,,,0.3333,1.0,0.5,1.0,0.1333,6,2,1,1-hop,True
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,1-hop,agentic-graph,local,none,0,22273,4390,669,5059,EOIR-025;PLD-C5;EOIR-017;PLD-031;CDL-028,EOIR-025;EOIR-017;PLD-C5;EOIR-001;CDL-028,5,3,continue,semantic,,,0.4,1.0,0.5714,0.5,0.2,5,2,1,1-hop,True
