query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",adaptive,2,3+-hop,False,False,"The answer claims that FCC-006 verifies BIT-005 and satisfies EMS-004, but BIT-005 is not present in the retrieved contexts and EMS-004 is only referenced, so these claims are unsupported; it also ref"
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,vanilla,0,3+-hop,False,True,All claims in the answer are directly matched to the retrieved contexts or explicitly state the absence of relevant context for RADAR-025.
"For ground-maintenance fault-injection on the power subsystem via the BIT maintenance interface, what operator authentication is required before BPCU commands are accepted?",adaptive,1,2-hop,False,True,"All claims in the answer are supported by EPS-018, which specifies command authentication for operator bus-tie commands, and the lack of information on BIT or BPCU is accurately reflected."
"Which communications capability document is explicitly excluded from the tactical Link‑16 terminal scope, and what assurance levels govern it?",agentic,1,1-hop,True,True,"All claims are directly supported by the provided requirement contexts, including the exclusion of CDL, its referenced scope, and the assurance characterization."
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",vanilla,2,1-hop,True,True,All claims are directly supported by the provided requirement contexts.
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,graphrag,1,3+-hop,False,True,All claims in the answer are supported directly by the retrieved requirement contexts or are reasonable inferences from them.
Which flight control computer requirement is ultimately implicated by the flight data recorder verification path through navigation and GPS references?,adaptive,1,3+-hop,False,True,All claims reference only requirement details present in the contexts or are light inferences supported by NAV-002 and FCC-013.
"During high-power takeoff, how does the FCC’s reserve N1 limiting affect pitch-rate reduction logic and the engine-status data published to downstream systems?",vanilla,2,2-hop,False,True,"All claims are grounded in the retrieved requirements, and unsupported aspects are explicitly noted as not answerable from context."
"In approach mode, what guidance source must the flight control computer accept, and what deviation data must the FMS provide to support it?",agentic-graph,1,1-hop,True,True,All claims are directly supported by the retrieved requirements or state correctly when information is not present.
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,vanilla,2,2-hop,False,True,"Every claim in the answer is directly supported by FCC-048 and LDG-031, and the answer correctly notes absence of specifics on debounce timing verification."
"When a validated DAA advisory arrives, how quickly must the GCS alert the crew, and what manoeuvre rates can the autopilot command in resolution mode?",vanilla,1,2-hop,True,True,All claims about GCS alert timing and autopilot manoeuvre rates are explicitly supported by the retrieved requirements and table.
"Which radar altimeter mode requirement supports terrain-avoidance advisory coupling, and which autopilot requirement governs autonomous DAA resolution engagement?",adaptive,2,1-hop,False,True,All claims in the answer are supported directly by the retrieved contexts and do not introduce unsupported details.
"What cryptographic authentication must the APM use when accepting autopilot mode engagement requests, and which autonomous modes are exempt from explicit operator engagement?",vanilla,1,2-hop,True,True,"All claims are justified by the retrieved contexts, and no extra details or contradictions are present."
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic,1,1-hop,True,True,"Every claim about authentication (HMAC-SHA-256) and encryption (AES-256-GCM) for operator engagement requests on CDL is explicitly supported by the retrieved contexts, specifically AUTO-006 and SEC-01"
"During takeoff-to-climb transition, when may the FCC enable the inner-loop climb schedule given sustained climb rate, both main-gear WoW indications, sensor voting, and input debounce?",vanilla,2,2-hop,True,True,"All claims about preconditions, debounce, sensor voting, and timing for FCC enabling inner-loop climb schedule are directly supported by the retrieved contexts."
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",agentic-graph,0,2-hop,True,True,"All claims are directly supported by the retrieved requirements, including SBAS-dependent minima, GPS-aided accuracy values, fallback on LNAV-only minima, and distinction between SBAS and GPS aiding l"
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,adaptive,1,1-hop,True,False,"The answer's claim about FDR-016 listing 'Electrical state' at 1 Hz is from the context, but the analysis linking it to PWR-026 and discussing message routing and interface details adds supporting det"
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",vanilla,0,2-hop,True,True,All claims about Skyrunner-T1 using Navigation Integration instead of FMS and being DAL-B for NAV Fusion are directly supported by the provided contexts.
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,agentic,0,1-hop,False,True,"All claims about 10 Hz arbitration and 5 Hz publication are directly supported by the contexts, and no claim exceeds the provided information."
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic-graph,1,2-hop,False,True,"Every claim in the answer is supported by the retrieved contexts, which do not mention coalition sensor handover, operator constraints, or tactical datalink engagement authority."
"During takeoff-to-climb transition, when may the FCC enable the inner-loop climb schedule given sustained climb rate, both main-gear WoW indications, sensor voting, and input debounce?",graphrag,0,2-hop,True,True,"All factual claims about climb rate, WoW debouncing and sensor voting, preconditions, and timing for enabling the inner-loop climb schedule are supported explicitly by the retrieved contexts."
How are the inertial-measurement structural-notch filters validated using ground-vibration data and in-flight flutter testing to show adequate damping through the required flutter-clearance margin?,agentic,2,2-hop,True,True,"All claims regarding GVT feeding notch filter design, verification by frequency-response analysis, confirmation by in-flight flutter testing, and demonstration of adequate damping up to required margi"
"How does the autonomous function’s top-level requirement trace through radar interface constraints and back to its originating autonomy requirement, and what end-to-end obligation does that imply?",vanilla,1,3+-hop,False,True,All factual claims are grounded in the retrieved contexts and appropriately acknowledge gaps in available traceability.
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",agentic,1,2-hop,True,True,All claims about required powered loads and bus tie/contact state changes during BATT_ONLY are directly supported by EPS-006 and EPS-012.
"What flight control computer behavior, as referenced by cockpit display logic and lighting requirements, ultimately satisfies the applicable security requirement?",adaptive,2,3+-hop,False,True,"All claims about FCC GROUND mode command gating, authentication, and GCS dispatch are directly supported by FCC-007 and GCS-022; the statement about absence of further display or lighting security req"
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",graphrag,1,1-hop,True,False,"The ANSWER references GPS-032 for time-to-alert, but GPS-032 is not in the retrieved contexts; all factual claims must be directly supported."
What test demonstrates the receiver meets integrity alert timing for unresolved protection-level exceedances under simulated satellite-fault conditions?,vanilla,0,1-hop,True,False,"The claim cites GPS-032 for time-to-alert, but GPS-032 is not present in the retrieved contexts."
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",graphrag,2,3+-hop,True,False,"The answer cites PLD-029 which is not present in the retrieved contexts, and attributes links and indirect citations not fully supported by the given context."
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,graphrag,2,3+-hop,False,True,Every claim is directly supported or properly hedged by the retrieved contexts.
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic,2,2-hop,False,True,"All claims are directly supported by GPS-029, which states operator authentication is required per SEC.SEC-015 for maintenance-only external aiding, but no further detail about SEC-015 is inferred or "
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,False,True,"All claims about CRC checks, AIRAC expiry, digital-signature verification, rejection on invalid/expired/revoked signature, and test coverage are explicitly supported by the provided contexts."
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,agentic-graph,2,1-hop,True,True,"All claims are supported by the retrieved contexts, which show SEC-019 cites DO-356A and describes the relevant fault-injection verification, while CDL-039 and PLD-035 cite different references."
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",adaptive,1,1-hop,True,True,"All claims about engagement exceptions, required authentication mechanism (HMAC-SHA-256), encryption mode (AES-256-GCM), and which links are affected are supported by the provided context."
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",agentic-graph,1,2-hop,False,True,"The answer accurately states that the retrieved contexts contain only ADS and ICE requirements and do not cover data link crypto, key-retention, or autonomous autopilot engagement topics."
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,graphrag,0,1-hop,True,True,All claims reference only requirement IDs and content directly found in the retrieved contexts.
"Which flight control software requirement ultimately traces through detailed design to the flight data recording requirement for timestamped fault-event capture, and what intermediate control and recorder requirements connect them?",adaptive,2,3+-hop,False,True,"The answer strictly relies on the provided contexts, does not add unsupported claims, and clearly states the absence of fully traceable links."
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,vanilla,0,3+-hop,True,True,"[SEC-008] is explicitly traceable from CDL-013 (and its verification by CDL-039), as supported by the context; the answer correctly notes that CDL-040 is missing, limiting a full trace through FMS-022"
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",graphrag,0,2-hop,True,True,"All factual claims in the answer are explicitly supported by the retrieved EPS-011, EPS-006, EPS-024, APM-023, APM-036, and AUTO-022 contexts, with correct identification of a possible caveat."
"Which data-link requirement ultimately constrains the security and EMS references inherited by the automatic function, and how does that end-to-end trace propagate across those subsystems?",graphrag,1,3+-hop,True,True,"All claims regarding requirement links, inheritance paths, authentication, and operational responses are explicitly supported by the retrieved requirement texts."
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,agentic-graph,1,2-hop,True,True,All claims are directly supported by the requirements and test descriptions in the retrieved contexts.
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",adaptive,0,1-hop,True,True,All claims in the answer are directly supported by the retrieved contexts and reference only the requirement IDs present.
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",agentic,1,3+-hop,False,True,"All claims about requirement functions, dependencies, and fallback behaviors are directly supported by STR7-FCC-004, GPS-006, and NAV-008, with appropriate caution given to inferred (not explicitly tr"
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",graphrag,0,2-hop,True,True,"All claims about Skyrunner-T1 lacking an FMS, using Navigation Integration, and NAV Fusion DAL-B are directly supported by FMS-001 and NAV-001."
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,agentic-graph,2,3+-hop,False,True,All statements in the answer are directly supported or limited to what's present in the retrieved contexts.
"Which APM requirement is ultimately traced from the EPS power-distribution requirement through the intermediate EPS dependencies, and what system function does that end requirement govern?",graphrag,0,3+-hop,False,True,All claims are supported by the contexts via functional descriptions and requirement IDs present.
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,agentic,2,2-hop,False,True,"Every claim in the answer is supported by the retrieved contexts, which lack requirements discussing radar-altimeter EMC coexistence verification with GNSS and CDL transmissions."
Which load-shed table entry defines the priority-2 load failure condition that forces the EMS into CAUTION within 500 ms?,graphrag,1,1-hop,False,True,"All claims about the priority-2 load, its table entry, and EMS CAUTION triggering with notification within 500 ms are explicitly stated or directly supported in the retrieved contexts."
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,agentic-graph,1,1-hop,True,True,All claims are directly supported by FCC-014 and FCC-015 as quoted in the retrieved contexts.
Which flight computer control requirement is ultimately justified by the flight data recorder requirement through the linked security and built-in-test trace chain?,agentic-graph,1,3+-hop,False,True,The answer correctly restricts its claim to only the traceable requirements present in the retrieved contexts and does not assert unsupported trace chains.
"In ground mode, what requirement defines the authorized control-surface command path, and which ground system requirement implements that interface?",agentic,2,1-hop,True,True,"All claims are directly supported by FCC-007, which names GCS.GCS-022 as the implementing ground-system requirement without providing its text."
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic,0,1-hop,True,True,"All claims about published state data, timing, and lack of SAR-specific accuracy are directly supported by the retrieved contexts."
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,agentic,2,3+-hop,False,True,"All claims are strictly anchored in the retrieved contexts, and limitations are explicitly stated where context is missing."
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,2,1-hop,True,True,"All command ID ranges and their dispatch targets are directly listed in the retrieved contexts, and the stated PMC behaviors are supported by PLD-009 and PLD-033."
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,vanilla,1,1-hop,False,True,"Every claim either quotes or fairly paraphrases the context, noting when details are missing."
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,agentic,0,1-hop,True,True,"All claims about the FCC’s monitoring against the filed 4D trajectory (##FMS.FMS-020) and alerting limits, as well as NAV Fusion’s role, are directly supported by the retrieved contexts, and the answe"
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",vanilla,2,1-hop,True,True,All claims about HMI-037's content and its relation to FMS-022 are directly supported by the retrieved contexts.
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",adaptive,1,1-hop,True,True,"Every factual claim in the answer is explicitly or lightly inferred from the retrieved contexts, and all limitations/unknowns about FDR record details are correctly noted as unsupported."
"How does the payload’s structural interface flow down through the data link and command/telemetry link into the communications subsystem, and what end-to-end constraints must remain consistent?",vanilla,0,3+-hop,False,True,"All claims in the answer are grounded in or restricted to the provided requirements, and unsupported claims are explicitly noted as not present in the retrieved contexts."
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,False,True,"The answer only makes claims that are directly stated in the retrieved contexts or highlights missing information, without unsupported additions."
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",graphrag,0,2-hop,False,True,Every claim in the answer is directly supported by the retrieved requirement chunks.
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",agentic,2,2-hop,True,True,"All claims about BATT_ONLY transition, RTB to AUTO, and mandate for verification in fault-injection are directly supported by EPS-011, EPS-024, and EPS-004."
"During a 50 ms Category Z primary-power interruption, how does the specified essential-bus hold-up provision ensure both the INS and FCC remain continuously operational?",graphrag,1,2-hop,True,True,"All claims about hold-up energy requirements, LRU operation during 50 ms interruption, verification testing, and referenced requirement IDs are directly supported by the retrieved contexts."
"Which flight-control verification requirement traces through power constraints to the GPS interface dependency, and what end-to-end rationale links those subsystems?",agentic-graph,1,3+-hop,False,True,"All claims are supported by the retrieved contexts, and the lack of an explicit trace is correctly noted."
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",agentic,1,2-hop,False,True,"All claims in the answer are directly supported and limited to information in the retrieved contexts, with no additional details or unsupported inferences."
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",vanilla,2,1-hop,True,False,"The answer adds enforcement details from CDL-013 for all operator engagement requests, but CDL-013 only covers command frames on the forward link and may not apply to engagement requests generally; th"
"Which power requirement traces through the built-in test and security controls to satisfy the instrumentation requirement, and what security constraint is referenced at both ends of that path?",graphrag,2,3+-hop,False,True,The answer limits its claims to what is present in the retrieved contexts and does not invent any unsupported trace path or cite missing requirements.
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",adaptive,2,2-hop,False,True,"The answer accurately states that the retrieved contexts contain no requirements for uplinked flight plan modification protection, cryptographic key zeroisation, or data link OFF verification."
"Which flight-control initialization constraint governs the termination-mode full nose-down, throttle-cut command before subsequent recovery commands are rejected?",vanilla,0,1-hop,True,True,"All claims are directly supported by context requirements STR7-FCC-006, EMS-026, and EMS-025."
How do the emergency management constraints propagate through power allocation and navigation dependencies to determine the final command/data link behavior?,agentic,2,3+-hop,False,True,"Every claim about dependency propagation, mode transitions, escalation, and visible command/data-link behavior is explicitly supported by the retrieved requirements, and all unstated aspects are corre"
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",graphrag,2,2-hop,True,True,"All claims regarding retained loads and bus tie states on battery-only entry are directly supported by EPS-006 and PWR-032; additional procedural statements are from EPS-011, EPS-012, and EPS-024."
What flight-test evidence demonstrates that hybrid-navigation accuracy supports the FMS’s enroute RNP lateral-guidance containment target when GPS/SBAS is available?,agentic-graph,1,2-hop,True,True,All claims are directly supported by NAV-006 and NAV-034 in the retrieved contexts.
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",agentic,0,3+-hop,True,False,"The answer makes claims about CDL-013 content and its role in the trace, but CDL-013 text is not present in the contexts and its role is inferred rather than supported."
Which application module requirement provides the 1 Hz battery state-of-charge data that the power subsystem uses to inhibit NORMAL mode entry below 85%?,adaptive,2,1-hop,True,True,"PWR-028 explicitly states that the PWR subsystem monitors battery state-of-charge from APM-015 at 1 Hz and refuses NORMAL mode entry below 85% SOC, so the answer is grounded."
"Which display-level operator need ultimately traces through SAR processing and payload design to both EO/IR and radar sensing constraints, and what subsystem dependencies drive that allocation?",agentic-graph,0,3+-hop,False,True,"Every claim is justified by the retrieved contexts, which lack information on the items queried and support only the ADS/NAV dependency chain described."
"How does the fuel-system requirement trace through data loading and flight-control software to the final data-loader constraint, and what end-to-end dependency does that establish?",agentic,0,3+-hop,False,True,The answer accurately states that the required trace and dependencies are not supported by the retrieved contexts.
"If primary aircraft power drops out for 50 ms, how do the FCC hold-up requirement, essential-bus energy provision, and GNSS ride-through capability align?",adaptive,2,2-hop,False,True,"All statements in the answer are supported by the retrieved contexts, which describe essential-bus hold-up energy provision for FCC and GPS, downstream LRU protection, FCC ride-through test verificati"
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,vanilla,2,3+-hop,False,True,The answer faithfully states that no flight dynamics verification requirement or explicit trace link is present in the provided contexts.
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",adaptive,0,3+-hop,False,True,"The answer accurately states that the precise FDR requirement and NAV-to-FDR linkage are not in the context, and all factual claims trace literal or lightly inferred chains directly from the retrieved"
Which GNSS dilution-of-precision outputs feed the navigation fusion QoS score computation for operator display?,vanilla,2,1-hop,True,True,"The answer accurately reflects that only 'GPS DOP' is stated to contribute to the QoS score, and does not infer unsupported details about specific DOP types."
Which power-system verification artifact traces through the automation and emergency-management requirements to the automation requirement ultimately satisfied by the emergency-management function?,agentic-graph,0,3+-hop,False,True,"The answer only claims a verified trace from APM-037 to APM-009 to AUTO-022, and explicitly notes the lack of substantiated EMS linkage in the retrieved requirements."
