query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",3+-hop,vanilla,azure,none,1,11474,507,563,1070,SEC-014;FCC-007;SEC-035;SEC-012;AUTO-025,SEC-014;FCC-007;SEC-035;SEC-012;AUTO-025,5,0,,,,,True,"The answer is empty, so it makes no factual claims unsupported by the contexts.",False,The answer is missing; no factual claims to assess faithfulness.,,skipped,False
"If the primary INS attitude stream degrades below required rate or validity, how quickly must the FCC switch to the backup GPS-aided AHRS to maintain flight-control attitude input?",2-hop,agentic,azure,none,0,14953,4741,525,5266,FCC-017;NAV-015;FCC-016,FCC-017;FCC-016;FCC-024;FCC-041;FCC-032;NAV-008;NAV-007;NAV-015;NAV-016;NAV-005,10,3,continue,semantic,,,True,The contexts state the FCC must switch to the secondary GPS-aided AHRS within 100 ms when the INS rate degrades or validity is lost.,True,FCC-017 states the FCC must switch to the backup GPS-aided AHRS within 100 ms when the INS attitude stream degrades.,,skipped,True
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",2-hop,vanilla,azure,none,2,7998,631,405,1036,DLNK-025;FMS-041;ALX2-FMS-001;FMS-012;NAV-034,DLNK-025;FMS-041;ALX2-FMS-001;FMS-012;NAV-034,5,0,,,,,True,The answer is empty and makes no factual claims.,False,"No context states that the two-aircraft live-network separation test demonstrates guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits; this linkage is not explicitly suppor",,skipped,False
Which load-shed table entry defines the priority-2 load failure condition that forces the EMS into CAUTION within 500 ms?,1-hop,graphrag,azure,none,1,5562,1699,183,1882,EMS-005;PWR-032;EMS-020;EMS-033;EMS-012;EMS-010;EMS-004;FCC-009;APM-009;AUTO-009;CDL-031;COMM-021;EMS-001;EMS-006;EPS-006,EMS-005;PWR-032;EMS-020;EMS-033;EMS-012;EMS-010;EMS-004;FCC-009;APM-009;AUTO-009;CDL-031;COMM-021;EMS-001;EMS-006;EPS-006,15,0,,,,,True,"The answer is empty, so it makes no factual claims unsupported by the contexts.",True,"EMS-005 directly states that any P2 fault, including PWR.PWR-032 priority 2 load failure, forces EMS into CAUTION within 500 ms.",,skipped,True
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,3+-hop,adaptive,azure,none,1,8842,1442,333,1775,STR-015;RADAR-017;RADAR-009;COMM-018;RADAR-025;SEC-014;AUTO-006;SAR-017;AUTO-020;AUTO-022;CDL-005;CDL-024;CDL-030;COMM-029;DLNK-009,STR-015;RADAR-017;RADAR-009;COMM-018;RADAR-025;SEC-014;AUTO-006;SAR-017;AUTO-020;AUTO-022;CDL-005;CDL-024;CDL-030;COMM-029;DLNK-009,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,False,The answer is empty and does not identify any security requirement or trace path from the provided contexts.,False,No security requirement is traced through autonomy functions to the radar interface constraint in the provided contexts.,,skipped,True
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,3+-hop,agentic,azure,none,2,16493,6424,582,7006,HMI-120;ENG-008,HMI-050;HMI-120;BIT-024;PLD-006;HMI-055;SEC-015;SEC-014;AUTO-006;ENG-008;SEC-028;HMI-050;HMI-120;HMI-055;HMI-025;HMI-060;HMI-008;PLD-006;HMI-160;AUTO-006;ENG-008,20,3,continue,semantic,,,False,The answer is empty and does not identify any requirement from the provided contexts.,False,The answer is missing; no claims are made or supported by the contexts.,,skipped,True
How does the ground-vibration test’s identified modal model determine the notch-filter frequencies and widths applied to inertial measurements before inner-loop control?,2-hop,agentic-graph,azure,none,1,18538,4209,617,4826,FCC-039;STR-020;STR-026;FCC-027;FCC-056,STR-020;STR-026;FCC-027;FCC-056;INS-054,5,3,continue,semantic,,,True,The answer is empty and therefore makes no factual claims unsupported by the contexts.,True,"Contexts state that the GVT produces a modal model with identified modes and frequencies which feed the structural notch filter coefficients and design, linking GVT output to notch filter parameters a",,skipped,True
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,1-hop,agentic-graph,azure,none,2,17214,5283,502,5785,FCC-003;FCC-002,STR7-FCC-003;FCC-021;ALX2-FCC-002;FCC-049;STR7-FCC-002;ICE-008;ICE-020;ICE-015;ICE-007;ICE-014,10,3,continue,semantic,,,True,"The answer makes no factual claims, so there is nothing unsupported by the provided contexts.",False,No retrieved context discusses fuel-status data or FCC reliance on such data to constrain commanded thrust.,,skipped,False
Which data link requirement is ultimately implicated by the flight control requirement that references a security control via an intermediate control requirement?,3+-hop,vanilla,azure,none,1,6255,575,237,812,SEC-014;CDL-004;COMM-018;AUTO-004;COMM-012,SEC-014;CDL-004;COMM-018;AUTO-004;COMM-012,5,0,,,,,False,The answer is missing or provides no supported requirement linkage from the contexts.,False,No context shows a flight control requirement referencing a security control that ultimately implicates a specific data link requirement.,,skipped,True
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,1-hop,graphrag,azure,none,1,5056,1856,175,2031,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,EMS-032;APM-032;EMS-031;PWR-015;BIT-036;NAV-010;COMM-024;PWR-026;ADS-002;APM-004;APM-034;BIT-040;CDL-005;ENG-040;FCC-050,15,0,,,,,False,The answer is empty and does not address the question using the provided contexts.,True,"The EMS is required to accept inputs from the PWR subsystem via the primary avionics bus, aggregated at a minimum 5 Hz, and power subsystem publishes mode/status over this bus at ≥10 Hz according to r",,skipped,False
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,2-hop,agentic-graph,azure,none,1,21529,3232,990,4222,HMI-075;NAV-007;NAV-035;INS-013,NAV-007;INS-013;INS-051;NAV-035;NAV-008;INS-023,6,0,sufficient,semantic,,,False,"The answer is missing, so no factual claims are provided to judge against the contexts.",True,"All claims about HIL GPS-outage testing, mode transition, and NAV_DEGRADED annunciation for >60 s GPS loss are explicitly supported by NAV-007, NAV-035, and INS-013 in the retrieved contexts.",,skipped,False
"Which flight-control computer display behavior is validated by the HMI verification requirement through the linked display logic reference, and what upstream cockpit interface requirement does it trace back to?",3+-hop,agentic-graph,azure,none,0,14742,4230,466,4696,HMI-015;FCC-029,NBC3-FCC-002;ALX2-FCC-003;FCC-004;FCC-029;FCC-007;HMI-022;NBC3-INS-002,7,0,sufficient,semantic,,,True,"The answer contains no factual claims, so there is nothing unsupported by the provided contexts.",True,"The display behavior validated by the HMI verification requirement is annunciating CARGO_SHIFT with visual alert and CG delta per HMI-022, linked from NBC3-FCC-002; HMI-022 traces upstream to NBC3-FCC",,skipped,True
"Which flight-control requirement, traced from the built-in test function through the environmental monitoring requirement it satisfies, ultimately references the final EMS requirement?",3+-hop,agentic-graph,azure,none,2,14651,5051,382,5433,AUTO-009;EMS-006,SEC-028;EMS-030;SEC-035;COMM-018;AUTO-009;EMS-029;NBC3-NAV-001;RADAR-009;COMM-022;TCS-019,10,3,continue,semantic,,,False,The answer is empty and does not identify any requirement chain from built-in test through environmental monitoring to a final EMS requirement.,False,No context contains a trace from built-in test to environmental monitoring to a final EMS requirement.,,skipped,True
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",2-hop,agentic,azure,none,0,16700,2615,862,3477,EPS-007;PWR-032;EPS-006;AUTO-022;EPS-011;EPS-024;EPS-004,FCC-041;FCC-015;FCC-017;FCC-006;FCC-012;EPS-006;EPS-007;EPS-015;EPS-011;EPS-004,10,0,sufficient,semantic,,,False,"The answer is missing, so no factual claims can be verified from the provided contexts.",False,"No context specifies the SoC data path or update rate for RTB; also, the relation between SoC monitoring and mode-entry constraints is not described.",,skipped,True
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,2-hop,vanilla,azure,none,0,5419,554,274,828,RADAR-024;COMM-029;RADAR-009;CDL-024;COMM-018,RADAR-024;COMM-029;RADAR-009;CDL-024;COMM-018,5,0,,,,,True,"The answer is empty, so it makes no factual claims unsupported by the contexts.",True,"The answer is supported: RADAR-024 specifies DO-160G §20 Category Y test with CDL and GPS transmitters active, demonstrating no degradation of RA track or PVT output.",,skipped,True
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",2-hop,agentic-graph,azure,none,1,21466,5273,684,5957,SEC-010;FCC-011;ICE-019,ICE-003;ICE-019;ICE-004;ICE-012;ICE-001;ALX2-FCC-003;FCC-032;FCC-011;FCC-007;FCC-030,10,3,continue,semantic,,,False,"The answer is missing, and the contexts do not support claims about data link crypto modules, key retention, authenticated autonomous autopilot engagements, or DAA Resolution/RTB exceptions.",False,"No retrieved context discusses data link crypto modules, key-retention, or authenticated autonomous autopilot engagements or exceptions like DAA Resolution and RTB.",,skipped,True
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,1-hop,agentic-graph,azure,none,2,16871,4236,523,4759,SEC-019;PLD-035;CDL-039,SEC-019;PLD-035;SEC-016;CDL-039;SEC-002,5,3,continue,semantic,,,False,The answer is empty and does not identify any verification demonstrating compliance with the cited reference set.,False,"The ANSWER is empty and provides no claims, thus it cannot demonstrate compliance as requested.",,skipped,True
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,1-hop,vanilla,azure,none,0,4066,582,249,831,PLD-009;PLD-033;PLD-021;PLD-003;PLD-016,PLD-009;PLD-033;PLD-021;PLD-003;PLD-016,5,0,,,,,True,"The answer is empty, so it makes no factual claims beyond the provided contexts.",True,"The routing table in PLD-033 lists command ID ranges for PMC dispatch to each sensor or external store, directly supporting such claims.",,skipped,True
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",3+-hop,adaptive,azure,none,1,7643,1291,293,1584,SEC-014;SEC-035;SEC-012;SEC-003_1;CDL-038;COMM-018;CDL-003;SEC-008;CDL-011;CDL-013;CDL-024;COMM-029;ENG-037;FCC-011;FCC-031,SEC-014;SEC-035;SEC-012;SEC-003_1;CDL-038;COMM-018;CDL-003;SEC-008;CDL-011;CDL-013;CDL-024;COMM-029;ENG-037;FCC-011;FCC-031,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,True,The answer is empty and therefore makes no factual claims unsupported by the contexts.,True,"SEC-008 traces command-validation to FCC constraint FCC-031 and CDL constraint CDL-013, both referencing security requirement SEC-008, which closes the chain back to itself.",,skipped,True
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",3+-hop,adaptive,azure,none,2,22423,4668,849,5517,PWR-012;STR-021;FCC-041;FCC-046;SEC-014;SEC-035;SEC-012,SEC-014;PWR-001;SEC-035;SEC-012;STR-021;APM-001;PWR-003;FUEL-007;ENG-002;BIT-001,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",False,The answer is empty and does not identify any built-in test requirement or rationale from the provided contexts.,False,No context links a built-in test requirement as being ultimately driven by the power requirement through security and flight-control requirements or outlines any end-to-end rationale connecting them.,,skipped,True
Which GNSS dilution-of-precision outputs feed the navigation fusion QoS score computation for operator display?,1-hop,vanilla,azure,none,2,4192,459,126,585,NAV-021;INS-038;NAV-020;NAV-019;NAV-011,NAV-021;INS-038;NAV-020;NAV-019;NAV-011,5,0,,,,,False,"The contexts only say the QoS uses GPS DOP, not which GNSS DOP outputs specifically feed it.",False,"The retrieved contexts mention GPS DOP feeds the QoS score computation but do not specify which GNSS DOP outputs (e.g., GDOP, PDOP) are used.",,skipped,True
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",2-hop,adaptive,azure,none,1,5631,506,198,704,EPS-024;EPS-011;EPS-005;EPS-015;APM-023,EPS-024;EPS-011;EPS-005;EPS-015;APM-023,5,0,,,vanilla,R5: numeric_hint + single_module (EPS) → top-K,True,The answer makes no factual claims beyond what the provided contexts support.,True,"EPS-011 specifies BATT_ONLY mode and RTB to AUTO must be demonstrated if APU self-shuts down during start, and EPS-024 requires fault-injection test to verify mode transitions including APU failure.",,skipped,True
"Which communications requirement, linked through the security constraint referenced by the fuel requirement, ultimately traces to the EMS requirement, and what end-to-end dependency does that establish?",3+-hop,agentic-graph,azure,none,1,20091,4815,791,5606,COMM-022;FUEL-010;SEC-028;EMS-021;EMS-018,SEC-028;COMM-022;FDR-045;FUEL-010;EMS-005;EMS-006;COMM-018;FDR-012;EMS-018;FDR-050;ENG-014;FDR-016;FMS-015;GCS-014;COMM-021;INS-013;PWR-032,17,0,sufficient,semantic,,,False,The answer is empty and does not address the question using the provided contexts.,False,No context shows a fuel requirement linked to a security constraint leading to an EMS requirement or describes an end-to-end dependency of that nature.,,skipped,True
Which flight control computer requirement is ultimately implicated by the flight data recorder verification path through navigation and GPS references?,3+-hop,adaptive,azure,none,1,7480,1551,302,1853,FDR-022;FMS-004;SEC-035;AUTO-004;NAV-002;GPS-006;COMM-018;NAV-008;ADS-020;CDL-024;COMM-029;ENG-037;FMS-006;GPS-009;GPS-030,FDR-022;FMS-004;SEC-035;AUTO-004;NAV-002;GPS-006;COMM-018;NAV-008;ADS-020;CDL-024;COMM-029;ENG-037;FMS-006;GPS-009;GPS-030,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,True,"The answer is empty, so it makes no factual claims to check against the contexts.",False,No retrieved context explicitly connects a flight data recorder verification path through navigation and GPS references to a specific FCC requirement.,,skipped,False
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",1-hop,agentic,azure,none,1,12962,3543,297,3840,ADS-014;ADS-017;ADS-021;ADS-026;ADS-004,ADS-017;ADS-026;ADS-004;ADS-014;ADS-021,5,3,continue,semantic,,,False,The contexts do not mention autonomous mode engagement exceptions or any authentication mechanism for operator engagement requests on control data links.,False,None of the retrieved contexts discuss authentication mechanisms or operator engagement requests for autonomous mode exceptions.,,skipped,True
"Which radar altimeter mode requirement supports terrain-avoidance advisory coupling, and which autopilot requirement governs autonomous DAA resolution engagement?",1-hop,adaptive,azure,none,2,14101,2469,387,2856,RADAR-017;AUTO-020;AUTO-006,RADAR-017;RADAR-005;RADAR-009;STR-015;RADAR-007;AUTO-020;AUTO-006;AUTO-038;RADAR-017;AUTO-021,10,0,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=False)",False,"The answer is missing, so no factual claims can be verified from the provided contexts.",True,"RADAR-017 supports terrain-avoidance advisory coupling, and AUTO-020 governs autonomous DAA resolution engagement, both explicitly stated in the retrieved contexts.",,skipped,False
"At what rate must the recorder log the communications data link health/status word, given mandatory-parameter native-rate recording and the health word’s own update requirement?",2-hop,agentic-graph,azure,none,0,11489,3355,515,3870,FDR-016;FDR-004;CDL-029;COMM-020,FDR-005;CDL-029;FCC-042;COMM-020;FCC-047;FDR-004;FDR-005;FDR-032;FDR-022;FDR-030;CDL-029;COMM-020;FCC-051;PLD-020;SAR-019,15,0,sufficient,semantic,,,False,The answer is empty and does not address the required logging rate from the provided contexts.,False,The required recorder logging rate for the communications data link health/status word is not specified in the retrieved contexts.,,skipped,True
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,1-hop,agentic-graph,azure,none,1,29905,5196,820,6016,FCC-015;FCC-014;FCC-013,FCC-014;FCC-015;FCC-013;FCC-025;FCC-027;FCC-014;FCC-013;FCC-015;FCC-023;FCC-025,10,3,continue,semantic,,,True,"The answer contains no factual claims, so there is nothing unsupported by the provided contexts.",True,FCC-015 explicitly states that background tasks at 10 Hz must not delay outer-loop (50 Hz) execution beyond FCC-014's jitter bounds.,,skipped,True
"Which command-and-data-link requirement ultimately fulfills the secure communications requirement, and through what EMS reference path is that satisfaction traced across subsystems?",3+-hop,adaptive,azure,none,0,6196,1711,262,1973,CDL-003;COMM-022;SEC-028;EMS-030;CDL-001;SEC-014;SEC-010;DLNK-003;APM-033;AUTO-006;AUTO-034;CDL-012;COMM-002;COMM-019;DLNK-002,CDL-003;COMM-022;SEC-028;EMS-030;CDL-001;SEC-014;SEC-010;DLNK-003;APM-033;AUTO-006;AUTO-034;CDL-012;COMM-002;COMM-019;DLNK-002,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,False,The answer is empty and does not provide any supported factual claim addressing the question.,True,"The CDL-003 requirement provides an encrypted, authenticated, integrity-protected bi-directional command and data link, deriving from the secure communications requirement ARP4761-FHA-COMM-01; this sa",,skipped,False
"Which interface power requirement defines the 50 ms ride-through capability, and which general requirement establishes the DO-160G Category Z interruption profile?",1-hop,agentic-graph,azure,none,2,26066,5180,574,5754,COMM-025;INS-035;CDL-025;DLNK-016;COMM-016,INS-046;COMM-025;FCC-055;FCC-045;DLNK-020;INS-035;CDL-025;COMM-016;TCS-020;DLNK-016,10,3,continue,semantic,,,True,"The answer contains no factual claims, so there is nothing unsupported by the provided contexts.",True,"The 50 ms ride-through is defined by INS-035, and the DO-160G Category Z interruption profile is established by INS-035, both of which are directly stated in the retrieved contexts.",,skipped,True
"How does the autonomous function’s top-level requirement trace through radar interface constraints and back to its originating autonomy requirement, and what end-to-end obligation does that imply?",3+-hop,vanilla,azure,none,1,7515,576,443,1019,AUTO-006;RADAR-017;AUTO-020;FDR-015;RADAR-025,AUTO-006;RADAR-017;AUTO-020;FDR-015;RADAR-025,5,0,,,,,True,The answer is empty and therefore makes no factual claims beyond the provided contexts.,True,"The answer could be supported as the contexts provide traceability from the autonomy requirement (AUTO-020) through radar interface constraints (RADAR-017, RADAR-025), demonstrating bidirectional trac",,skipped,True
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",1-hop,vanilla,azure,none,2,5129,465,236,701,AUTO-006;GCS-008;ICE-019;EMS-024;FCC-011,AUTO-006;GCS-008;ICE-019;EMS-024;FCC-011,5,0,,,,,False,The answer is empty and does not state the required authentication mechanism from the contexts.,False,No authentication mechanism is specified in detail; only references to authentication per SEC.SEC-010 are made without describing the mechanism.,,skipped,True
What test demonstrates the receiver meets integrity alert timing for unresolved protection-level exceedances under simulated satellite-fault conditions?,1-hop,vanilla,azure,none,0,4275,534,193,727,GPS-034;SAR-025;FMS-044;GPS-017;GPS-014,GPS-034;SAR-025;FMS-044;GPS-017;GPS-014,5,0,,,,,True,"The empty answer makes no factual claims, so all claims are vacuously supported by the provided contexts.",True,The test that demonstrates the receiver meets integrity alert timing for unresolved protection-level exceedances under simulated satellite-fault conditions is specified in GPS-034.,,skipped,True
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",2-hop,vanilla,azure,none,1,4701,506,191,697,EPS-024;EPS-011;EPS-005;EPS-015;APM-023,EPS-024;EPS-011;EPS-005;EPS-015;APM-023,5,0,,,,,False,The answer is empty and does not state the required BATT_ONLY transition and RTB to AUTO supported by the contexts.,True,EPS-011 states EPS shall declare BATT_ONLY and issue RTB to AUTO if APU self-shutdown per APM-023 occurs during start; mode transition logic and RTB behavior are covered.,,skipped,False
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,1-hop,adaptive,azure,none,1,14231,3625,367,3992,STR-038;PLD-003;DLNK-017;CDL-024,STR-038;PLD-003;STR-004;STR-021;PWR-012,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=False)",True,The answer is empty and therefore makes no factual claims unsupported by the contexts.,True,"STR-038 defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack, as referenced by PLD-003 and supported by the prov",,skipped,True
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,1-hop,agentic,azure,none,2,16739,3528,519,4047,SEC-019;SEC-003;SEC-008;CDL-013;PLD-035;CDL-039,SEC-019;PLD-035;SEC-016;CDL-039;SEC-002,5,3,continue,semantic,,,False,"The answer is empty and does not identify any verification, so it does not answer the question from the provided contexts.",True,SEC-019 explicitly describes command-authentication fault-injection verification demonstrating compliance with cited activities (DO-356A reference) and specific requirements.,,skipped,False
