query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,agentic-graph,1,1-hop,True,True,All claims in the answer are directly supported by FCC-014 and FCC-015 in the retrieved contexts.
"Which command-and-data-link requirement ultimately fulfills the secure communications requirement, and through what EMS reference path is that satisfaction traced across subsystems?",adaptive,0,3+-hop,True,True,All claims and requirement IDs are supported and mapped in the retrieved contexts.
"Which interface power requirement defines the 50 ms ride-through capability, and which general requirement establishes the DO-160G Category Z interruption profile?",agentic-graph,2,1-hop,True,True,"All claims are directly supported by the retrieved contexts, with matching requirement IDs and quoted content."
"How does the autonomous function’s top-level requirement trace through radar interface constraints and back to its originating autonomy requirement, and what end-to-end obligation does that imply?",vanilla,1,3+-hop,True,True,All claims in the answer are directly supported by the retrieved contexts with proper requirement references and trace descriptions.
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",vanilla,2,1-hop,False,True,"All claims in the answer are supported: operator engagement requests must be authenticated per SEC-010 (AUTO-006), cryptographically authenticated with a non-reused sequence number (FCC-011), and auth"
What test demonstrates the receiver meets integrity alert timing for unresolved protection-level exceedances under simulated satellite-fault conditions?,vanilla,0,1-hop,True,True,All claims in the answer are directly supported by the retrieved contexts.
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",vanilla,1,2-hop,True,True,"All claims about mode transition to BATT_ONLY, RTB to AUTO issuance, and test verification are directly supported by the retrieved contexts, with correct references and no extraneous detail."
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,adaptive,1,1-hop,True,False,Claims about DLNK-017 and CDL-024 IDs are not supported as such IDs do not appear in the retrieved context verbatim; their references are only present as context cross-references.
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,agentic,2,1-hop,True,False,"The answer adds interpretive details (e.g., 'broader security assurance activities set'), extra explanation about related tests, and references details that are not all directly stated in the contexts"
Which flight-control cross-channel data link timing and integrity behavior must BIT monitor to satisfy CBIT consistency-check verification?,agentic-graph,0,1-hop,False,True,All claims are supported directly by the retrieved contexts and do not add unstated details.
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",adaptive,0,1-hop,True,True,"All claims regarding EKF divergence detection, reset, and FDR linkage are directly supported by NAV-024 and NAV-036; the answer correctly notes where context is missing on snapshot/reset-state content"
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,vanilla,1,1-hop,True,True,All factual claims about SAR_STATUS_MSG fields and update rate are supported by the provided SAR-019 and BIT-026 contexts.
Which flight control computer requirement ultimately traces the EMS command/data link interface constraint back to the originating EMS behavior requirement?,agentic-graph,0,3+-hop,False,True,All claims about tracing FCC requirements to EMS requirements are supported; the answer flags lack of CDL/interface constraint context accurately.
Which flight computer control requirement is ultimately justified by the flight data recorder requirement through the linked security and built-in-test trace chain?,graphrag,2,3+-hop,False,True,All claims about requirement linkage and the absence of a full security+BIT trace are directly supported or evidenced in the retrieved contexts.
What test evidence shows linked-mode pilot commands meet the ground-station latency requirement while being received and routed by the command data link?,vanilla,0,2-hop,False,True,All claims about test evidence for CDL routing/receipt and about the lack of linked-mode GCS-side test evidence are supported or directly traceable to the retrieved contexts.
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,graphrag,0,1-hop,True,True,All command ID ranges and routing are explicitly listed in the provided contexts.
"Which communications capability document is explicitly excluded from the tactical Link‑16 terminal scope, and what assurance levels govern it?",agentic,1,1-hop,True,True,"All claims are directly supported by the retrieved contexts, including CDL exclusion, Link-16 terminal assurance levels, and the absence of CDL-specific assurance levels."
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,1,1-hop,True,True,"All claims about APM-037 verifying APM-009, the 30-minute RTB load profile, and the battery endurance requirement are directly and explicitly supported by the retrieved contexts."
"For loss of INS with no valid GPS/barometric fallback, what autonomous emergency transition and priority-tagged GCS mode-change notification are required?",adaptive,0,2-hop,True,True,The answer correctly uses only the information in FCC-009 and acknowledges lack of information about the priority tag.
Which communications requirement is ultimately fulfilled by the automatic control requirement through the referenced security and command/data link requirements?,agentic-graph,1,3+-hop,False,True,"All claims are supported by SEC-008, which explicitly connects FCC.FCC-040 and CDL.CDL-013 without referencing COMM requirements."
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",agentic,0,3+-hop,False,True,"[SEC-008] directly traces between ##CDL.CDL-013 (CDL verification) and ##FCC.FCC-031 (FCC constraint) and explicitly states it satisfies both, as described in the chain."
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,vanilla,2,3+-hop,False,True,The answer only summarizes what is or is not present in the retrieved contexts and does not introduce unsupported claims.
What navigation time-synchronization service must the flight data recorder use to timestamp mandatory parameters in UTC at native sampling rates?,graphrag,2,1-hop,True,True,"All claims about the NAV Fusion service, its accuracy, sourcing, interface, and use for timestamping by FDR are explicitly supported by contexts [FDR-004] and [NAV-027]."
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",agentic,2,2-hop,False,True,"All claims are directly supported by the retrieved requirements, and limitations are explicitly noted where context is missing."
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",graphrag,2,2-hop,True,True,All claims about required trackable bands and constellations are directly supported by GPS-009 and the EMC coexistence claims are supported by SAR-017 and CDL-024.
"In approach mode, what guidance source must the flight control computer accept, and what deviation data must the FMS provide to support it?",vanilla,1,1-hop,True,True,All factual claims about FCC guidance source in APPROACH mode and FMS deviation data are explicitly supported by the retrieved contexts.
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",agentic-graph,1,3+-hop,False,True,All facts about SEC-010's satisfaction by AUTO.AUTO-006 and downstream reference by PLD-012 are directly supported by the retrieved contexts.
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",vanilla,2,1-hop,True,True,"All claims are directly supported by the retrieved contexts, specifically HMI-037 and FMS-022."
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,vanilla,0,3+-hop,False,True,"All claims in the answer regarding SEC-010, its content, and the traceability path are directly supported by the retrieved contexts."
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",adaptive,2,2-hop,False,True,All claims are supported—the answer accurately states that no relevant requirements are present in the retrieved contexts and does not introduce unsupported details.
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,vanilla,0,1-hop,True,True,All factual claims about SEC-019's content and its reference to DO-356A are directly supported by the retrieved contexts.
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",graphrag,0,2-hop,True,True,"Every claim in the answer is traceable to the provided requirements, with careful distinction between what is and is not specified in the contexts."
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,adaptive,0,1-hop,True,True,"All claims about the centreline touchdown accuracy, verification methodology, and CAT I limits are supported directly and explicitly by the retrieved contexts."
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,agentic-graph,0,2-hop,True,True,"All claims about the EMC coexistence test, involved transmitters, and required GNSS frequencies are traceable to the retrieved contexts without adding unsupported details."
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic,2,1-hop,True,True,All claims about SAR-005 tracing to PLD-006 and their content are directly supported by the contexts.
"Which security requirement referenced by the autonomy control requirement is satisfied by the same control requirement and, through that linkage, points to the downstream autonomy interface requirement?",agentic-graph,2,3+-hop,True,True,"All claims (SEC-010 linkage, AUTO-006 reference, AUTO-034 auth_tag, requirement chain) are explicitly supported in retrieved contexts."
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,graphrag,0,1-hop,True,True,"All claims in the answer are explicitly supported by the retrieved contexts, specifically HMI-025 and SKT1-FCC-003."
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,graphrag,2,1-hop,True,True,All answer claims are directly supported by the retrieved contexts DLNK-025 and ALX2-FMS-001.
Which INS state publication requirement satisfies the FCC need for 200 Hz inertial data delivery with no more than 5 ms end-to-end latency?,graphrag,1,1-hop,True,True,"All claims about INS-020, FCC-016, and their linkage are explicitly supported by the retrieved contexts."
Which flight computer control requirement is ultimately justified by the flight data recorder requirement through the linked security and built-in-test trace chain?,agentic-graph,1,3+-hop,False,True,Every claim in the answer is directly grounded and all identified missing links are verified by the contexts.
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",adaptive,2,2-hop,True,False,"The claim that MBIT-related traffic is included is an unsupported inference, since MBIT is not mentioned in the contexts; only general maintenance traffic is specified."
"Which flight control requirement ultimately drives the cockpit interface behavior referenced through the control-chain dependency, and how does that end-to-end traceability flow across avionics and HMI?",agentic,0,3+-hop,False,True,The answer accurately states that the full end-to-end traceability is not present in the retrieved contexts and only makes claims directly verifiable from the provided requirements.
"Which display-level operator need ultimately traces through SAR processing and payload design to both EO/IR and radar sensing constraints, and what subsystem dependencies drive that allocation?",vanilla,0,3+-hop,False,True,All claims are directly supported by the retrieved contexts or appropriately qualified when information is absent.
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,agentic,1,1-hop,True,True,"All command ID ranges and their routing targets are correctly listed, and the requirement to use the table and reject unknown commands is explicitly supported by PLD-009 and PLD-033."
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,graphrag,1,1-hop,True,True,All claims in the answer are supported directly by SAR-019 and BIT-026 in the contexts.
Which communications links must demonstrate DO-160G Category Y EMC coexistence without mutual interference with the radar altimeter and GPS?,graphrag,0,1-hop,True,True,"All claims about required subsystems, the specific coexistence relationships, and the scope of relevant requirements are supported by the retrieved contexts."
"When weight-on-wheels permits ground maintenance, what authentication must be enforced on the battery management unit’s service interface for firmware updates and calibration?",adaptive,0,2-hop,False,True,All claims about requirement absence and ICE-019 referencing authentication are directly supported by the contexts.
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",vanilla,0,3+-hop,False,True,All claims are supported and substantiated with explicit references to the provided requirement contexts.
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic-graph,1,2-hop,False,True,"All claims about operator engagement, authentication, and lack of special handling for coalition sensor handover are directly supported by the retrieved contexts."
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",agentic,2,2-hop,False,True,"The answer faithfully summarizes the available context and explicitly notes that details about authentication method, key-rotation policy, Link 16 crypto module, and 30-day key storage are not provide"
"During EMC Category Y coexistence testing with CDL and GPS active, which CDL operational modes should the radar altimeter remain interference-free in while maintaining RA track and PVT output?",agentic,2,2-hop,False,True,The answer only uses information explicitly stated in the retrieved contexts and avoids unsupported claims about CDL operational modes.
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",graphrag,2,2-hop,True,True,"All claims (Skyrunner-T1 lacks FMS and uses Navigation Integration, NAV Fusion at DAL-B, test tied to AeroLynx-X2) are directly supported in the contexts."
How are the inertial-measurement structural-notch filters validated using ground-vibration data and in-flight flutter testing to show adequate damping through the required flutter-clearance margin?,agentic,2,2-hop,True,True,"All factual claims in the answer regarding notch filter application, coefficients, GVT process, frequency-response analysis, in-flight testing, and flutter-clearance margin are directly supported by t"
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",agentic-graph,0,1-hop,True,True,"All claims about HMI-037's requirements for confirmation, full diff display, and referencing FMS-022 are directly supported by the retrieved context."
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,adaptive,1,1-hop,True,True,"Every claim is directly supported by the retrieved contexts, specifically [PWR-015] and [FDR-028]."
What flight-test evidence demonstrates that hybrid-navigation accuracy supports the FMS’s enroute RNP lateral-guidance containment target when GPS/SBAS is available?,agentic-graph,1,2-hop,True,True,"All claims about flight-test evidence, mission count, and accuracy thresholds are directly supported by NAV-034 and NAV-006."
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",adaptive,2,1-hop,False,True,"All claims about publication and recording rates, the involved message, and requirement IDs are directly supported by the retrieved contexts."
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,agentic,0,1-hop,False,True,"All factual claims about EPS_STATUS_MSG, its 5 Hz rate, its delivery to the FDR, and lack of 10 Hz are directly supported by EPS-016 and EPS-020."
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic-graph,0,1-hop,False,True,All claims and requirement IDs are supported or logically inferred from the retrieved contexts.
"How do the automated control functions trace through security and emergency management constraints to the cockpit display behavior, and what end-to-end dependency does that imply?",graphrag,2,3+-hop,False,True,"All facts are supported by the requirements: the HMI-GCS interface, security RBAC/flight-phase filtering, emergency management coordination, and absence of more detailed display logic."
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",agentic,2,2-hop,False,True,The answer only makes claims that are directly supported by the retrieved requirements and correctly indicates which elements are not substantiated by the provided context.
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",graphrag,2,2-hop,True,True,"All claims regarding operator authentication requirement, its enforcement per SEC-015, use of multi-factor authentication per GCS-008, and listed maintenance interfaces are supported in the contexts."
"Which flight-control verification requirement traces through power constraints to the GPS interface dependency, and what end-to-end rationale links those subsystems?",agentic-graph,1,3+-hop,True,True,"All factual claims are directly supported by retrieved contexts, referencing FCC-036, FCC-055, GPS-026, GPS-028, FCC-009, and the connection to power survivability, interface, and mode requirements."
"Which power requirement traces through the built-in test and security controls to satisfy the instrumentation requirement, and what security constraint is referenced at both ends of that path?",graphrag,2,3+-hop,False,False,"The answer references PWR-027 and an instrumentation requirement, but neither is present in the retrieved contexts."
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic,1,2-hop,False,True,All claims in the answer are directly grounded in FCC-011 and ICE-019 from the retrieved contexts and no unsupported content is added.
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,graphrag,2,1-hop,True,True,"All claims about background health-monitoring rate, jitter constraints, applicability to the outer loop, related module interactions, and verification by timing measurement are directly supported by t"
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,agentic-graph,2,3+-hop,False,True,"All claims are directly supported by the contexts, and limitations regarding the missing AUTO-020 content are correctly acknowledged."
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",adaptive,1,1-hop,True,True,"Every claim is explicitly supported by NAV-024, FDR-024, and NAV-036 in the retrieved contexts."
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",graphrag,0,2-hop,False,True,All claims in the answer are supported by the retrieved contexts with referenced requirement IDs and corresponding verification details.
"How is autonomous or operator-requested autopilot mode engagement authenticated over the data link, and what terminal cryptographic capability must support that protection?",graphrag,1,2-hop,True,True,All factual claims are supported and directly traceable to the provided requirement contexts.
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,1,1-hop,True,True,"All claims, including the verification link between APM-037 and APM-009, timing, DoD value, and RTB profile, are directly supported by the retrieved contexts."
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,vanilla,1,1-hop,True,True,All claims in the answer are directly quoted or accurately summarized from the retrieved contexts.
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",agentic,2,2-hop,False,True,All claims in the answer are strictly grounded in the retrieved contexts and correctly note the absence of specifics about SBAS/approach requirements.
"What flight control computer behavior, as referenced by cockpit display logic and lighting requirements, ultimately satisfies the applicable security requirement?",adaptive,2,3+-hop,False,False,The answer adds context about the absence of cockpit display requirements and a summary of system behaviors not directly found in the retrieved requirements.
"Which INS-published state elements support the flight data recorder’s mandatory attitude, position, and velocity parameter capture?",graphrag,0,1-hop,False,True,"All claims about INS-published state elements (attitude, position, velocity) and their support for FDR parameter capture are supported by the retrieved requirements; distinctions regarding FDR source "
"Which flight computer security requirement flows through the data link to satisfy the communication subsystem requirement, and what intermediate security rationale connects them?",adaptive,1,3+-hop,False,True,"The answer accurately states limits of what is supported by the contexts, only summarizes security flows and rationale directly evidenced, and does not invent unsupported requirement IDs or connection"
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",adaptive,0,3+-hop,False,True,"The answer carefully identifies all claims that are supported by the context and explicitly notes the absence of a specific BIT requirement, making no unsupported assertions."
"Which flight control software requirement ultimately traces through detailed design to the flight data recording requirement for timestamped fault-event capture, and what intermediate control and recorder requirements connect them?",adaptive,2,3+-hop,False,True,"Every claim is directly supported by the retrieved requirements, including [INS-015] mapping to [FDR-018] for timestamped INS fault-event capture and [FCC-012] mapping to [FDR-008] for mode transition"
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,2,1-hop,True,True,All command ID ranges and routing details are directly supported by the provided Payload_Command_Routing table and PLD-009.
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic,0,3+-hop,False,True,Every claim is backed by the ICE and FDR requirement chunks and the answer does not invent links through autonomy or energy management not in the contexts.
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",agentic,0,3+-hop,True,True,"Every factual claim in the answer is supported by the retrieved requirements, which together establish the functional dependency chain from FCC to NAV via GPS and INS; the caution about an explicit DO"
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,vanilla,2,1-hop,True,True,"[SEC-008] is specifically cited as the system-level requirement enforced by FCC command validation and rejection, matching the traceability and validation behavior described in the contexts."
"How does the fuel-system requirement trace through data loading and flight-control software to the final data-loader constraint, and what end-to-end dependency does that establish?",agentic,0,3+-hop,False,True,"The answer accurately reflects that the retrieved contexts do not mention fuel-system or data-loader requirements, and restricts its claims to what is present in the contexts."
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic,1,1-hop,False,True,The answer correctly states that no claim can be made because no requirements were retrieved.
