query,pipeline,repeat,query_type,gemini_judged_on,gemini_faithful,gemini_reason,gemini_tokens,gpt41_judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
Where was the father of Alina Fernández born?,graphrag,0,2-hop,2026-08-21,False,"The context explicitly states that Fidel Castro was born in Birán, Oriente, contradicting the answer's claim that his birthplace is not listed.",2467,2026-08-20,False,"Context [2W-011-P05] states Fidel Castro was born in Birán, Oriente, supporting the claim if it identified him as Alina Fernández’s father.",1967
"Who died later, Adam Purple or Chyskillz?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the death dates of Adam Purple and Chyskillz based on the provided contexts.,1861,2026-08-20,True,The death dates for Adam Purple and Chyskillz are explicitly provided and compared in the retrieved contexts.,1475
"Which film whose director was born first, Lions For Lambs or Nowhere In Africa?",graphrag,0,3+-hop,2026-08-21,False,"The initial answer 'Nowhere in Africa' contradicts the retrieved facts, which show that Robert Redford (director of Lions for Lambs, born 1936) was born before Caroline Link (born 1964).",2667,2026-08-20,True,"The answer correctly identifies the directors, their birthdates, and concludes Lions for Lambs' director was born first, all of which are stated in the retrieved contexts.",1888
"Which film came out earlier, Where Are You? I'M Here or Patnam Vachina Pativrathalu?",graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the release years of both films and the comparison are supported by the cited contexts.,1213,2026-08-20,True,"The context explicitly provides the release years for both films, supporting the answer.",874
"Where was the place of death of Crato, Count Of Nassau-Saarbrücken's father?",graphrag,0,2-hop,2026-08-21,True,"The answer accurately states that Crato's father was William Louis, Count of Nassau-Saarbrücken, and that he died in Metz, directly supported by contexts 2W-015-P03 and 2W-015-P05.",2135,2026-08-20,True,Both claims are directly supported by the retrieved contexts.,1687
"Which film has the director who was born later, Young Buffalo Bill or The Lacquered Box?",graphrag,0,3+-hop,2026-08-21,True,"All factual claims regarding the films, directors, and their birth dates are fully supported by the retrieved contexts.",1608,2026-08-20,True,All claims about directors and their birth dates are directly supported by the provided contexts.,1120
"Do Kim Darby and John Birdsall (Politician, Born 1840) have the same nationality?",graphrag,0,1-hop,2026-08-21,True,All factual claims are accurately supported by the retrieved contexts.,1625,2026-08-20,True,Both Kim Darby and John Birdsall are identified as American in the retrieved contexts.,1106
"Which film whose director was born first, Sin'S Pay Day or Gunaah (1993 Film)?",graphrag,0,3+-hop,2026-08-21,True,"All facts regarding film directors, their birth dates, and the resulting comparison are fully supported by the retrieved contexts.",3805,2026-08-20,True,All facts about directors and their birth dates are directly supported by the contexts.,3286
Who was the teacher of the composer of film The Cousin From Nowhere (1953 Film)?,graphrag,0,2-hop,2026-08-21,True,The contexts confirm that Eduard Künneke composed the operetta on which the 1953 film was based and that he was an advanced student of Max Bruch.,1986,2026-08-20,True,"All claims are directly supported: Eduard Künneke composed the operetta, and he was an advanced student of Max Bruch.",1610
"Who is older, Arnold Carl Johansen or Walter Lafferty?",graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the birth dates and age comparison are fully supported by the retrieved contexts.,1846,2026-08-20,True,All factual claims (birthdates and comparison) are directly supported by the retrieved contexts.,1413
"Who was born first, Cornelis Gijsbert Gerrit Jan Van Steenis or Tarsem King, Baron King Of West Bromwich?",graphrag,0,1-hop,2026-08-21,True,All facts and birth dates are fully supported by the retrieved contexts.,1838,2026-08-20,True,Both birth dates are explicitly provided and compared directly from the given contexts.,1417
"Did the movies Mille Bolle Blu and La Moglie Vergine, originate from the same country?",graphrag,0,1-hop,2026-08-21,True,All claims regarding the country of origin of both films are fully supported by the retrieved contexts.,1647,2026-08-20,True,Both films are explicitly described as Italian in the provided contexts.,1243
"Who is older, Daniel David Moses or Stanislas Batchi?",graphrag,0,1-hop,2026-08-21,True,All birth dates and the resulting comparison are fully supported by the retrieved contexts.,1429,2026-08-20,True,All birth dates and the comparison are explicitly supported by the contexts.,1125
"Which film came out first, Blood And Diamonds or Opened By Mistake?",graphrag,0,1-hop,2026-08-21,True,"The contexts confirm that Opened by Mistake is from 1940 and Blood and Diamonds is from 1978, correctly supporting the answer.",1295,2026-08-20,True,The release years for both films are explicitly stated in the retrieved contexts.,971
When was Richard Bootle-Wilbraham's father born?,graphrag,0,2-hop,2026-08-21,True,The answer accurately states the identity and birth date of Richard Bootle-Wilbraham's father based directly on the provided context.,2070,2026-08-20,True,"The answer only cites information present in the retrieved contexts, specifically from [2W-025-P04] and [2W-025-P06].",1687
"Which film has the producer who is older, Dweepa or Kalank?",graphrag,0,3+-hop,2026-08-21,True,"All factual claims regarding the films, producers, and their respective birth dates are fully supported by the retrieved contexts.",3902,2026-08-20,True,"All claims regarding the producers' names, birthdates, and associated films are supported by the retrieved contexts.",3298
Who was born first out of Gerda Weissensteiner and Stasys Šaparnis?,graphrag,0,1-hop,2026-08-21,True,All claims regarding the birth dates and the comparison of who was born first are fully supported by the retrieved contexts.,1306,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts.,979
Who is the paternal grandfather of George Tupou V?,graphrag,0,2-hop,2026-08-21,True,The answer logically deduces George Tupou V's paternal grandfather directly from the retrieved contexts identifying his father and his father's parents.,1367,2026-08-20,True,All claims about the paternal lineage and requirement IDs are directly supported by the retrieved contexts.,1006
"Which film has the director who is older than the other, Odd Job (Film) or Everything'S Ducky? ",graphrag,0,3+-hop,2026-08-21,True,All facts and claims in the answer are accurately supported by the retrieved contexts.,2850,2026-08-20,True,"All claims about film-director pairs, birth dates, and conclusion are directly supported by the contexts.",2262
When did Mary Basset's father die?,graphrag,0,2-hop,2026-08-21,True,The contexts confirm that Mary Basset's father was William Roper and that he died on 4 January 1578.,3212,2026-08-20,True,The claim that William Roper is Mary Basset’s father and that he died on 4 January 1578 is directly supported by the retrieved contexts.,2797
"Which film has the director who was born earlier, The Forbidden Trail or A Weaver Of Dreams?",graphrag,0,3+-hop,2026-08-21,False,"The answer falsely states in its opening that A Weaver of Dreams has the earlier-born director, which contradicts the birth dates in the contexts showing Robert N. Bradbury was born before John H. Col",2844,2026-08-20,True,Birth dates for both directors are explicitly stated in the contexts and the comparative claim is correctly inferred.,2077
"Which film has the director died later, The Wax Model or Khoon Ka Karz?",graphrag,0,3+-hop,2026-08-21,True,All facts regarding the directors of both films and their dates of death are fully supported by the retrieved contexts.,3770,2026-08-20,True,All claims about the directors and their death dates are directly supported by the contexts.,3241
"Are the movies The Urethra Chronicles and Starter For 10 (Film), from the same country?",graphrag,0,1-hop,2026-08-21,True,The answer accurately reflects the context details regarding the British origin of Starter for 10 and the American association of The Urethra Chronicles.,1913,2026-08-20,True,"The answer accurately matches the retrieved contexts, which state that The Urethra Chronicles is about an American band and Starter for 10 is a British film.",1336
"Which film has the director who was born earlier, Angélique, Marquise Des Anges or That Man George?",graphrag,0,3+-hop,2026-08-21,False,The answer opens with a false claim contradicting the provided contexts and its own concluding reasoning.,2591,2026-08-20,True,"All claims, including directors and their birthdates, are explicitly supported by the retrieved contexts.",1960
"Who lived longer, George F. Sowers or Henrietta Amelia Leeson?",graphrag,0,1-hop,2026-08-21,True,All birth and death dates and lifespan inferences are accurately drawn from the provided contexts.,3115,2026-08-20,True,"Both individuals' lifespans are detailed in the contexts, with Leeson's birth year only given, and the claim about her living slightly longer is supported by the provided dates.",2281
Did Mitch Brian and Harry Kent (Cyclist) share the same nationality?,graphrag,0,1-hop,2026-08-21,True,All claims are supported by the provided retrieved contexts.,1461,2026-08-20,True,The answer accurately reflects the information in the contexts about both individuals' nationalities.,1145
"Which film has the director who died later, Waiting For The Hearse or The Seventh Sword?",graphrag,0,3+-hop,2026-08-21,True,All facts and comparisons regarding the directors and their dates of death are directly supported by the context.,2214,2026-08-20,True,All claims about directors and their death dates are supported by the contexts.,1760
Who is Princess Elizabeth Of Greece And Denmark's maternal grandfather?,graphrag,0,2-hop,2026-08-21,True,The answer logically deduces Princess Elizabeth's maternal grandfather from the provided parentage records in the context.,1778,2026-08-20,True,All claims about Princess Elizabeth's maternal grandfather are supported in the retrieved contexts.,1328
What is the place of birth of Dianne Bentley's husband?,graphrag,0,2-hop,2026-08-21,True,"The provided contexts confirm Dianne Bentley was married to Robert J. Bentley and that he was born in Columbiana, Alabama.",2659,2026-08-20,True,Both claims about Dianne Bentley’s husband and his birthplace are directly supported by the provided contexts.,2201
What nationality is Sukhumala Marasri's father?,graphrag,0,2-hop,2026-08-21,True,All factual statements and inferences in the answer are directly supported by the retrieved contexts.,1593,2026-08-20,False,"The answer claims her father's nationality is Siamese/Thai, but the contexts do not explicitly state 'Siamese' or 'Thai' as Mongkut's nationality.",1325
"Which magazine was founded first, Racing Toward Diversity or Lo Scolaro?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the founding dates of both magazines as stated in the provided contexts.,1883,2026-08-20,True,Both magazine founding dates are explicitly stated in the retrieved contexts.,1521
"Which film was released earlier, Smiles Of A Summer Night or Two Idiots In Hollywood?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the release years of both films as directly stated in the provided contexts.,1543,2026-08-20,True,The release years for both films are explicitly stated in the provided contexts.,1187
Did Charles Robinson (Raf Airman) and Terri Hooley share the same nationality?,graphrag,0,1-hop,2026-08-21,True,The answer accurately reflects the information in the provided context and correctly states that Terri Hooley's nationality is not explicitly given.,1691,2026-08-20,True,"The answer accurately reflects that only Charles Robinson’s nationality is explicit, and Terri Hooley’s is not specified in the contexts.",1275
Do both films All Souls (Film) and Atomised (Film) have the directors from the same country?,graphrag,0,3+-hop,2026-08-21,False,"The answer falsely claims that Oskar Roehler's nationality is not explicitly stated in the context, contradicting chunk [2W-044-P08] which identifies him as a German film director.",3165,2026-08-20,False,The answer claims both directors are German but Oskar Roehler's nationality is not explicitly stated in the retrieved contexts.,2358
Where was the director of film Death Of A Friend born?,graphrag,0,2-hop,2026-08-21,True,"The answer accurately cites the context stating that Death of a Friend was directed by Franco Rossi, who was born in Florence.",3104,2026-08-20,True,Both the director's identity and place of birth are explicitly stated in the retrieved contexts.,2615
Who is the spouse of the director of film Fire-Eater (Film)?,graphrag,0,2-hop,2026-08-21,True,"All claims are completely supported by the retrieved contexts, accurately noting that Pirjo Honkasalo directed the film and that Pirkko Saisio is identified as her partner rather than her spouse.",2447,2026-08-20,True,"All claims in the answer are supported by the retrieved context, which states that Pirjo Honkasalo's partner is Pirkko Saisio but does not explicitly mention a spouse.",2014
"Which film has the director born later, No Dough Boys or The Punch And Judy Man?",graphrag,0,3+-hop,2026-08-21,True,"All statements regarding the films' directors, birth dates, and the resulting comparison are fully supported by the retrieved contexts.",2646,2026-08-20,True,All birth and director information is directly supported by the retrieved contexts.,2265
Are Saks Fifth Avenue and Warburg Pincus located in the same country?,graphrag,0,1-hop,2026-08-21,True,The answer's claims that both Warburg Pincus and Saks Fifth Avenue are based/located in New York City in the United States are directly supported by the retrieved contexts.,1544,2026-08-20,True,Both entities are described as being based in the United States in the retrieved contexts.,1170
Are the directors of films Jaco (Film) and Half A Bride both from the same country?,graphrag,0,3+-hop,2026-08-21,True,"All claims regarding the directors, their nationalities, and missing information are accurately grounded in the retrieved contexts.",2474,2026-08-20,True,All factual claims are supported or carefully indicate where context is missing.,2019
"Which film has the director who died earlier, My Husband'S Other Wife or ¡Que Viene Mi Marido!?",graphrag,0,3+-hop,2026-08-21,True,"All statements, dates, and director associations are directly supported by the retrieved contexts.",2029,2026-08-20,True,All factual claims about directors and their death dates are directly supported by the retrieved contexts.,1450
Are Vivicca Whitsett and Pepa (Rapper) from the same country?,graphrag,0,1-hop,2026-08-21,True,All factual claims are supported by the provided text chunks.,1709,2026-08-20,True,Both are described as American in the retrieved contexts.,1344
"Which film came out first, Je L'Ai Été Trois Fois or Tamala 2010: A Punk Cat In Space?",graphrag,0,1-hop,2026-08-21,False,The release year 2002 for Tamala 2010: A Punk Cat in Space is not present in the provided contexts.,2250,2026-08-20,False,"The answer claims Tamala 2010: A Punk Cat in Space was released in 2002, but the retrieved contexts do not specify a release year for it.",1423
"Which film came out first, The Happy Life or King Arthur Was A Gentleman?",graphrag,0,1-hop,2026-08-21,True,All facts and cited years are directly supported by contexts [2W-053-P02] and [2W-053-P03].,1246,2026-08-20,True,Both film release years are explicitly stated in the contexts.,876
"Which film has the director who was born earlier, Time For Loving or Un'Altra Vita?",graphrag,0,3+-hop,2026-08-21,True,All claims regarding the directors of the films and their dates of birth are directly supported by the provided context.,2765,2026-08-20,True,All claims about film directors and their birth dates are directly supported by the retrieved contexts.,2360
"Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?",graphrag,0,3+-hop,2026-08-21,True,All claims regarding the directors of both films and their respective birthdates are fully supported by the retrieved contexts.,1557,2026-08-20,True,All factual claims about directors and their birth dates are supported in the contexts.,1101
"Which film has the director who died first, The Squaw Man'S Son or Till We Meet Again (1936 Film)?",graphrag,0,3+-hop,2026-08-21,True,"All facts including the movie directors, their death dates, and the final conclusion are fully supported by the retrieved contexts.",2077,2026-08-20,True,All factual claims about directors and their death dates are directly supported by the retrieved contexts.,1566
What is the place of birth of Marie Tomášová's husband?,graphrag,0,2-hop,2026-08-21,True,The answer accurately identifies Marie Tomášová's husband as Otomar Krejča and cites his birthplace directly from the provided contexts.,2235,2026-08-20,True,All claims about Otomar Krejča's identity and place of birth are supported directly by the retrieved contexts.,1845
Where did Eduardo Notari's mother die?,graphrag,0,2-hop,2026-08-21,True,The answer correctly identifies Elvira Notari as Eduardo Notari's mother and verifies from the provided context that she died in Cava de' Tirreni.,2466,2026-08-20,True,The context [2W-058-P00] states that Elvira Notari died in Cava de' Tirreni.,2023
"Who is younger, Empress Xiaoshurui or Goran Veselinovski?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the birth dates of Empress Xiaoshurui (1760) and Goran Veselinovski (1975) based directly on the provided contexts.,2035,2026-08-20,True,All claims about birth dates and the conclusion are directly supported by the contexts.,1662
"Which film has the director who died earlier, A Medal For Benny or King Of Chinatown?",graphrag,0,3+-hop,2026-08-21,False,The answer directly contradicts the provided context by initially claiming that King of Chinatown had the earlier-deceased director when Irving Pichel died before Nick Grinde.,2677,2026-08-20,False,"The answer incorrectly states that King of Chinatown has the director who died earlier, but contexts show Irving Pichel (A Medal for Benny) died earlier than Nick Grinde (King of Chinatown), so it sho",2084
"Which film came out earlier, Painted Post (Film) or Katka'S Reinette Apples?",graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the release years of both films and the comparison between them are fully supported by the retrieved contexts.,2569,2026-08-20,True,"The retrieved contexts give the years of release for both films, clearly supporting the answer and its claims.",2146
"Who was born earlier, Ela Gandhi or Sebastián Borensztein?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the birthdates of Ela Gandhi and Sebastián Borensztein using information directly supported by the retrieved contexts.,2881,2026-08-20,True,Both birth dates and the comparison are directly supported by the retrieved contexts.,2394
Was Dudley Russell or Juan René Serrano born first?,graphrag,0,1-hop,2026-08-21,True,All facts and birth dates mentioned in the answer are directly supported by the retrieved contexts.,1257,2026-08-20,True,Both birth dates are explicitly supported by the retrieved contexts.,975
Are Bilthoven and Herveld both located in the same country?,graphrag,0,1-hop,2026-08-21,True,"All claims are supported by the retrieved contexts, which identify Bilthoven and Herveld as villages in Dutch provinces.",2140,2026-08-20,True,"Both contexts state the villages are in Dutch provinces, which supports that both are in the Netherlands.",1719
Who is the spouse of the director of film The Glass Boat?,graphrag,0,2-hop,2026-08-21,True,The contexts confirm that Constantin J. David directed The Glass Boat and was married to Käthe von Nagy.,2474,2026-08-20,True,"The answer accurately cites that Constantin J. David is the director and is married to Käthe von Nagy, both fully supported by the retrieved context [2W-065-P00][2W-065-P02].",2132
What is the place of birth of the director of film A Woman'S Face (1938 Film)?,graphrag,0,2-hop,2026-08-21,True,All facts regarding the director and his place of birth are directly supported by the retrieved contexts.,2637,2026-08-20,True,Both the director's name and his place of birth are explicitly supported by the retrieved contexts.,2249
Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?,graphrag,0,3+-hop,2026-08-21,True,All facts regarding the directors of both films and their American nationality are fully supported by the provided contexts.,2540,2026-08-20,True,Both Rob Reiner and Gilbert Cates are explicitly identified as American in the retrieved contexts.,2063
"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",graphrag,0,3+-hop,2026-08-21,True,All facts regarding the directors of the films and their dates of birth are completely supported by the provided contexts.,2416,2026-08-20,True,The answer accurately reports the directors and their birth dates as stated in the retrieved contexts.,1959
Who is Charlotte Of Schaumburg-Lippe's father?,graphrag,0,2-hop,2026-08-21,True,"The answer accurately names Charlotte of Schaumburg-Lippe's father as Prince Wilhelm Karl August of Schaumburg-Lippe, supported by context [2W-069-P07].",1545,2026-08-20,True,The context [2W-069-P07] directly states that Charlotte of Schaumburg-Lippe was the daughter of Prince Wilhelm Karl August of Schaumburg-Lippe.,1220
"Which film came out first, A Girl'S Folly or The Original Latin Kings Of Comedy?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the release years of both films based directly on the provided contexts.,1192,2026-08-20,True,Both release years are explicitly stated in the retrieved contexts.,882
"Who was born later, Borys Karnicki or Admir Velagić?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the birth dates of Admir Velagić and Borys Karnicki using the retrieved contexts.,1133,2026-08-20,True,All birth dates and identities are explicitly supported by the retrieved contexts.,743
Are Paula Arundell and Trent Grimsey both from the same country?,graphrag,0,1-hop,2026-08-21,True,"The answer is fully supported by the retrieved contexts, which identify both Paula Arundell and Trent Grimsey as Australian.",1378,2026-08-20,True,Both individuals are explicitly identified as Australian in the retrieved contexts.,1068
Where did Hal Steinbrenner's father die?,graphrag,0,2-hop,2026-08-21,True,"The contexts confirm Hal Steinbrenner's father is George Steinbrenner, who died in his Tampa home.",1983,2026-08-20,True,"The answer is directly supported by context [2W-073-P02], which states George Steinbrenner died in his Tampa home.",1681
"Who is older, Oreste Scalzone or John Dugard?",graphrag,0,1-hop,2026-08-21,True,All factual claims regarding the birth dates and relative ages of John Dugard and Oreste Scalzone are directly supported by the provided context.,2812,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts and support the claim that John Dugard is older than Oreste Scalzone.,2392
"Which film has the director who was born first, The Millionaire'S Double or The Groundstar Conspiracy?",graphrag,0,3+-hop,2026-08-21,True,All facts regarding the directors and their birth dates are directly supported by the retrieved contexts.,3072,2026-08-20,True,All claims about directors and their birth dates are directly supported by the retrieved contexts.,2544
"Which film was released earlier, Navavadhu or The January Man?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the release years of both films based directly on the provided context.,3033,2026-08-20,True,Both film release years are explicitly stated in the retrieved contexts.,2729
"Where did Frederick, Hereditary Prince Of Baden-Durlach's father die?",graphrag,0,2-hop,2026-08-21,False,"The answer claims the context does not state where the father died, which directly contradicts the provided text.",1947,2026-08-20,True,The retrieved contexts state that Frederick's father was Charles III William and that Charles III William died in Karlsruhe.,1129
"Which film has the director who is older, Heremias or S.P.Q.R.: 2,000 And A Half Years Ago?",graphrag,0,3+-hop,2026-08-21,True,All facts and birth dates mentioned for both directors and their associated films are directly supported by the provided contexts.,3466,2026-08-20,True,All claims about the directors and their birthdates are supported by the retrieved contexts.,2803
"Were both Pietro Salini and Domenico Ravenna, born in the same place?",graphrag,0,1-hop,2026-08-21,True,All statements and requirement references in the answer are accurate and fully supported by the provided context.,1512,2026-08-20,True,The answer only restates information from the contexts and makes no unsupported claims.,1116
"Which film has the director born earlier, Street Of No Return or Stage Door?",graphrag,0,3+-hop,2026-08-21,True,All facts regarding the directors and their birthdates are directly supported by the retrieved contexts.,2385,2026-08-20,True,All director names and birth dates are directly supported by the retrieved contexts.,1987
"Which film has the director who died first, Sons Of Bitches or Di Che Segno Sei??",graphrag,0,3+-hop,2026-08-21,True,All facts and comparisons regarding the directors and their dates of death are fully supported by the retrieved contexts.,2170,2026-08-20,True,"All claims are supported by the contexts, which provide the director names and their dates of death.",1774
"Which magazine came out first, Sri Ramakrishna Vijayam or Tait'S Edinburgh Magazine?",graphrag,0,1-hop,2026-08-21,True,All claims regarding the founding and publication dates of both magazines are fully supported by the cited contexts.,1846,2026-08-20,True,Both dates for the magazines are explicitly stated in the retrieved contexts.,1556
"Which film has the director who died earlier, Here Is The Beauty or Whirl Of Youth?",graphrag,0,3+-hop,2026-08-21,True,All facts and cited dates regarding the directors and their respective films are fully supported by the retrieved contexts.,2533,2026-08-20,True,"All claims about the director names, their respective films, and their dates of death are directly supported by the provided contexts.",2017
"Who is older, Artyom Novichonok or Lyubov Kiryukhina-Tsyoma?",graphrag,0,1-hop,2026-08-21,True,The birth dates of Lyubov Kiryukhina-Tsyoma and Artyom Novichonok and the conclusion about who is older are directly supported by the context.,1710,2026-08-20,True,Both birth dates for Lyubov Kiryukhina-Tsyoma and Artyom Novichonok are stated in the retrieved contexts.,1348
Who was born first out of Andrea Di Vito and Barbara Fairchild?,graphrag,0,1-hop,2026-08-21,True,The answer accurately states the birth dates and correctly determines that Barbara Fairchild was born first based on the provided contexts.,1281,2026-08-20,True,Both birth dates are explicitly stated in the retrieved contexts.,955
What is the place of birth of the director of film The New Kids?,graphrag,0,2-hop,2026-08-21,True,The answer accurately states that the director is Sean S. Cunningham and that his place of birth is not provided in the context.,1721,2026-08-20,True,The answer correctly states that the place of birth is not provided in the retrieved contexts and does not add any unsupported information.,1397
"What is the place of birth of Rudolf Christian, Count Of East Frisia's father?",graphrag,0,2-hop,2026-08-21,True,The contexts confirm that Rudolf Christian's father was Enno III and that Enno III was born in Aurich.,2266,2026-08-20,True,All factual claims about Enno III being Rudolf Christian's father and Enno III's place of birth as Aurich are supported by the retrieved contexts.,1846
"Which film was released earlier, Samundi or Babilonia?",graphrag,0,1-hop,2026-08-21,False,"The answer falsely claims Samundi was released earlier, which contradicts the retrieved context showing Babilonia (1987) predates Samundi (1992).",2519,2026-08-20,False,"The initial claim that Samundi was released earlier is contradicted by the context, which shows Babilonia was released in 1987 and Samundi in 1992.",2138
Do director of film Trouble In The Glen and director of film Hennessy (Film) have the same nationality?,graphrag,0,3+-hop,2026-08-21,True,All claims regarding the directors and their nationalities are directly supported by the retrieved contexts.,1631,2026-08-20,True,All claims about the directors and their nationalities are directly supported by the retrieved contexts.,1251
"Who was born earlier, Denis Rogers or Zelma Wilson?",graphrag,0,1-hop,2026-08-21,True,All facts and birth dates are fully supported by the retrieved contexts.,1367,2026-08-20,True,Birth dates for both Denis Rogers and Zelma Wilson are explicitly given in the retrieved contexts.,979
"Which film has the director born first, Escape From The Dark or Bulundi?",graphrag,0,3+-hop,2026-08-21,True,Every claim in the answer is completely supported by the provided context chunks.,2513,2026-08-20,True,All factual claims are supported with director names and birth years directly stated in the contexts.,2026
"Which film has the director who died later, The Heart Of Nora Flynn or A Vanished World?",graphrag,0,3+-hop,2026-08-21,False,The answer's opening statement that 'A Vanished World' has the director who died later directly contradicts the contexts and its own supporting reasoning.,3381,2026-08-20,True,All director death dates and film/director associations are explicitly found in the contexts.,2813
Are Trenton Aerodrome and Mackenzie Airport both located in the same country?,graphrag,0,1-hop,2026-08-21,True,The answer accurately reflects and cites the locations of both aerodromes from the retrieved contexts.,965,2026-08-20,True,Both airports are explicitly stated to be located in Canada in the retrieved contexts.,624
"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",graphrag,0,3+-hop,2026-08-21,True,All factual claims regarding the directors of the films and their birth dates are fully supported by the retrieved contexts.,3071,2026-08-20,True,All claims about directors' names and birthdates are directly supported by the retrieved contexts.,2436
What is the place of birth of Lupe Rumazo's father?,graphrag,0,2-hop,2026-08-21,True,The answer correctly identifies Lupe Rumazo's father and his place of birth directly from the provided contexts.,3931,2026-08-20,True,Alfonso Rumazo González is named as Lupe Rumazo's father and his place of birth is given as Latacunga in the retrieved contexts.,3557
Are Mount Queen Mary and Curia Mountain located in the same country?,graphrag,0,1-hop,2026-08-21,False,The answer begins by stating 'No' while the supporting details and context confirm that both mountains are in Canada.,1504,2026-08-20,True,All location claims about Mount Queen Mary and Curia Mountain being in Canada are supported by the retrieved contexts.,924
"Which film was released earlier, Robotech: The Movie or Lakeeran?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the release years of both films directly supported by the retrieved contexts.,1046,2026-08-20,True,The release years for both films are directly stated in the contexts and support the answer.,698
"Who is younger, R. Nagarajan or Agneta Engström?",graphrag,0,1-hop,2026-08-21,True,The answer accurately compares the birth dates of Agneta Engström and R. Nagarajan as given in the retrieved contexts.,1339,2026-08-20,True,Both birth dates are explicitly stated in the contexts and the answer draws a correct comparison based on them.,975
