query,pipeline,repeat,query_type,orig,pass_a,pass_b
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic,1,2-hop,False,False,False
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,vanilla,1,2-hop,False,False,False
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",vanilla,2,2-hop,False,True,True
What navigation time-synchronization service must the flight data recorder use to timestamp mandatory parameters in UTC at native sampling rates?,graphrag,2,1-hop,False,True,True
"In approach mode, what guidance source must the flight control computer accept, and what deviation data must the FMS provide to support it?",vanilla,1,1-hop,True,True,True
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic,1,1-hop,True,True,True
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",vanilla,1,3+-hop,False,False,False
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic,1,1-hop,False,True,True
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",adaptive,1,3+-hop,False,False,False
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,graphrag,0,3+-hop,False,True,False
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",adaptive,0,3+-hop,False,True,True
"Which communications requirement, linked through the security constraint referenced by the fuel requirement, ultimately traces to the EMS requirement, and what end-to-end dependency does that establish?",agentic-graph,1,3+-hop,True,False,False
Which payload requirement is ultimately satisfied by the security control referenced through the flight-control communication link that fulfills the communication requirement?,agentic-graph,2,3+-hop,False,False,False
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",adaptive,1,2-hop,False,False,False
"When an uplinked flight-plan change is received, what operator-confirmation workflow and full-diff display are required before activation, and what record must be stored afterward?",agentic,0,2-hop,True,True,True
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",vanilla,1,1-hop,False,True,True
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",vanilla,1,2-hop,False,True,True
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",vanilla,0,2-hop,True,True,True
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",graphrag,2,2-hop,True,True,True
"Which INS-published state elements support the flight data recorder’s mandatory attitude, position, and velocity parameter capture?",agentic,2,1-hop,False,False,False
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",adaptive,2,2-hop,False,False,False
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",adaptive,2,3+-hop,False,False,False
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,vanilla,0,3+-hop,False,True,True
"For ground-maintenance fault-injection on the power subsystem via the BIT maintenance interface, what operator authentication is required before BPCU commands are accepted?",adaptive,1,2-hop,False,False,False
"Which communications capability document is explicitly excluded from the tactical Link‑16 terminal scope, and what assurance levels govern it?",agentic,1,1-hop,False,True,True
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",vanilla,2,1-hop,False,True,True
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,graphrag,1,3+-hop,True,False,False
Which flight control computer requirement is ultimately implicated by the flight data recorder verification path through navigation and GPS references?,adaptive,1,3+-hop,False,False,False
"During high-power takeoff, how does the FCC’s reserve N1 limiting affect pitch-rate reduction logic and the engine-status data published to downstream systems?",vanilla,2,2-hop,True,True,True
"In approach mode, what guidance source must the flight control computer accept, and what deviation data must the FMS provide to support it?",agentic-graph,1,1-hop,False,True,True
How is the FCC’s 100 ms debounced weight-on-wheels input behavior verified on DAL-A platforms under a single landing-gear sensor fault?,vanilla,2,2-hop,False,False,False
"When a validated DAA advisory arrives, how quickly must the GCS alert the crew, and what manoeuvre rates can the autopilot command in resolution mode?",vanilla,1,2-hop,True,False,False
"Which radar altimeter mode requirement supports terrain-avoidance advisory coupling, and which autopilot requirement governs autonomous DAA resolution engagement?",adaptive,2,1-hop,False,True,True
"What cryptographic authentication must the APM use when accepting autopilot mode engagement requests, and which autonomous modes are exempt from explicit operator engagement?",vanilla,1,2-hop,False,False,False
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic,1,1-hop,True,True,True
"During takeoff-to-climb transition, when may the FCC enable the inner-loop climb schedule given sustained climb rate, both main-gear WoW indications, sensor voting, and input debounce?",vanilla,2,2-hop,True,True,True
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",agentic-graph,0,2-hop,False,True,True
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,adaptive,1,1-hop,False,False,True
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",vanilla,0,2-hop,True,True,True
Which flight data recorder requirement traces to the power subsystem’s 10 Hz real-time power-status telemetry publication to the recorder?,agentic,0,1-hop,False,False,False
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic-graph,1,2-hop,True,False,False
"During takeoff-to-climb transition, when may the FCC enable the inner-loop climb schedule given sustained climb rate, both main-gear WoW indications, sensor voting, and input debounce?",graphrag,0,2-hop,True,False,False
How are the inertial-measurement structural-notch filters validated using ground-vibration data and in-flight flutter testing to show adequate damping through the required flutter-clearance margin?,agentic,2,2-hop,True,True,True
"How does the autonomous function’s top-level requirement trace through radar interface constraints and back to its originating autonomy requirement, and what end-to-end obligation does that imply?",vanilla,1,3+-hop,False,False,False
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",agentic,1,2-hop,True,False,False
"What flight control computer behavior, as referenced by cockpit display logic and lighting requirements, ultimately satisfies the applicable security requirement?",adaptive,2,3+-hop,False,True,True
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",graphrag,1,1-hop,True,False,False
What test demonstrates the receiver meets integrity alert timing for unresolved protection-level exceedances under simulated satellite-fault conditions?,vanilla,0,1-hop,True,False,False
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",graphrag,2,3+-hop,False,False,False
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,graphrag,2,3+-hop,False,True,True
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic,2,2-hop,False,True,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,True,True,True
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,agentic-graph,2,1-hop,True,True,True
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",adaptive,1,1-hop,False,True,True
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",agentic-graph,1,2-hop,False,True,True
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,graphrag,0,1-hop,True,True,True
"Which flight control software requirement ultimately traces through detailed design to the flight data recording requirement for timestamped fault-event capture, and what intermediate control and recorder requirements connect them?",adaptive,2,3+-hop,False,False,False
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,vanilla,0,3+-hop,False,False,False
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",graphrag,0,2-hop,True,False,False
"Which data-link requirement ultimately constrains the security and EMS references inherited by the automatic function, and how does that end-to-end trace propagate across those subsystems?",graphrag,1,3+-hop,True,False,True
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,agentic-graph,1,2-hop,True,False,False
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",adaptive,0,1-hop,True,True,False
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",agentic,1,3+-hop,False,False,False
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",graphrag,0,2-hop,True,True,True
How do the GPS-derived power constraints propagate through command/data handling and back into power requirements to shape the inertial subsystem’s implementation?,agentic-graph,2,3+-hop,False,False,False
"Which APM requirement is ultimately traced from the EPS power-distribution requirement through the intermediate EPS dependencies, and what system function does that end requirement govern?",graphrag,0,3+-hop,False,False,False
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,agentic,2,2-hop,True,True,True
Which load-shed table entry defines the priority-2 load failure condition that forces the EMS into CAUTION within 500 ms?,graphrag,1,1-hop,True,False,False
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,agentic-graph,1,1-hop,True,True,True
Which flight computer control requirement is ultimately justified by the flight data recorder requirement through the linked security and built-in-test trace chain?,agentic-graph,1,3+-hop,True,True,True
"In ground mode, what requirement defines the authorized control-surface command path, and which ground system requirement implements that interface?",agentic,2,1-hop,False,True,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic,0,1-hop,False,True,False
Which human-machine interface requirement ultimately traces back to the autonomous control behavior through the security and energy management requirements?,agentic,2,3+-hop,False,False,False
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,2,1-hop,True,True,True
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,vanilla,1,1-hop,False,True,True
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,agentic,0,1-hop,False,True,True
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",vanilla,2,1-hop,True,True,True
"How is an EKF divergence detected, reset, and cross-referenced to flight data recording of the divergence snapshot and reset state?",adaptive,1,1-hop,False,True,True
"How does the payload’s structural interface flow down through the data link and command/telemetry link into the communications subsystem, and what end-to-end constraints must remain consistent?",vanilla,0,3+-hop,False,False,False
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,False,False,False
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",graphrag,0,2-hop,True,True,True
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",agentic,2,2-hop,True,True,True
"During a 50 ms Category Z primary-power interruption, how does the specified essential-bus hold-up provision ensure both the INS and FCC remain continuously operational?",graphrag,1,2-hop,True,False,False
"Which flight-control verification requirement traces through power constraints to the GPS interface dependency, and what end-to-end rationale links those subsystems?",agentic-graph,1,3+-hop,False,False,False
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",agentic,1,2-hop,True,False,True
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",vanilla,2,1-hop,True,True,True
"Which power requirement traces through the built-in test and security controls to satisfy the instrumentation requirement, and what security constraint is referenced at both ends of that path?",graphrag,2,3+-hop,False,True,True
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",adaptive,2,2-hop,False,True,True
"Which flight-control initialization constraint governs the termination-mode full nose-down, throttle-cut command before subsequent recovery commands are rejected?",vanilla,0,1-hop,False,True,True
How do the emergency management constraints propagate through power allocation and navigation dependencies to determine the final command/data link behavior?,agentic,2,3+-hop,True,False,False
"During the fault-injection mode-transition test, when battery-only operation is entered after generator and APU failures, which loads must remain powered and which bus ties must change state?",graphrag,2,2-hop,True,True,False
What flight-test evidence demonstrates that hybrid-navigation accuracy supports the FMS’s enroute RNP lateral-guidance containment target when GPS/SBAS is available?,agentic-graph,1,2-hop,False,True,True
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",agentic,0,3+-hop,False,False,False
Which application module requirement provides the 1 Hz battery state-of-charge data that the power subsystem uses to inhibit NORMAL mode entry below 85%?,adaptive,2,1-hop,True,True,True
"Which display-level operator need ultimately traces through SAR processing and payload design to both EO/IR and radar sensing constraints, and what subsystem dependencies drive that allocation?",agentic-graph,0,3+-hop,False,False,False
"How does the fuel-system requirement trace through data loading and flight-control software to the final data-loader constraint, and what end-to-end dependency does that establish?",agentic,0,3+-hop,False,True,True
"If primary aircraft power drops out for 50 ms, how do the FCC hold-up requirement, essential-bus energy provision, and GNSS ride-through capability align?",adaptive,2,2-hop,False,True,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,vanilla,2,3+-hop,False,True,True
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",adaptive,0,3+-hop,False,False,False
Which GNSS dilution-of-precision outputs feed the navigation fusion QoS score computation for operator display?,vanilla,2,1-hop,False,True,True
Which power-system verification artifact traces through the automation and emergency-management requirements to the automation requirement ultimately satisfied by the emergency-management function?,agentic-graph,0,3+-hop,False,True,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,True,True,True
"Which HMI requirement implements the FMS uplinked flight-plan change confirmation, including full-diff display before activation?",agentic-graph,0,1-hop,False,True,True
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,adaptive,0,1-hop,False,True,True
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,vanilla,2,3+-hop,False,False,True
Which GPS requirement is ultimately fulfilled via the security control referenced by the navigation requirement traced from the original GPS requirement?,vanilla,0,3+-hop,False,True,True
How does the ground-vibration test’s identified modal model determine the notch-filter frequencies and widths applied to inertial measurements before inner-loop control?,agentic-graph,1,2-hop,False,True,True
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,agentic,1,3+-hop,False,False,False
"Which integration-rig HIL test verifies the backup GCS cold-standby switchover requirement, including two-minute recovery and retained control authority?",vanilla,1,1-hop,True,True,True
"If the operator commands autonomous-flight mode engagement from the ground station, how must the command be routed, and which modes still require explicit authenticated engagement?",vanilla,2,2-hop,False,False,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",adaptive,2,1-hop,True,True,True
Which communications requirement is ultimately satisfied by the fuel-system requirement through the referenced security control and command/data link implementation chain?,agentic-graph,2,3+-hop,True,True,True
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",agentic,2,2-hop,False,True,True
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic,2,1-hop,True,True,True
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,agentic,1,1-hop,True,True,True
"Which INS-published state elements support the flight data recorder’s mandatory attitude, position, and velocity parameter capture?",graphrag,0,1-hop,True,False,False
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",adaptive,2,3+-hop,False,False,True
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,adaptive,1,3+-hop,False,False,False
"If the command link is lost long enough to trigger return-to-base, can the aircraft autonomously use the current operator-updated rally point without prior operator engagement?",adaptive,2,2-hop,True,True,True
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",graphrag,2,2-hop,True,False,True
"Which autonomy requirement is ultimately supported by the security control referenced by the communications verification requirement, and what communications item provides the verification evidence?",vanilla,2,3+-hop,False,False,True
"Which autonomy requirement is ultimately supported by the security control referenced by the communications verification requirement, and what communications item provides the verification evidence?",agentic-graph,2,3+-hop,False,False,True
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",adaptive,1,2-hop,False,False,False
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",vanilla,1,3+-hop,False,False,False
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic,0,3+-hop,False,True,True
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",agentic,1,2-hop,False,False,True
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,graphrag,1,1-hop,True,True,True
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",agentic,2,2-hop,False,False,False
"In linked mode, what ground-station command latency supports the command-data link’s 20 Hz command reception and downstream routing?",agentic-graph,1,1-hop,False,True,False
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",adaptive,2,1-hop,False,False,True
How does the HIL GPS-outage test verify the fusion function meets the >60 s reversion and annunciation behavior required by the underlying inertial degraded mode requirement?,adaptive,0,2-hop,True,False,True
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,graphrag,0,3+-hop,False,False,False
"Which flight control requirement is ultimately traced from the referenced air data requirement through the intermediate air data dependency, and how does that end-to-end linkage propagate across the ADS–FCC boundary?",agentic,0,3+-hop,True,True,True
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,vanilla,2,1-hop,True,True,True
Which tactical datalink verification requirement demonstrates coordinated flight-plan separation compliance for coalition multi-aircraft FMS operation?,graphrag,2,1-hop,False,True,True
Which communications links must demonstrate DO-160G Category Y EMC coexistence without mutual interference with the radar altimeter and GPS?,graphrag,0,1-hop,True,False,False
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,vanilla,0,1-hop,False,True,True
"What top-level built-in test objective ultimately traces through the software requirement and logic design into the command/data link implementation, and what downstream design obligation does it impose?",adaptive,0,3+-hop,False,False,False
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",vanilla,2,2-hop,True,True,True
"Which flight control requirement ultimately drives the cockpit interface behavior referenced through the control-chain dependency, and how does that end-to-end traceability flow across avionics and HMI?",agentic,0,3+-hop,False,True,True
"Which flight-control requirement, traced from the built-in test function through the environmental monitoring requirement it satisfies, ultimately references the final EMS requirement?",agentic-graph,2,3+-hop,False,True,True
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic-graph,2,1-hop,True,True,True
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,agentic,1,3+-hop,False,False,False
Which flight data recorder requirement captures APM battery/APU data around fault transitions to support the APU health exceedance shutdown logging requirement?,agentic,2,1-hop,True,True,True
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",vanilla,0,3+-hop,False,False,False
"Which interface power requirement defines the 50 ms ride-through capability, and which general requirement establishes the DO-160G Category Z interruption profile?",agentic-graph,2,1-hop,False,True,True
"Which command-and-data-link requirement ultimately fulfills the secure communications requirement, and through what EMS reference path is that satisfaction traced across subsystems?",adaptive,0,3+-hop,False,True,True
"For secure UHF voice operation, what encryption/authentication scheme and key-rotation policy apply, and what happens if no valid key is loaded?",graphrag,2,2-hop,True,False,False
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,agentic-graph,0,1-hop,True,True,False
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",adaptive,1,3+-hop,True,False,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic-graph,0,1-hop,False,True,True
Which flight dynamics verification requirement traces through navigation references to the downstream navigation requirement governing the related guidance behavior?,vanilla,0,3+-hop,False,False,False
"When the PMC is qualified to the specified DO-160G environment and EMC limits, what GNSS frequencies and constellations must remain operable without interference via DLNK coexistence?",adaptive,1,2-hop,False,True,True
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,agentic,1,2-hop,False,False,True
How does payload-bay thermal management need to accommodate the SAR’s platform-specific steady-state and transmit-pulse power loads while keeping sensor electronics within operating range?,agentic,0,2-hop,False,True,True
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,adaptive,0,1-hop,True,True,True
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,adaptive,2,2-hop,True,True,True
"How does the flight control requirement trace through the data link and flight management functions to the crew interface, and what flight management behavior closes the loop?",graphrag,2,3+-hop,True,False,False
Which flight computer control requirement is ultimately justified by the flight data recorder requirement through the linked security and built-in-test trace chain?,graphrag,2,3+-hop,True,True,True
"How is a suspected GPS spoofing event detected in the inertial filter, handled in navigation fusion, and propagated to security monitoring and logging?",adaptive,1,2-hop,True,True,True
"Which command/data link verification requirement ultimately traces through the security controls to the flight control computer constraint, and how does that chain close back to the same security requirement?",agentic-graph,0,3+-hop,False,False,False
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",graphrag,0,2-hop,False,False,False
"Which built-in test verifies the power requirement tied to the cited security control, and what ground-control interface constraint is ultimately referenced through that chain?",agentic-graph,1,3+-hop,False,True,True
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,2,1-hop,True,True,True
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",graphrag,0,2-hop,True,True,True
Which security requirement traces through autonomy functions to the radar interface constraint ultimately governing the referenced radar behavior?,agentic,2,3+-hop,True,False,False
"For loss of INS with no valid GPS/barometric fallback, what autonomous emergency transition and priority-tagged GCS mode-change notification are required?",adaptive,0,2-hop,False,True,True
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic,0,2-hop,False,True,True
What upstream navigation timing service requirement justifies the payload computer’s UTC sensor timestamping accuracy and source-selection behavior?,agentic-graph,2,1-hop,True,True,True
Does the primary essential bus power specification satisfy the flight control computer’s 28 VDC interface and undervoltage requirements?,agentic,0,1-hop,False,False,False
"In the 60-minute HIL recorder coverage check, how is compliance shown for the autopilot mode parameter sourced from the autopilot annunciation output at 2 Hz?",agentic,1,2-hop,False,False,False
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",adaptive,1,2-hop,True,True,True
"Which flight computer security requirement flows through the data link to satisfy the communication subsystem requirement, and what intermediate security rationale connects them?",adaptive,1,3+-hop,True,False,False
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,adaptive,1,1-hop,False,True,True
"Which control law requirement, ultimately linked from the fuel system requirement through the payload design trace, is referenced by the same control document and then traced onward to the flight control computer?",graphrag,1,3+-hop,False,True,True
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",agentic,0,3+-hop,False,False,False
"Which flight control requirement ultimately traces through the GPS subsystem to an inertial navigation requirement, and what end-to-end behavior or dependency does that chain establish?",vanilla,1,3+-hop,False,False,False
What upstream GNSS timing output and interfaces justify the navigation fusion function’s 1 Hz bus time-synchronisation service and GPS-derived accuracy source?,agentic-graph,1,1-hop,True,False,False
"For AeroLynx-X2, how is single-engine-out detection and asymmetric-thrust compensation validated from injected N1 loss through FCC response and operator notification timing?",vanilla,1,2-hop,False,True,True
"How is autonomous or operator-requested autopilot mode engagement authenticated over the data link, and what terminal cryptographic capability must support that protection?",graphrag,1,2-hop,True,False,True
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",graphrag,2,2-hop,False,True,True
Which built-in test requirement ultimately satisfies the security control referenced by the flight data recorder requirement through the flight control computer trace chain?,agentic-graph,2,3+-hop,False,True,True
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",adaptive,1,2-hop,True,False,False
"Which flight-control requirement ultimately drives the GPS timing/power dependency through the referenced power allocation chain, and how does that dependency propagate across the involved subsystems?",vanilla,1,3+-hop,False,False,False
"When the PMC is qualified to the specified DO-160G environment and EMC limits, what GNSS frequencies and constellations must remain operable without interference via DLNK coexistence?",vanilla,1,2-hop,False,True,True
