query,query_type,pipeline,embedder,reranker,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent
How is the heater for the pitot and static ports monitored?,cross_module,graphrag,local,none,18139,1534,175,1709,ICE-008;ADS-019;ADS-027;STR-022;ICE-020;ADS-014;ICE-002;ADS-023;ADS-002;ADS-016;ADS-026;FUEL-006;HMI-090;NAV-010;STR-006,ICE-008;ADS-019;ADS-027;STR-022;ICE-020;ADS-014;ICE-002;ADS-023;ADS-002;ADS-016;ADS-026;FUEL-006;HMI-090;NAV-010;STR-006,15,0,,
How is the heater for the pitot and static ports monitored?,cross_module,agentic-graph,local,none,24668,4193,380,4573,ADS-019;ADS-023;ADS-027,ADS-019;ADS-027;ADS-014;ADS-023;ADS-026,5,3,continue,semantic
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,vanilla,local,none,8243,567,352,919,EPS-003;EMS-003;GCS-004;DLNK-003;PWR-003,EPS-003;EMS-003;GCS-004;DLNK-003;PWR-003,5,0,,
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,agentic,local,none,12683,2541,315,2856,ADS-004;DO-254,ADS-004;ADS-001;ADS-019;ADS-005;ADS-023;ADS-021;ADS-018;ADS-013;ADS-017;ADS-009,10,0,sufficient,semantic
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,graphrag,local,none,7738,813,205,1018,EPS-003;EMS-003;GCS-004;DLNK-003;PWR-003;STR-003;ADS-004;BIT-003,EPS-003;EMS-003;GCS-004;DLNK-003;PWR-003;STR-003;ADS-004;BIT-003,8,0,,
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,agentic-graph,local,none,12788,2509,256,2765,ADS-004;DO-254,ADS-004;ADS-001;ADS-021;ADS-009;ADS-020;ADS-C5;ADS-005;ADS-019,8,0,sufficient,semantic
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,vanilla,local,none,7673,602,109,711,ADS-003;ADS-017;SKT1-ADS-001;ADS-001;ADS-021,ADS-003;ADS-017;SKT1-ADS-001;ADS-001;ADS-021,5,0,,
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,agentic,local,none,21031,5027,379,5406,ADS-003;ADS-001,ADS-003;ADS-017;SKT1-ADS-001;ADS-016;ADS-001;ADS-021;ADS-015;ADS-002;ADS-023;ADS-019,10,3,continue,semantic
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,graphrag,local,none,7204,1392,59,1451,ADS-003;ADS-017;SKT1-ADS-001;ADS-001;ADS-021;ADS-016;ADS-015;SKT1-FCC-001;ADS-012;FCC-003;INS-002;INS-014;INS-044;PWR-012;PWR-020,ADS-003;ADS-017;SKT1-ADS-001;ADS-001;ADS-021;ADS-016;ADS-015;SKT1-FCC-001;ADS-012;FCC-003;INS-002;INS-014;INS-044;PWR-012;PWR-020,15,0,,
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,agentic-graph,local,none,21084,4129,331,4460,ADS-003;ADS-001,ADS-003;ADS-017;SKT1-ADS-001;ADS-016;ADS-001,5,3,continue,semantic
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,vanilla,local,none,6510,557,64,621,ADS-007;ADS-025;FMS-013;EOIR-029;RADAR-005,ADS-007;ADS-025;FMS-013;EOIR-029;RADAR-005,5,0,,
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,agentic,local,none,19219,3675,349,4024,ADS-007,ADS-007;ADS-025;ADS-006;ADS-008;ADS-024,5,2,sufficient,semantic
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,graphrag,local,none,6275,1297,100,1397,ADS-007;ADS-025;FMS-013;EOIR-029;RADAR-005;APM-020;STR7-INS-002;ADS-008;ADS-006;APM-039;EOIR-014;FUEL-020;INS-021;INS-022;LDG-005,ADS-007;ADS-025;FMS-013;EOIR-029;RADAR-005;APM-020;STR7-INS-002;ADS-008;ADS-006;APM-039;EOIR-014;FUEL-020;INS-021;INS-022;LDG-005,15,0,,
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,agentic-graph,local,none,17732,4168,351,4519,ADS-007,ADS-007;ADS-025;EOIR-029;FMS-013;ADS-006,5,3,continue,semantic
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,vanilla,local,none,7000,612,254,866,BIT-003;INS-004;HMI-003;PWR-003;FCC-004,BIT-003;INS-004;HMI-003;PWR-003;FCC-004,5,0,,
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,agentic,local,none,24933,3672,631,4303,BIT-003;INS-004;EMS-003;EPS-003,BIT-003;INS-004;HMI-003;EMS-003;EPS-003,5,3,continue,semantic
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,graphrag,local,none,14249,1379,405,1784,BIT-003;INS-004;HMI-003;PWR-003;FCC-004;ENG-003;EMS-003;EPS-003;CDL-028;NBC3-NAV-001;SKT1-INS-002;FMS-020;GCS-032;NBC3-FCC-004;SKT1-FCC-004,BIT-003;INS-004;HMI-003;PWR-003;FCC-004;ENG-003;EMS-003;EPS-003;CDL-028;NBC3-NAV-001;SKT1-INS-002;FMS-020;GCS-032;NBC3-FCC-004;SKT1-FCC-004,15,0,,
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,agentic-graph,local,none,22763,4487,676,5163,BIT-003;DO-355;SEC-001,CDL-C5;ADS-023;BIT-003;SEC-001;LDG-023,5,3,continue,semantic
