query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the verification via fault injection and 2-out-of-3 voting under LDG-031, LDG-015, and FCC-048 are accurately grounded in the retrieved contexts.",2240
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic-graph,0,1-hop,2026-08-20,True,Every claim in the answer is accurately grounded in and verified by the provided requirements.,1591
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,adaptive,0,1-hop,2026-08-20,True,"All statements and requirement citations in the answer are directly supported by the retrieved contexts LDG-031, LDG-015, and FCC-048.",1942
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,vanilla,0,1-hop,2026-08-20,True,All factual claims regarding the hardware-protected key stores and software-extractability constraints are directly supported by SEC-005 and SEC-017.,1372
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic,0,1-hop,2026-08-20,True,The answer correctly acknowledges that no context was retrieved and makes no unsupported claims.,495
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the key storage method, hardware protection mechanism, and software extraction constraint are fully supported by SEC-017 and SEC-005.",2422
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic-graph,0,1-hop,2026-08-20,True,The answer correctly states that no context was provided and makes no unsupported claims.,450
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,adaptive,0,1-hop,2026-08-20,True,"All claims regarding the key storage method in the crypto selection table, the hardware-protected key store mechanism, and the constraint prohibiting software extraction are fully supported by SEC-017",1419
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer are strictly supported by the provided context chunks.,1545
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic,0,1-hop,2026-08-20,True,"All listed navigation data, timing parameters, and requirement citations are accurately supported by the retrieved contexts, and the answer correctly notes the absence of SAR-specific requirements in ",1655
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,graphrag,0,1-hop,2026-08-20,True,All factual statements and requirement citations are fully supported by the retrieved contexts.,2391
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic-graph,0,1-hop,2026-08-20,True,The answer accurately summarizes the retrieved context and correctly notes that the requirements do not contain information regarding SAR motion compensation or absolute geolocation accuracy.,1295
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,adaptive,0,1-hop,2026-08-20,True,All factual statements and requirement citations in the answer are directly supported by the retrieved contexts.,1549
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,vanilla,0,1-hop,2026-08-20,True,All statements and requirement details in the answer are directly supported by the retrieved contexts.,1373
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic,0,1-hop,2026-08-20,True,"All claims regarding FCC-023, EMS-006, FCC-010, and AUTO-009 are directly supported by the retrieved contexts.",1869
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,graphrag,0,1-hop,2026-08-20,True,All claims in the answer are accurately grounded in and supported by the retrieved contexts.,2638
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic-graph,0,1-hop,2026-08-20,True,"All claims, requirement quotes, and requirement traceability relationships are fully supported by the retrieved contexts.",2216
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,adaptive,0,1-hop,2026-08-20,True,All facts and requirements cited in the answer are strictly supported by the retrieved contexts.,2366
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",vanilla,0,1-hop,2026-08-20,True,"All factual claims regarding fault injection on the HIL rig, transition within 50 ms, annunciation within 500 ms, and verification of EMS-006 are directly supported by EMS-034.",1111
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",agentic,0,1-hop,2026-08-20,True,All facts and requirements cited in the answer are directly supported by context EMS-034.,905
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",graphrag,0,1-hop,2026-08-20,True,All factual claims and requirement references are fully supported by EMS-034 and EMS-006.,1912
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",agentic-graph,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by requirements EMS-034 and EMS-006 in the retrieved contexts.,1463
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",adaptive,0,1-hop,2026-08-20,True,"All factual statements, requirement references, and timing parameters in the answer are directly supported by the retrieved contexts.",1216
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by requirements EMS-020 and FCC-021.,1126
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,agentic,0,1-hop,2026-08-20,True,All claims regarding the structural envelope exceedance trigger and resulting EMS actions are directly supported by context [EMS-020].,1484
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,graphrag,0,1-hop,2026-08-20,True,"All factual statements regarding the structural limit-load envelope, duration threshold, and resulting EMS actions are directly supported by EMS-020, STR-008, and FCC-049.",3011
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,agentic-graph,0,1-hop,2026-08-20,True,All claims are fully supported by requirement EMS-020 in the retrieved contexts.,998
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,adaptive,0,1-hop,2026-08-20,True,All claims are accurately grounded in the provided requirements EMS-020 and FCC-021.,1122
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,vanilla,0,1-hop,2026-08-20,True,All statements and requirement details in the answer are accurately derived from and supported by the retrieved contexts.,1663
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic,0,1-hop,2026-08-20,True,All statements and requirement references in the answer are directly supported by the retrieved contexts.,1752
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding GCS-010, FDR-045, FDR-002, and GCS-018 are directly supported by the retrieved contexts.",2366
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic-graph,0,1-hop,2026-08-20,True,The answer accurately identifies that the requested requirements are missing from the context while correctly stating the related details from FCC-012.,1628
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,adaptive,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by the retrieved requirement contexts.,2382
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,vanilla,0,1-hop,2026-08-20,True,All claims are accurately supported by HMI-020 and ALX2-FCC-003 in the retrieved contexts.,1327
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,agentic,0,1-hop,2026-08-20,True,All claims regarding HMI-020 and its implementation of engine-out notification are directly supported by the context.,1208
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,graphrag,0,1-hop,2026-08-20,True,"All facts and requirements cited in the answer are directly supported by HMI-020, ALX2-FCC-003, and ENG-018.",2080
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,agentic-graph,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by requirement [HMI-020].,1053
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,adaptive,0,1-hop,2026-08-20,True,All facts and requirement citations in the answer are directly supported by the retrieved contexts HMI-020 and ALX2-FCC-003.,2026
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",vanilla,0,1-hop,2026-08-20,True,The answer accurately reflects that the retrieved contexts do not mention an FCC lane architecture and correctly summarizes what the contexts do state.,1507
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic,0,1-hop,2026-08-20,True,The answer accurately states that no context was provided and makes no unsupported claims.,440
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",graphrag,0,1-hop,2026-08-20,True,All claims in the answer accurately summarize the retrieved contexts and correctly identify that no Nimbus-C3-specific FCC lane architecture is provided in the text.,2527
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic-graph,0,1-hop,2026-08-20,True,The answer accurately states that no context was retrieved and makes no unsupported factual claims.,467
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",adaptive,0,1-hop,2026-08-20,True,The answer accurately states that no FCC lane architecture is specified in the contexts and faithfully summarizes the related external cargo pod and FCC requirements.,1631
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",vanilla,0,1-hop,2026-08-20,True,All statements and requirement references are fully supported by the retrieved contexts.,2041
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",agentic,0,1-hop,2026-08-20,True,"All claims regarding GCS command handling, validation criteria, table limits, error codes, and ground mode constraints are directly supported by the retrieved contexts.",2783
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",graphrag,0,1-hop,2026-08-20,True,"All claims regarding CDL routing, frame authentication, and FCC command validation against the Command_Validation table are directly supported by the retrieved requirements.",3584
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",agentic-graph,0,1-hop,2026-08-20,True,"All claims regarding GCS command handling, validation parameters, and mode constraints are fully supported by the retrieved contexts.",2478
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",adaptive,0,1-hop,2026-08-20,True,"All claims regarding command validation, error handling, and routing constraints are directly supported by the retrieved contexts.",2178
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,vanilla,0,1-hop,2026-08-20,True,"All claims regarding the payload-bus implementations, platform bandwidths, and EOIR interface protocols are fully supported by EOIR-025 and PLD-031.",1400
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,agentic,0,1-hop,2026-08-20,True,"All factual statements regarding the payload-bus implementation, interface protocols, and platform bandwidths are directly supported by requirements EOIR-025 and PLD-031.",1560
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the EOIR interface, payload-bus implementations, and platform-specific bandwidths are directly supported by the retrieved contexts.",2283
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,agentic-graph,0,1-hop,2026-08-20,True,All statements regarding the EOIR interface and platform-specific payload bus implementations are directly supported by the retrieved contexts.,1215
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,adaptive,0,1-hop,2026-08-20,True,"All factual claims regarding the payload bus implementation, platform bandwidths, protocols, and absence of Nimbus-C3 payload bus data are directly supported by the context.",1761
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",vanilla,0,1-hop,2026-08-20,True,"All listed modes, transition preconditions, timing constraints, and related requirements are directly supported by the retrieved contexts.",1882
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",agentic,0,1-hop,2026-08-20,True,"All statements regarding the operational modes, transition triggers, timing, and conditions are accurately grounded in the retrieved contexts.",1856
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",graphrag,0,1-hop,2026-08-20,True,"All listed INS operational modes, transition preconditions, timing constraints, and related context references are fully supported by the retrieved contexts.",3320
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",agentic-graph,0,1-hop,2026-08-20,True,"All operational modes, transition preconditions, timing requirements, and associated system behaviors mentioned in the answer are strictly supported by the retrieved contexts.",2036
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",adaptive,0,1-hop,2026-08-20,True,"All listed modes, transition triggers, timing constraints, and limitations are fully supported by the retrieved contexts.",2138
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",vanilla,0,1-hop,2026-08-20,True,All statements in the answer are directly supported by the retrieved requirement contexts.,1538
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",agentic,0,1-hop,2026-08-20,True,"All factual statements in the answer are directly supported by NAV-028, and the answer accurately states that the specific INS spoof-detection criteria are not provided in the retrieved contexts.",1478
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",graphrag,0,1-hop,2026-08-20,True,All claims are strictly grounded in and fully supported by the retrieved requirement contexts.,3036
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",agentic-graph,0,1-hop,2026-08-20,True,All claims are strictly grounded in NAV-028 and the answer correctly identifies that the specific INS spoof-detection criteria are not provided in the retrieved context.,1501
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",adaptive,0,1-hop,2026-08-20,True,"All claims regarding navigation fusion deweighting, security monitor notifications, and INS innovation-sequence spoof-detection criteria are fully supported by the retrieved contexts.",2879
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,vanilla,0,1-hop,2026-08-20,True,All factual statements and requirement citations in the answer are directly supported by the provided contexts.,1788
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,agentic,0,1-hop,2026-08-20,True,"All limits, rates, and anti-windup/trim integration behaviors cited in the answer are directly supported by FCC-028, FCC-026, and FCC-038.",1946
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,graphrag,0,1-hop,2026-08-20,True,"All limits, rates, and anti-windup/trim-integrator requirements are fully supported by FCC-026, FCC-028, and FCC-038.",2404
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,agentic-graph,0,1-hop,2026-08-20,True,"All facts, requirement citations, and table values in the answer are directly supported by FCC-028, FCC-038, and FCC-026.",2488
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,adaptive,0,1-hop,2026-08-20,True,"All factual claims, requirements, limits, and rates in the answer are directly supported by the retrieved contexts.",1684
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",vanilla,0,1-hop,2026-08-20,True,All statements and requirement citations in the answer are directly supported by the retrieved contexts.,1316
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic,0,1-hop,2026-08-20,True,All facts and requirements cited in the answer are directly supported by the retrieved contexts AUTO-006 and FCC-011.,1400
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",graphrag,0,1-hop,2026-08-20,True,"All claims are accurately supported by AUTO-006, CDL-030, FCC-011, AUTO-020, and AUTO-022.",2150
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic-graph,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved context does not contain the requested information and correctly summarizes the provided requirement chunks.,1107
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",adaptive,0,1-hop,2026-08-20,True,All statements in the answer are accurately grounded in AUTO-006 and FCC-011.,1392
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,vanilla,0,1-hop,2026-08-20,True,"All statements regarding FCC-031, FCC-040, and SEC-008 are directly supported by the retrieved contexts.",1285
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,agentic,0,1-hop,2026-08-20,True,The answer accurately identifies ##SEC.SEC-008 as the requirement satisfied by FCC-031 and FCC-040.,2344
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,graphrag,0,1-hop,2026-08-20,True,"All claims are accurately supported by requirements SEC-008, FCC-031, FCC-040, and CDL-013.",2845
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,agentic-graph,0,1-hop,2026-08-20,True,All statements and requirement references in the answer are fully supported by the provided context.,1779
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,adaptive,0,1-hop,2026-08-20,True,The answer accurately cites ##SEC.SEC-008 as satisfied by FCC-031 and FCC-040.,1716
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,vanilla,0,1-hop,2026-08-20,True,The answer accurately reflects the requirement statement and ID found in context [HMI-025].,839
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,agentic,0,1-hop,2026-08-20,True,The answer accurately identifies requirement [HMI-025] and quotes its contents as given in the context.,1261
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,graphrag,0,1-hop,2026-08-20,True,The answer accurately identifies HMI-025 and SKT1-FCC-003 with facts directly supported by the context.,1874
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,agentic-graph,0,1-hop,2026-08-20,True,The answer accurately cites HMI-025 and its contents based directly on the provided context.,955
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,adaptive,0,1-hop,2026-08-20,True,All statements and requirement references in the answer are fully supported by the retrieved contexts.,1724
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,vanilla,0,1-hop,2026-08-20,True,The answer is fully supported by the provided requirement contexts APM-037 and APM-009.,1230
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,agentic,0,1-hop,2026-08-20,True,The answer accurately acknowledges that the retrieved contexts do not contain information about the laboratory discharge verification or 30-minute RTB load profile.,1066
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,0,1-hop,2026-08-20,True,All statements in the answer are directly supported by requirements APM-037 and APM-009.,2034
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,agentic-graph,0,1-hop,2026-08-20,True,The answer accurately states that the provided context does not contain information about the 30-minute RTB load profile or its associated endurance-capacity verification requirement.,1071
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,0,1-hop,2026-08-20,True,All statements and requirement references in the answer are directly supported by the retrieved contexts APM-037 and APM-009.,2069
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,vanilla,0,1-hop,2026-08-20,True,"All claims regarding the upstream interface, update rates, and GCS display requirements are directly supported by the retrieved contexts.",1386
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,agentic,0,1-hop,2026-08-20,True,"All claims regarding the NAV_STATE_MSG interface, update rates, bus transport types, and latency are fully supported by the provided NAV-029 and NAV-010 contexts.",1951
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the upstream interface, update rates, and related requirements are directly supported by the retrieved contexts.",2617
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,agentic-graph,0,1-hop,2026-08-20,True,"All claims regarding NAV_STATE_MSG, update rates, bus types, latency, and message fields are directly supported by the retrieved NAV context requirements.",2226
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,adaptive,0,1-hop,2026-08-20,True,"All claims regarding the NAV_STATE_MSG interfaces, update rates, bus types, and latencies are directly supported by NAV-010 and NAV-029.",2188
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",vanilla,0,1-hop,2026-08-20,True,All statements and requirement references are directly supported by the retrieved contexts.,1921
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",agentic,0,1-hop,2026-08-20,True,"All claims regarding the command frame definition, its fields, and the corresponding requirement IDs are directly supported by the retrieved contexts.",1617
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",graphrag,0,1-hop,2026-08-20,True,All statements and requirement details in the answer are directly supported by the retrieved contexts.,3458
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",agentic-graph,0,1-hop,2026-08-20,True,"All claims and command-frame field specifications are fully supported by GCS-034, CDL-033, and CDL-030.",1760
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",adaptive,0,1-hop,2026-08-20,True,"All claims regarding the command frame definition, its fields, and the GCS/CDL relationships are directly supported by the retrieved contexts.",1578
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer are strictly supported by or logically inferred from the provided context.,1927
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,agentic,0,1-hop,2026-08-20,True,The answer correctly identifies that the retrieved context lacks information about SAR status telemetry and accurately summarizes the available ADS requirements.,1641
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the 1 Hz publication, PMC native rate aggregation, CDL 20 Hz return link transmission, interface bus, and BIT health report ingestion are fully supported by the provided contexts.",2585
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,agentic-graph,0,1-hop,2026-08-20,True,"The answer accurately states that the retrieved contexts do not contain information regarding SAR status telemetry or the downlink path, and correctly summarizes the relevant ADS requirements present.",1725
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,adaptive,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved context lacks information about SAR status telemetry and correctly summarizes the provided ADS requirements.,1737
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,0,1-hop,2026-08-20,True,Every claim and requirement mapping in the answer is fully supported by PLD-009 and PLD-033.,1401
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,agentic,0,1-hop,2026-08-20,True,"Every command ID range, target, purpose, and routing requirement cited in the answer is fully supported by PLD-033 and PLD-009.",1397
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,graphrag,0,1-hop,2026-08-20,True,"All payload command ID ranges, target mappings, and CDL frame dispatch details are fully supported by PLD-033, PLD-009, and CDL-033.",2694
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,agentic-graph,0,1-hop,2026-08-20,True,"All payload command ID ranges, targets, purposes, and routing requirements are fully supported by PLD-033 and PLD-009.",1592
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,adaptive,0,1-hop,2026-08-20,True,"All command ID ranges, targets, purposes, and routing requirements are directly supported by PLD-033 and PLD-009.",1731
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,vanilla,0,1-hop,2026-08-20,True,"All facts, update rates, requirement IDs, and message fields mentioned in the answer are directly supported by the retrieved contexts BIT-026 and SAR-019.",1322
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,agentic,0,1-hop,2026-08-20,True,"All facts, update rates, and field names in the answer are directly supported by the retrieved contexts SAR-019, BIT-026, and PLD-032.",1575
