query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,answer,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
Which security requirement is ultimately traceable from the initial CDL requirement through the referenced FMS and downstream CDL verification chain?,3+-hop,agentic-graph,azure,none,0,14366,3214,606,3820,CDL-013;CDL-003;SHA-256;FMS-022;CDL-040;FDR-012;CDL-012;SEC-010,FMS-022;FDR-012;CDL-003;SEC-010;CDL-013,5,1,sufficient,semantic,,,"From the provided context, the security requirement that is traceable in the CDL chain is **[CDL-013]**:

- The initial CDL security-oriented requirement is **[CDL-003]**, which requires the CDL to provide an “encrypted, authenticated, integrity-protected bi-directional link,” with command-uplink integrity as the safety-critical path [CDL-003].
- The concrete downstream CDL security verification requirement in the retrieved set is **[CDL-013]**, which specifies that every forward-link command frame must be authenticated using **HMAC-SHA-256** with a per-frame sequence number, and rejected if the HMAC fails, the sequence number is reused, or the transmit timestamp is more than **500 ms** stale [CDL-013].

About the referenced FMS chain:
- **[FMS-022]** traces to **##CDL.CDL-040**, and **[FDR-012]** traces to **[FMS-022]** [FMS-022] [FDR-012].
- However, **##CDL.CDL-040** is not included in the retrieved context, so I cannot show a complete trace from **[FMS-022]** through that referenced CDL requirement to a specific security requirement without inventing missing links.

So, based strictly on the retrieved requirements, the identifiable downstream CDL security requirement is **[CDL-013]**, but the full “initial CDL requirement through the referenced FMS and downstream CDL verification chain” is **not fully demonstrated** because **##CDL.CDL-040**, **##CDL.CDL-012**, and any explicit verification-chain requirements are not present in the context [FMS-022] [CDL-013] [SEC-010].",False,The answer invents a trace to CDL-013 and mentions missing CDL-012/verification links that are not supported by the provided chain from FMS-022.,True,All claims are explicitly supported and limitations about trace completeness are accurately stated based on the retrieved contexts.,,skipped,False
"Which flight control computer requirement is ultimately satisfied by the flight data recorder requirement through the navigation, GPS, and inertial navigation traceability chain?",3+-hop,vanilla,azure,none,2,6941,603,250,853,FDR-022;NAV-002;SEC-028;HMI-005;NAV-015,FDR-022;NAV-002;SEC-028;HMI-005;NAV-015,5,0,,,,,"From the provided context, I cannot establish a complete traceability chain from the FDR requirement to a specific FCC requirement.

What is present:
- The FDR records the GPS raw-measurement datastream and satisfies GPS requirement `##NBC3-GPS-002` [FDR-022].
- NAV consumes GPS and INS inputs as part of navigation fusion, and its output is used by FCC [NAV-002].
- NAV provides a reversionary AHRS output for use by FCC, satisfying `##FCC.FCC-017` [NAV-015].

However, the missing links are:
- the actual GPS requirement content and onward trace from `##NBC3-GPS-002`,
- any INS requirement in the chain,
- any explicit trace from those GPS/INS requirements to `##FCC.FCC-017` or another FCC requirement.

So, based only on the retrieved requirements, no FCC requirement can be stated as being “ultimately satisfied” by the FDR requirement with confidence. The only FCC requirement explicitly cited in the provided context is `##FCC.FCC-017` [NAV-015], but the intermediate traceability needed to connect it to [FDR-022] is not present.",True,"The answer only states that the complete FDR→GPS/INS/NAV→FCC trace is not established in the provided contexts, which is supported.",True,The answer correctly concludes that the traceability chain from the FDR requirement to an FCC requirement is not fully established in the provided contexts.,,skipped,True
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",2-hop,adaptive,azure,none,1,21706,5663,741,6404,LDG-001;TCS-018,TCS-018;STR7-LDG-001;LDG-001;ICE-006;LDG-002;STR7-LDG-001;TCS-018;LDG-032;LDG-013;LDG-014;STR7-LDG-001;TCS-018;LDG-001;LDG-002;LDG-013,15,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)","For Stratos-7 max-brake-energy landings, the landing gear/braking specification requires two aligned elements:

1. **Brake cooling provision**
   - The LDG requirement is that Stratos-7 shall support max-brake-energy landings of **~1.2 MJ per wheel**, using **carbon-carbon brakes** and **forced-air cooling** per TCS [STR7-LDG-001].
   - The corresponding TCS requirement is that the TCS shall support **brake-cooling airflow** to permit those max-brake-energy landings [TCS-018].

2. **Software assurance level**
   - The LDG document states that **LDG control software shall be developed at DO-178C DAL-A on Stratos-7** [LDG-001].

So, for Stratos-7, compliance means the aircraft must provide **TCS brake-cooling airflow supporting ~1.2 MJ per wheel max-brake-energy landings with carbon-carbon brakes** [STR7-LDG-001][TCS-018], and the **LDG control software implementing the landing gear/braking functions must be developed to DO-178C DAL-A** [LDG-001].

Relationship: the **LDG requirement defines the landing performance/cooling need**, and the **TCS requirement supplies the cooling capability needed to satisfy it** [STR7-LDG-001][TCS-018].",True,"All claims are supported by the cited Stratos-7 LDG and TCS requirements, including DAL-A software assurance.",True,"All claims about brake cooling, brake energy, carbon-carbon brakes, forced-air cooling, TCS alignment, and software assurance level DO-178C DAL-A are directly supported by the retrieved contexts.",,skipped,True
"Does the selected VHF transceiver transmit power remain compliant with EMC coexistence expectations for the CDL, GPS, and radar altimeter under DO-160G Category Y?",2-hop,adaptive,azure,none,2,24981,4792,865,5657,COMM-018;COMM-029;CDL-024;RADAR-009;RADAR-024,RADAR-024;CDL-024;RADAR-009;COMM-029;COMM-018;ICE-013;ICE-018;ICE-008;ICE-003;ICE-001,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=2, trace_kw=False, chain_ind=False, numeric=False)","The retrieved requirements support the EMC coexistence expectation, but they do not state any specific VHF transceiver transmit-power limit. So I cannot confirm the selected power level itself from this context.

What the requirements do say:

- The COMM subsystem, which includes transceivers, “shall enforce DO-160G §20 Category Y EMC requirements and shall coexist with the CDL, GPS, and radar altimeter without mutual interference” [COMM-018].
- That coexistence must be verified by test “with all transceivers active simultaneously at maximum duty cycle,” showing “no spurious emission into the protected GPS, radar-altimeter, and CDL bands beyond the allowable limits” [COMM-029].
- The CDL shall also operate within DO-160G §20 Category Y EMC “without degrading or being degraded by the radar altimeter, GPS, or SATCOM comms” [CDL-024].
- The radar altimeter must support DO-160G §20 Category Y EMC and coexist without mutual interference with the CDL and onboard GPS [RADAR-009], and this is verified by test with CDL and GPS transmitters active, demonstrating no degradation of RA track or PVT output [RADAR-024].

Conclusion:
- If the selected VHF transceiver is part of the COMM subsystem, compliance is required at the subsystem level under DO-160G §20 Category Y [COMM-018].
- Acceptance is demonstrated by the COMM EMC test at maximum duty cycle, not by a transmit-power threshold stated here [COMM-029].
- No requirement in the retrieved set provides a numeric VHF transmit-power limit or explicit “selected power remains compliant” statement. Therefore, based on this context alone, I can only say: compliance must be shown by DO-160G §20 Category Y coexistence testing, and the specific power setting is not defined here [COMM-018] [COMM-029].",False,The answer adds unsupported details by assuming a VHF transceiver is part of the COMM subsystem and by saying acceptance is shown only by the COMM test rather than directly from the retrieved requirem,True,"All statements are either directly supported by the retrieved contexts or draw only light inferences, with explicit references to the relevant requirements and acknowledgment of their content or absen",,skipped,False
"For secure UHF voice operation, what encryption/authentication scheme and key-rotation policy apply, and what happens if no valid key is loaded?",2-hop,vanilla,azure,none,1,7625,614,405,1019,COMM-019;COMM-030;SEC-010;CDL-012;SEC-009,COMM-019;COMM-030;SEC-010;CDL-012;SEC-009,5,0,,,,,"For secure UHF voice, the retrieved requirements only partially specify the crypto details.

- **Applies to secure UHF voice:** COMM requires an **embedded cryptographic module** for **voice-encryption capability on UHF** and says **transmit shall be inhibited if no valid key is loaded in secure mode** [COMM-019].
- **If no valid key is loaded:** UHF transmit is **inhibited**, and verification requires that **an operator alert is raised within 200 ms** [COMM-019] [COMM-030].

On **encryption/authentication scheme** and **key-rotation policy**:

- COMM-019 says UHF uses key rotation **per SEC-010** [COMM-019].
- SEC-010 specifies **AES-256 in GCM mode** for encryption and **HMAC-SHA-256** for authentication, with session keys rotated per policy [SEC-010].
- However, SEC-010 explicitly states those crypto algorithms apply **on the CDL forward and return links per CDL-012** [SEC-010], and CDL-012 gives the concrete cadence **every 24 h of flight time or every 10 GB of traffic, whichever comes first** [CDL-012].

So, based on the retrieved text:

- I can say COMM secure UHF must use **key rotation per SEC-010** [COMM-019].
- I **cannot confirm from the retrieved requirements** that the **AES-256/GCM + HMAC-SHA-256** scheme and the **24 h / 10 GB** cadence are directly mandated for **UHF voice**, because those details are explicitly written for **CDL**, not UHF voice [SEC-010] [CDL-012].
- The only UHF-specific enforced behavior in the provided set is: **no valid key in secure mode ⇒ inhibit transmit**, with **operator alert within 200 ms** in test verification [COMM-019] [COMM-030].",True,"All claims are supported by the provided contexts, including the distinction that detailed crypto/cadence text is explicitly stated for CDL while COMM-019 only references SEC-010 for UHF key rotation.",True,"All claims are carefully grounded in and qualified according to the retrieved contexts, with no additional details or contradictions.",,skipped,True
"Which flight management function, via its cockpit display interaction, leads to the display verification requirement, and how is that end-to-end traceability established across FMS, HMI, and CDL?",3+-hop,adaptive,azure,none,1,10541,1473,583,2056,HMI-009;HMI-037;FMS-022;FMS-041;FMS-003;SEC-035;HMI-030;FMS-010;CDL-030;CDL-040;ENG-037;FDR-012;FMS-012;FMS-033;FMS-042,HMI-009;HMI-037;FMS-022;FMS-041;FMS-003;SEC-035;HMI-030;FMS-010;CDL-030;CDL-040;ENG-037;FDR-012;FMS-012;FMS-033;FMS-042,15,0,,,graphrag,R3: n_modules (3) ≥ 2 + chain_indicator → always-walk graph,"The traced function is **uplinked flight-plan modification / uplink-clearance acceptance and activation** through the operator flight-management display.

End-to-end traceability is:

- **CDL provides the uplink path**: the **CDL shall receive command frames from the GCS** and dispatch them to the **FMS** per routing table support for **[FMS-022]** [CDL-030].
- **FMS defines the flight-management function**: the **FMS shall accept an uplinked flight plan modification (uplink-clearance) via the CDL**, require explicit operator confirmation before activation, and log each uplink [FMS-022].
- **HMI provides the cockpit-display-style interaction**:
  - The HMI provides the **Flight Management Display (FMD) page analogous to a cockpit MCDU** for **flight-plan editing** [HMI-009].
  - More specifically for this function, the HMI shall **require explicit operator confirmation (two-step) for uplinked flight-plan modifications**, **displaying the full diff before confirmation** [HMI-037].
- **Cross-reference establishing display verification/confirmation linkage**:
  - **[HMI-037] satisfies [FMS-022]**, so the HMI display/confirmation behavior is the implementation of the FMS confirmation requirement [HMI-037][FMS-022].
  - **[FMS-022] satisfies [CDL-040]** per the exported trace, so the uplink-clearance function is linked upward/downward in the dataset through CDL-related traceability [FMS-022].  
    However, the retrieved text of **[CDL-040]** itself is a **zeroise test**, not a display-verification requirement; so from the provided context, I cannot justify any stronger claim about CDL display verification beyond the explicit trace label [CDL-040].

Related HMI/FMS scope linkage:

- **[FMS-003]** states FMS operator interactions are performed through the **GCS FMS page** [FMS-003].
- **[HMI-030]** satisfies that by providing the **FMS page** supporting flight-plan edit functions [HMI-030][FMS-003].

So, the function is **uplinked flight-plan modification**, and the trace is:

**CDL command reception/dispatch** → **FMS uplink-clearance acceptance and confirmation requirement** → **HMI two-step full-diff confirmation on the flight-management display** [CDL-030][FMS-022][HMI-037][HMI-009].

If you meant a specific **“display verification requirement”** by ID, that ID is not present in the retrieved context, so I can’t name it from the provided requirements.",False,The answer adds unsupported claims about a 'display verification requirement' and traces FMS-022 to CDL-040 even though CDL-040 is a zeroise test unrelated to display verification.,True,"All claims are supported by the retrieved contexts, with each requirement and cross-reference explicitly present and accurately represented without unsupported details.",,skipped,False
"During a 50 ms Category Z primary-power interruption, how does the specified essential-bus hold-up provision ensure both the INS and FCC remain continuously operational?",2-hop,agentic-graph,azure,none,0,24816,6210,1087,7297,PWR-018;FCC-036;FCC-055;NAV-026;FCC-045;EPS-012;EPS-006,EPS-012;EPS-023;EPS-006;EPS-025;EPS-017;NAV-026;NAV-035;NAV-029;NAV-007;NAV-036;FCC-036;FCC-033;FCC-045;FCC-055;FCC-019,15,3,continue,semantic,,,"The retrieved requirements show the mechanism is the same for both functions: they must ride through a **50 ms primary-power interruption** using **hold-up energy** associated with the essential-bus power architecture.

- **FCC continuity:** The FCC “shall sustain uninterrupted inner-loop execution through a primary power interruption of up to 50 ms per MIL-STD-704F and DO-160G §16 Category Z, drawing from the hold-up energy storage specified in ##PWR.PWR-018” [FCC-036]. This is verified at **10, 25, 50, and 75 ms** interruption durations by DO-160G §16 Category Z test [FCC-055].

- **INS/NAV continuity:** The NAV Fusion function “shall sustain uninterrupted output through the **50 ms** primary-power interruption profile per DO-160G §16 Category Z, using hold-up energy from ##PWR.PWR-018” [NAV-026]. So the INS-related navigation function is likewise required to continue operating with no output interruption over that gap [NAV-026].

- **Essential-bus relationship:** The FCC is powered from the **primary essential bus** at nominal **28 V DC** [FCC-045]. The question mentions “essential-bus hold-up provision”; in the retrieved set, that provision is referenced as **##PWR.PWR-018** by both FCC and NAV requirements [FCC-036] [NAV-026]. Thus, both functions depend on the same hold-up-energy source to bridge the Category Z interruption.

- **EPS interaction:** The EPS includes fast bus-isolation behavior under generator fault / low battery conditions, opening the DC-TIE within **50 ms** to preserve essential loads [EPS-012], and in **BATT_ONLY** it retains only **P1+P2 loads** on the emergency path [EPS-006]. However, the retrieved context does **not** provide the text of **##PWR.PWR-018**, so it does not explicitly state the hold-up capacitance, topology, or whether “INS” as a standalone item is separately allocated beyond the NAV Fusion requirement.

So, based strictly on the retrieved requirements: the essential-bus hold-up provision ensures continuity by supplying stored energy for up to **50 ms**, allowing the **FCC** to maintain uninterrupted inner-loop execution [FCC-036] and the **NAV/INS function** to maintain uninterrupted output [NAV-026] throughout the DO-160G §16 Category Z interruption. The detailed implementation of that hold-up provision is **not present in the retrieved context**.",False,"The answer adds unsupported details about an 'essential-bus hold-up provision' and INS continuity beyond the contexts, which only state FCC and NAV Fusion use hold-up energy from ##PWR.PWR-018.",True,"All claims about FCC and NAV/INS ride-through via essential-bus hold-up are directly supported by FCC-036, NAV-026, and related requirements; the answer is careful not to assume implementation details",,skipped,False
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",2-hop,adaptive,azure,none,0,15824,2615,737,3352,EPS-007;EPS-004;PWR-032;EPS-006,FCC-041;FCC-015;FCC-017;FCC-006;FCC-012;EPS-007;EPS-006;EPS-025;EPS-004;EPS-015,10,0,sufficient,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=True)","From the retrieved context, I can answer the EPS mode-entry part, but not the full “SoC data path and update rate support critical-battery RTB” portion.

- In battery-only operation, the EPS uses battery SoC to drive automatic mode progression: it shall transition through `LOAD_SHED_1 → LOAD_SHED_2 → LOAD_SHED_3` when SoC falls below `40 %`, `20 %`, and `10 %` respectively, with `5 s` dwell at each threshold to avoid oscillation [EPS-007].
- `BATT_ONLY` is defined as the mode where “battery is the sole source for essential+emergency buses” [EPS-004].
- On entry to `BATT_ONLY`, the EPS shall open all non-essential bus ties, close the battery-to-emergency-bus tie, and retain only `P1+P2` loads per `##PWR.PWR-032` [EPS-006]. This is the relevant mode-entry constraint in the retrieved set.

What is not present in the retrieved requirements:
- No requirement here defines the SoC **data path** for RTB, e.g. which LRU publishes battery SoC, on what bus/message, or which function consumes it.
- No requirement here defines the SoC **update rate** for RTB or critical-battery decision logic.
- No retrieved requirement explicitly mentions a **critical-battery RTB** function.

Relationship between SoC monitoring and mode-entry constraints:
- The EPS mode-entry behavior for `BATT_ONLY` [EPS-006] establishes the electrical configuration and retained loads at the moment battery-only operation begins.
- The ongoing SoC monitoring then governs subsequent automatic degradation/load-shed progression within battery-only operation via the `40 % / 20 % / 10 %` thresholds and `5 s` dwell [EPS-007].
- So, based on the retrieved requirements, SoC monitoring is tied to **post-entry mode progression** inside battery-only operation, not to any retrieved bus/interface/update-rate requirement for RTB.

If you want, I can also help identify exactly what additional requirement types would be needed to fully answer the missing RTB data-path/update-rate part.",False,The answer adds unsupported claims about RTB-related data paths/update rates being absent and about SoC monitoring governing post-entry mode progression rather than mode-entry constraints.,True,"All factual claims in the answer are supported by the retrieved contexts, and the limitations and gaps are noted accurately.",,skipped,False
"For ground maintenance fault injection through the power subsystem via the built-in test interface, what operator authentication is required and where must it be enforced?",2-hop,agentic,azure,none,0,9728,2267,349,2616,SEC-010;EPS-018,EPS-024;EPS-018;EPS-025;EPS-023;EPS-015;ICE-019;ICE-008;ICE-009;ICE-018;ICE-015,10,0,sufficient,semantic,,,"The retrieved requirements only partially answer this.

- For the **power subsystem**, **any operator-initiated bus-tie command** must be authenticated, and that authentication must be **enforced by the EPS** per **##SEC.SEC-010** [EPS-018].
- The provided context does **not** include a requirement that explicitly mentions **ground maintenance fault injection through the built-in test interface**, nor does it state whether that specific BIT-interface action is treated as a bus-tie command or has its own authentication rule.

So, based on the retrieved requirements:
- **Required authentication:** command authentication per **##SEC.SEC-010** [EPS-018]
- **Enforcement location:** **in the EPS**, on **operator-initiated bus-tie commands** [EPS-018]

Anything more specific to **fault injection via the built-in test interface** is not present in the provided context.",False,"It adds that enforcement is specifically 'by the EPS' and discusses BIT-interface applicability, which are not explicitly supported by the retrieved contexts.",True,"All claims are directly supported or accurately identify gaps based on the retrieved requirements, specifically referencing EPS-018 and noting absence of more specific context.",,skipped,False
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",2-hop,adaptive,azure,none,0,10243,1393,500,1893,COMM-019;COMM-030;SEC-008;EMS-023;SEC-003_1;EMS-009;EMS-006;CDL-003;AUTO-009;CDL-013;EMS-034;EMS-035;FCC-006;FCC-009;FCC-010,COMM-019;COMM-030;SEC-008;EMS-023;SEC-003_1;EMS-009;EMS-006;CDL-003;AUTO-009;CDL-013;EMS-034;EMS-035;FCC-006;FCC-009;FCC-010,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,"For an operator-commanded emergency return or diversion, the retrieved requirements establish these conditions:

- The emergency procedures themselves are operator-initiated commands handled by EMS: `RTB` and `LAND_AT_NEAREST` are explicitly listed, and they must be authenticated per `SEC-010` [EMS-009].
- At the system level, commands must be rejected if they have invalid range, rate, sequence, or authentication [SEC-008].
- On the command/data link, every forward-link command frame must be:
  - encrypted / carried on an encrypted, authenticated, integrity-protected bidirectional link [CDL-003]
  - authenticated with `HMAC-SHA-256` [CDL-013]
  - protected by a per-frame sequence number; reused sequence numbers are rejected [CDL-013]
  - rejected if the transmit timestamp is more than `500 ms` stale [CDL-013]
  This CDL behavior is explicitly tied into the system command-validation discipline [SEC-008].

For secure UHF voice, the retrieved requirements say:

- The COMM subsystem shall provide voice-encryption capability on UHF via an embedded cryptographic module with key rotation per `SEC-010` [COMM-019].
- In secure mode, transmit must be inhibited if no valid key is loaded [COMM-019].
- This inhibit is verified by test, with operator alert raised within `200 ms` when transmit is attempted without a valid key [COMM-030].

What the retrieved context does **not** state explicitly is that emergency return/diversion execution depends on secure UHF voice being available or successfully keyed. It does state the key-validity rule for secure UHF transmission [COMM-019], and it states the authentication/integrity requirements for command execution over the CDL [CDL-013], but it does not explicitly require voice-link availability as a prerequisite to executing `RTB` or `LAND_AT_NEAREST` [EMS-009].

So, strictly from the retrieved requirements:

- **Emergency RTB/diversion command execution:** requires authenticated command acceptance per `SEC-010` / system command validation [EMS-009][SEC-008], with CDL frame authentication, sequence freshness, and `500 ms` timestamp freshness on the forward link [CDL-013].
- **Secure UHF voice, if used:** must be encrypted, with valid crypto key loaded; otherwise transmit is inhibited in secure mode [COMM-019].",False,The answer adds unsupported details by equating SEC-010 with specific CDL/HMAC/timestamp rules and by citing SEC-010 as the RTB/diversion execution requirement without that linkage in the retrieved co,True,Every claim in the answer is explicitly linked to retrieved requirements and distinguishes unsupported details as such.,,skipped,False
"Which flight-control initialization constraint governs the termination-mode full nose-down, throttle-cut command before subsequent recovery commands are rejected?",1-hop,agentic-graph,azure,none,2,14644,4256,435,4691,FCC-006;FCC-007,STR7-FCC-006;STR7-FCC-003;FCC-007;ALX2-FCC-003;STR7-FCC-002,5,3,continue,semantic,,,"The retrieved context does not contain a flight-control initialization requirement or constraint that governs rejection of subsequent recovery commands after termination.

What it does contain is the termination response itself for Stratos-7: the FCC must, upon a flight-termination input, command full nose-down pitch of -25° with throttle cut within 200 ms of the authenticated termination signal [STR7-FCC-006].

There is also a separate mode constraint for GROUND mode command acceptance/rejection, but it is not tied to termination-mode initialization or recovery-command rejection: in GROUND mode, the FCC accepts control-surface commands only via the ground-maintenance command path and rejects commands from autopilot or guidance laws [FCC-007].

So, based on the provided requirements, I cannot identify the specific initialization constraint you are asking for.",True,The answer accurately states that no initialization constraint about rejecting recovery commands is present and correctly summarizes the cited requirements.,True,The answer accurately summarizes the retrieved requirements and does not introduce unsupported claims.,,skipped,True
"Which transceiver fault condition forces EMS into CAUTION, and what communication subsystem response and operator notification are required?",1-hop,agentic-graph,azure,none,0,18133,4285,621,4906,COMM-021;EMS-005;HMI-105,EMS-005;COMM-021;FCC-009;EMS-010;EMS-006,5,3,continue,semantic,,,"EMS is forced into **CAUTION** on the transceiver fault identified as **`##COMM.COMM-021 transceiver failure`** [EMS-005].

For that fault, the COMM subsystem must:
- **disable transmit on the faulted transceiver within 100 ms** [COMM-021], and
- this applies for any transceiver fault caused by **failed self-test, excessive VSWR, or loss of local-oscillator lock** [COMM-021].

Operator notification requirements are:
- EMS must **notify the operator within 500 ms** when it transitions to CAUTION on that P2 fault [EMS-005].
- COMM must also **notify the operator per `##HMI.HMI-105`** when the transceiver fault occurs [COMM-021].

So the interaction is: a COMM transceiver failure condition defined in [COMM-021] is one of the P2 faults that drives EMS to **CAUTION** [EMS-005], while COMM simultaneously protects the radio by disabling transmit within **100 ms** and issuing the required operator notification [COMM-021].",True,All claims are directly supported by EMS-005 and COMM-021 without adding unsupported facts.,True,"All claims about EMS transition to CAUTION on COMM-021 faults, disabling transmit within 100 ms, and notification requirements are directly supported by the retrieved contexts.",,skipped,True
Which airframe general requirement references the FCC cross-channel data link timing and integrity requirement to justify dissimilar-redundant routing separation?,1-hop,adaptive,azure,none,1,5011,1392,158,1550,STR-021;COMM-016;COMM-004;ALX2-FCC-001;COMM-007;STR7-FCC-001;FDR-008;FCC-018;FCC-003;FCC-012;FCC-019;FCC-041;FCC-046;PWR-012;PWR-025,STR-021;COMM-016;COMM-004;ALX2-FCC-001;COMM-007;STR7-FCC-001;FDR-008;FCC-018;FCC-003;FCC-012;FCC-019;FCC-041;FCC-046;PWR-012;PWR-025,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,"The airframe general requirement is [STR-021].

It explicitly requires dissimilar-redundant routing paths for power, data bus A/B, and **CCDL**, with minimum **150 mm** physical separation per AS50881, and it references the FCC CCDL item as **##FCC.FCC-046** [STR-021]. The cited FCC requirement defines the cross-channel data link timing and integrity behavior: exchange of channel state over CCDL **every 5 ms** using deterministic TDMA, with **CRC-32** on every frame and rejection of bad CRC frames [FCC-046].

So the requirement that uses the FCC CCDL requirement to justify routing separation is **[STR-021]**, referencing **[FCC-046]**.",True,All claims are supported by STR-021 and FCC-046 in the provided contexts.,True,"All claims about STR-021 and FCC-046 (routing, separation, cross-channel data link timing and integrity) are supported directly by the provided contexts.",,skipped,True
"How do lateral-guidance accuracy requirements constrain autopilot roll and throttle targets through the FCC flight-control command limits across enroute, terminal, and approach phases?",2-hop,agentic-graph,azure,none,0,24646,7224,991,8215,FMS-012;NAV-006;NAV-034;NAV-001;FCC-038;FCC-032,NAV-006;ALX2-NAV-001;NAV-034;NAV-009;SKT1-NAV-001;FCC-032;FCC-020;FCC-030;FCC-024;FCC-038;FCC-007;ALX2-FCC-003;STR7-FCC-002;FCC-022,14,3,continue,semantic,,,"The retrieved requirements do **not** define a complete chain from lateral-guidance accuracy to autopilot roll and throttle targets across **enroute, terminal, and approach** phases.

What the context does contain:

- In **HYBRID** mode, NAV must publish position/velocity/attitude consistent with RNP containment targets of `##FMS.FMS-012`, and maintain **NSE ≤ 0.1 nmi horizontal (95 %) enroute** [NAV-006].
- That enroute NSE target is verified by flight test: **20 missions per platform**, with **horizontal NSE ≤ 0.1 nmi at the 95 % level** over each mission [NAV-034].
- A platform-specific refinement exists for Skyrunner-T1: **HYBRID mode position accuracy ≤ 25 m CEP** [SKT1-NAV-001].

What constrains FCC command outputs:

- The FCC commands are bounded by the `Flight_Control_Limits` table [FCC-038]:
  - `roll_cmd`: **-60 to +60 deg**, **Max Rate 120 deg/s** [FCC-038]
  - `throttle_cmd`: **0 to 100 %**, **Max Rate 20 %/s** [FCC-038]
- Commands outside those limits must be **clamped to the nearest limit** and **EXCEEDANCE** set [FCC-038].
- FCC only accepts guidance targets from:
  - **Autopilot** in **CRUISE, CLIMB, DESCENT** [FCC-032]
  - **FMS approach procedure** in **APPROACH** [FCC-032]

So, the defensible relationship is:

- During **enroute** operation, NAV lateral accuracy performance constrains the quality of navigation state available to downstream guidance/autopilot functions [NAV-006], but the retrieved requirements do **not** specify a direct mapping from that accuracy to required **roll** or **throttle** target values.
- Whatever targets are generated upstream, the FCC can only realize them within the actuator-command envelopes of **roll_cmd ±60 deg at 120 deg/s** and **throttle_cmd 0–100 % at 20 %/s** [FCC-038].
- In **approach**, guidance source selection changes: the FCC must take guidance targets exclusively from the **FMS approach procedure**, not the autopilot [FCC-032]. However, no retrieved requirement gives an **approach lateral-accuracy threshold** or links it to FCC roll/throttle limits.
- No retrieved requirement defines **terminal-phase** lateral-guidance accuracy at all.

In short: **enroute lateral navigation accuracy is specified** [NAV-006], and **FCC roll/throttle command envelopes are specified** [FCC-038], but the context does **not** contain requirements showing how enroute/terminal/approach lateral-accuracy requirements quantitatively constrain autopilot roll or throttle targets through those FCC limits.",False,"The answer adds unsupported claims about a terminal phase and about no direct mapping to autopilot target values, which are not stated in the retrieved contexts.",True,"All claims regarding lateral accuracy, FCC command limits, and missing requirements are directly supported by the retrieved contexts.",,skipped,False
"Which flight-control built-in test requirement traces through security constraints to the autopilot mode behavior, and what security requirement is referenced at both ends of that chain?",3+-hop,vanilla,azure,none,2,6651,514,235,749,SEC-014;SEC-012;AUTO-006;SEC-035;FCC-007,SEC-014;SEC-012;AUTO-006;SEC-035;FCC-007,5,0,,,,,"From the provided context, the chain that reaches **autopilot mode behavior** is:

- **[AUTO-006]**: “The Autopilot shall require explicit operator engagement for any mode other than DAA RESOLUTION and RTB … Engagement requests shall be authenticated per **##SEC.SEC-010**.” [AUTO-006]

However, I do **not** see any **flight-control built-in test** requirement in the retrieved set, so I cannot identify the specific BIT requirement that traces into this chain from the flight-control side.

The **security requirement referenced at the autopilot end** is clearly **SEC-010** via [AUTO-006].  
No retrieved requirement shows the corresponding BIT-end trace, so I cannot confirm that it is the same requirement “at both ends” from the context provided.

Relevant cited requirements:
- Autopilot mode behavior references **SEC-010**: [AUTO-006]
- Other security constraints in context are [SEC-012], [SEC-014], and [SEC-035], but none are a flight-control BIT requirement nor do they show the requested trace to autopilot mode behavior.",False,"The answer adds that no flight-control built-in test requirement is present and characterizes other items as security constraints, which is not fully supported by the provided contexts.",True,The answer only claims what is explicitly supported by the retrieved contexts and clearly states the absence of evidence for other connections.,,skipped,False
