query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens,gpt41_faithful,gpt41_reason,gpt41_tokens
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic,0,1-hop,2026-08-20,True,All statements and requirement references in the answer are directly supported by the retrieved contexts.,1388,True,"All claims about verification by fault injection, voting confirmation, architecture specifics, and FCC debounce are supported in the retrieved contexts.",873
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the verification approach, fault injection method, and architectural context are fully supported by LDG-031, LDG-015, and FCC-048.",1880,True,"All claims about verification, dual-sensor architecture, voting logic, interface, and expected output are supported by LDG-031, LDG-015, and FCC-048.",1356
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic-graph,0,1-hop,2026-08-20,True,"All statements and requirement citations in the answer are fully supported by the retrieved contexts LDG-031, LDG-015, and FCC-048.",1410,True,"All claims about verification by single-sensor fault injection, 2-out-of-3 voting confirmation, and correct WoW output are directly supported by LDG-031 and FCC-048 in the contexts.",981
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,adaptive,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved contexts only cover ICE subsystem requirements and do not contain information about the weight-on-wheels architecture.,945,True,"Every claim in the answer is directly supported by the provided contexts, which do not mention landing weight-on-wheels requirements.",633
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,vanilla,0,1-hop,2026-08-20,True,All statements in the answer are directly supported by SEC-017 and SEC-005.,1410,True,"All claims are supported by SEC-017 and SEC-005, which specify hardware-protection (HSM or secure-element) and non-extractability by software for AES-256 key-wrapping.",983
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic,0,1-hop,2026-08-20,True,The answer correctly states that no context was provided and makes no unsupported factual claims.,400,True,The answer correctly acknowledges the lack of supporting retrieved contexts and refrains from making unsupported claims.,313
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,2026-08-20,True,All claims regarding the key-storage table entry and the hardware-protection and software-extraction constraints are fully supported by SEC-017 and SEC-005.,2433,True,Both the hardware-protection mechanism (HSM or secure element) and the software-extraction constraint are explicitly supported by SEC-005 and the Crypto_Selections table in SEC-017.,1844
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic-graph,0,1-hop,2026-08-20,True,The answer accurately states that no context was retrieved and makes no unsupported factual claims.,445,True,The answer correctly states that it cannot provide information since no requirements or contexts were retrieved.,324
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,adaptive,0,1-hop,2026-08-20,True,All factual claims and citations are directly supported by SEC-017 and SEC-005.,1457,True,"All claims are supported: AES-256 wrap in HSM, hardware protection, non-extractable by software, and authenticated role access control are explicitly stated in SEC-005 and SEC-017.",998
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,vanilla,0,1-hop,2026-08-20,True,"All claims regarding INS published state data, timing parameters, and SAR motion compensation requirements are fully supported by the provided contexts.",1581,True,"All factual claims about published INS state, timing, and SAR requirements are directly supported by the retrieved contexts.",1030
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic,0,1-hop,2026-08-20,True,"All claims regarding published bundle contents, frequencies, latency, input rates, and the lack of explicit SAR-specific requirements are fully supported by the provided context.",1516,True,"All claims in the answer are directly supported by the retrieved contexts, with no unsupported additions.",998
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,graphrag,0,1-hop,2026-08-20,True,All factual statements and requirement references in the answer are directly supported by the retrieved contexts.,2841,True,All factual claims in the answer are directly supported by the retrieved contexts.,2091
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic-graph,0,1-hop,2026-08-20,True,"The answer accurately states that SAR motion compensation and absolute geolocation accuracy are not mentioned in the contexts, and correctly cites the available navigation state bundle and timing requ",2953,True,All claims in the answer are directly supported by the retrieved contexts without adding unsupported details.,2075
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,adaptive,0,1-hop,2026-08-20,True,"All statements regarding the published INS_STATE_MSG contents, timing, and SAR motion compensation requirements are fully supported by the retrieved contexts.",1601,True,"All claims are directly supported by the retrieved requirements, with clear citations and accurate summary of published state, timing, use, and accuracy requirements.",1063
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,vanilla,0,1-hop,2026-08-20,True,All factual statements regarding the runaway-actuator fault response and satisfied requirement EMS-006 are directly supported by FCC-023.,1309,True,All claims about FCC-023's actions and its satisfaction of EMS-006 are directly supported by the retrieved context.,845
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic,0,1-hop,2026-08-20,True,"All facts, values, and requirement mappings in the answer are directly supported by the retrieved contexts.",2363,True,"All answer claims are directly supported by the retrieved contexts, including criteria, actions, mode entry, and coordination requirements.",1443
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,graphrag,0,1-hop,2026-08-20,True,All statements and requirement references in the answer are directly supported by the retrieved contexts.,2325,True,"Every claim in the answer is directly supported by the retrieved contexts, including requirement citations and noted limitations.",1739
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic-graph,0,1-hop,2026-08-20,True,The answer accurately states that no runaway-actuator fault response requirement is present and correctly describes the relevant retrieved requirements.,1487,True,All claims in the answer are directly supported by the provided contexts without adding unsupported details.,949
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,adaptive,0,1-hop,2026-08-20,True,"All factual claims, quotes, requirement IDs, and cross-references in the answer are completely supported by the retrieved contexts.",2315,True,All claims are explicitly supported or directly linked by FCC-023 and EMS-006; the answer correctly notes the absence of FCC-010 details in the retrieved contexts.,1754
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",vanilla,0,1-hop,2026-08-20,True,"All claims regarding the verification method, timings, and referenced requirement IDs are fully supported by EMS-034.",1062,True,"All claims about the verification method, timing, and related requirement are directly supported by EMS-034 in the retrieved contexts.",691
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",agentic,0,1-hop,2026-08-20,True,All statements in the answer are directly supported by context EMS-034.,1032,True,"All claims—method, timing, and verification reference—are directly supported by EMS-034 in the retrieved contexts.",645
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",graphrag,0,1-hop,2026-08-20,True,"All claims about EMS-034 verification parameters, timings, and EMS-006 references are directly supported by the context.",1747,True,All claims in the answer are directly supported by EMS-034 and EMS-006 in the retrieved contexts.,1305
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",agentic-graph,0,1-hop,2026-08-20,True,"All claims regarding the HIL rig fault-injection test, timing thresholds, verified requirement IDs, and related annunciation requirements are fully supported by the provided contexts.",1846,True,"All factual claims about emergency-mode entry verification, timing, and annunciation are directly supported by the returned contexts, especially EMS-034, EMS-012, and EMS-005.",1236
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",adaptive,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by context EMS-034.,1223,True,"All claims about emergency-mode entry verification, transition timing, and operator annunciation are explicitly supported by EMS-034 in the retrieved contexts.",810
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by context EMS-020 and accurately note the absence of the underlying requirement details.,1012,True,"All factual claims in the answer are directly supported by EMS-020, with no unsupported or extraneous information added.",718
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,agentic,0,1-hop,2026-08-20,True,All statements and references in the answer are directly supported by EMS-020 and EMS-033.,1373,True,"The answer correctly states that structural limit-load envelope exceedance beyond STR.STR-008 for over 500 ms triggers the EMS to reduce manoeuvre rate and assert the STRUCTURAL_EXCEEDANCE flag, as su",942
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,graphrag,0,1-hop,2026-08-20,True,"All claims regarding the structural limit exceedance conditions, envelope values, and EMS actions are fully supported by the retrieved contexts.",2252,True,"All claims about the trigger, structural envelope, EMS actions, and priority classification are explicitly supported by the retrieved contexts.",1662
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,agentic-graph,0,1-hop,2026-08-20,True,All statements and requirement citations are fully supported by EMS-020 and EMS-033.,1322,True,"Every claim about the trigger, rate reduction, operator notification, priority classification, and absence of numeric value is supported in the retrieved contexts.",882
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,adaptive,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by requirement EMS-020 in the retrieved contexts.,960,True,All claims in the answer are directly supported or correctly inferred from EMS-020.,670
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,vanilla,0,1-hop,2026-08-20,True,"All claims regarding GCS operator-action logging, retention periods, requirement satisfaction traceability, FDR scope, and FDR autopilot event recording are fully supported by the provided context.",1639,False,"The answer adds details not present in the contexts, such as the specifics of synchronisation and the extent to which the FDR synchronises or relies on the GCS record, which are not explicitly stated ",943
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic,0,1-hop,2026-08-20,True,"The answer accurately states that the retrieved contexts lack requirements on flight data recording, operator-action logging, and GCS audit trail/retention, while correctly summarizing the only GCS re",1521,True,"All claims are faithful: the answer states that the relevant requirements are not present in the retrieved contexts, matching the evidence.",1122
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,graphrag,0,1-hop,2026-08-20,True,All statements and requirement citations in the answer are fully supported by the retrieved contexts.,2458,True,"Every claim in the answer is either directly quoted or closely inferred from the retrieved contexts, with proper association to cited requirements.",1609
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic-graph,0,1-hop,2026-08-20,True,All factual statements and requirement references in the answer are fully supported by the provided contexts.,1372,True,"All claims regarding the GCS operator-action logging, retention, FDR requirements referencing GCS-010, and the synchronization/exclusion points are directly supported by the retrieved contexts.",1045
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,adaptive,0,1-hop,2026-08-20,True,"All claims regarding GCS and FDR operator-action logging, retention provisions, and cross-references are accurately grounded in the retrieved contexts.",2337,True,All claims and explicit requirement-trace relationships stated in the answer are supported in the retrieved contexts.,1577
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,vanilla,0,1-hop,2026-08-20,True,All statements and requirement details in the answer are directly supported by the retrieved contexts HMI-020 and ALX2-FCC-003.,1296,True,All statements about HMI-020 and ALX2-FCC-003 are directly supported by the retrieved contexts.,755
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,agentic,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by context requirement HMI-020.,1087,True,"All claims are directly supported by context [HMI-020], including requirement ID, notification details, and associated behavior.",704
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,graphrag,0,1-hop,2026-08-20,True,All statements and requirement details in the answer are directly supported by the retrieved contexts HMI-020 and ALX2-FCC-003.,2066,True,[HMI-020] and [ALX2-FCC-003] support every claim about the HMI requirements and their relationship to single-engine-out and operator notification.,1428
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,agentic-graph,0,1-hop,2026-08-20,True,All claims in the answer are directly supported by the retrieved requirement [HMI-020].,1018,True,"All claims about HMI-020 implementing operator notification for engine-out and displaying ENGINE_OUT annunciation, failed engine identifier, and rudder-trim position are present in the retrieved conte",711
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,adaptive,0,1-hop,2026-08-20,True,All claims are fully supported by the retrieved contexts HMI-020 and ALX2-FCC-003.,1922,True,"All claims are directly supported by the retrieved contexts, specifically HMI-020 and ALX2-FCC-003.",1376
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",vanilla,0,1-hop,2026-08-20,True,All factual statements in the answer accurately summarize the provided requirements and correctly state that no FCC lane architecture is specified in the text.,1527,True,"All claims in the answer accurately restate or directly summarize content present in the retrieved contexts, without adding or contradicting any details.",846
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic,0,1-hop,2026-08-20,True,The answer accurately acknowledges that no requirements were provided and refrains from making unsupported claims.,426,True,The answer correctly states that no information can be determined without requirements contexts.,324
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",graphrag,0,1-hop,2026-08-20,True,The answer accurately states that FCC lane architecture is not mentioned in the contexts and faithfully cites all relevant requirements.,2503,True,The answer only restates what is present in the retrieved contexts and correctly notes the absence of FCC lane architecture details.,1627
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic-graph,0,1-hop,2026-08-20,True,The answer accurately reflects the lack of retrieved contexts and makes no unsupported factual claims.,504,True,The answer makes no unsupported factual claims and correctly states that the retrieved context is empty.,327
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",adaptive,0,1-hop,2026-08-20,True,"The answer accurately reflects the provided contexts, correctly noting that no FCC lane architecture is specified in the requirements.",1340,True,"All claims in the answer are directly supported by the retrieved contexts, and no additional information is introduced.",829
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",vanilla,0,1-hop,2026-08-20,True,"All claims accurately reflect the retrieved requirements regarding ground station command routing, RBAC authorization, and FCC command constraints.",1763,True,All claims about routing and validation are directly grounded in the retrieved contexts with appropriate caution where context is absent.,1182
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",agentic,0,1-hop,2026-08-20,True,All statements and requirement details in the answer are strictly supported by the retrieved contexts.,2364,True,All claims in the answer are either extracted directly from the provided requirements or noted as not present in contexts.,1654
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",graphrag,0,1-hop,2026-08-20,True,"All claims regarding command routing via CDL, RBAC dispatch authority, FCC command validation, and flight control limits are fully supported by the retrieved contexts.",3620,True,"All claims about routing, dispatch authority, command validation, and limits are supported directly by the retrieved contexts.",2288
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",agentic-graph,0,1-hop,2026-08-20,True,All statements and table values cited in the answer are directly supported by the retrieved contexts.,2503,True,"All claims are supported by retrieved requirements, including GCS command path, FCC validation procedures, and limits enforcement.",1726
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",adaptive,0,1-hop,2026-08-20,True,"All claims regarding command path requirements, maintenance port specifications, validation checks, and control limit enforcement are fully supported by the retrieved contexts.",2886,True,"All claims about routing, port details, activation conditions, authentication, and validation steps are explicitly supported by the provided requirements.",1853
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,vanilla,0,1-hop,2026-08-20,True,"All facts, requirement IDs, and platform-specific bandwidth details in the answer are accurately supported by the retrieved contexts.",1595,True,"All statements about payload-bus implementations, bandwidths, STANAG 4586 control/status, RTP/RTSP video, and platform specifics are supported by the contexts.",894
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,agentic,0,1-hop,2026-08-20,True,"All statements regarding the payload-bus implementations, platform bandwidths, interface protocols, and STANAG 4586 control semantics are directly supported by the context.",2633,True,"All claims about bus types, bandwidths, STANAG 4586 interface, and control semantics per platform are directly supported by the retrieved contexts.",1879
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,graphrag,0,1-hop,2026-08-20,True,All statements and requirement citations are directly supported by the retrieved contexts.,2371,True,"All claims about payload bus implementation, platform-specific bandwidths, and STANAG 4586/RTP/RTSP interfaces are supported directly by the retrieved contexts.",1599
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,agentic-graph,0,1-hop,2026-08-20,True,"All claims regarding the payload-bus implementations, platform bandwidths, protocols, and STANAG 4586 control semantics are fully supported by the provided contexts.",1465,True,"All claims about interface, protocols, payload-bus implementations, and platform bandwidths are explicitly supported by the retrieved contexts.",959
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,adaptive,0,1-hop,2026-08-20,True,All statements and requirement citations are fully supported by the retrieved contexts.,2143,True,"All claims about payload-bus implementation, interface protocols, platform-specific bandwidths, and STANAG 4586 control levels are directly supported by the retrieved contexts.",1463
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",vanilla,0,1-hop,2026-08-20,True,"All listed operational modes, mode transitions, preconditions, timing limits, and environmental constraints are fully supported by the provided INS requirements.",1734,True,"All operational modes, transitions, preconditions, and timings are verbatim or lightly inferred from the retrieved contexts.",1248
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",agentic,0,1-hop,2026-08-20,True,"All operational modes, transition preconditions, timing constraints, and observations are directly supported by the retrieved requirements.",1979,True,"All mode definitions, transition conditions, and timing are supported directly by NAV-005, NAV-007, NAV-008, and NAV-035; summary of missing transition details and wording inconsistency are accurate.",1239
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",graphrag,0,1-hop,2026-08-20,True,"All listed modes, transition preconditions, timing constraints, and related INS aiding details are fully supported by the retrieved contexts.",3039,True,"All modes, preconditions, timing, and supporting detail are directly supported by the retrieved contexts.",2076
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",agentic-graph,0,1-hop,2026-08-20,True,"All factual claims about operational modes, preconditions, transition timing, and operational output behavior are directly supported by the retrieved requirements.",1849,True,"The answer only includes modes and transitions explicitly defined in the retrieved contexts, without introducing unsupported details.",991
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",adaptive,0,1-hop,2026-08-20,True,"All listed modes, transition triggers, timing constraints, and related functional requirements are directly supported by the retrieved contexts.",1950,True,All operational modes and transition preconditions/timing are directly supported by the cited requirements; other claims are explicitly attributed to gaps in the contexts.,1154
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",vanilla,0,1-hop,2026-08-20,True,All statements and requirement citations are accurately supported by the retrieved contexts.,1491,True,"All claims about navigation fusion responses, INS criteria for spoof detection, and mode transitions are supported directly by the retrieved context requirements.",988
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",agentic,0,1-hop,2026-08-20,True,"All claims are fully supported by the provided contexts, and the answer accurately notes that INS spoof-detection criteria from INS-028 are absent from the context.",2381,True,"All claims in the answer are grounded in NAV-028, NAV-016, and NAV-017; the answer correctly identifies where information is not available in the retrieved contexts.",1753
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",graphrag,0,1-hop,2026-08-20,True,All factual statements and requirement citations in the answer are directly supported by the retrieved contexts.,3084,True,"All claims are directly supported by the retrieved contexts with appropriate references to NAV-028, INS-028, INS-029, NAV-011, NAV-030, and INS-019.",1953
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",agentic-graph,0,1-hop,2026-08-20,True,"All claims are directly supported by the retrieved contexts, and missing requirements are correctly acknowledged.",2649,True,All factual claims about spoof handling and deweighting are explicitly supported by NAV-028 and the summary of GPS spoof flagging by GPS-031 and GPS-021; the answer correctly identifies that the INS s,1879
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",adaptive,0,1-hop,2026-08-20,True,"All factual statements in the answer regarding navigation fusion responses, INS spoof-detection criteria, and interfaces are fully supported by the retrieved requirements.",2997,True,"All claims are directly supported by the retrieved contexts, specifically regarding NAV Fusion and INS response to spoof indications and the spoof-detection criteria applied by the INS.",1932
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,vanilla,0,1-hop,2026-08-20,True,All claims in the answer accurately reflect the retrieved requirements and correctly identify that the specific limits from FCC-038 are missing from the context.,1291,True,"All claims are supported by the retrieved contexts, which note that the relevant limits come from FCC-038 but are not included in the provided materials.",820
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,agentic,0,1-hop,2026-08-20,True,"All limits, rates, requirement IDs, and functional interactions cited in the answer are directly supported by the retrieved contexts.",1830,True,"All claims about saturation limits, rates, and requirement interactions are directly supported by FCC-028, FCC-026, and FCC-038.",1136
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,graphrag,0,1-hop,2026-08-20,True,"All limits, rates, and anti-windup integrator behaviors listed in the answer are directly supported by the retrieved requirements FCC-026, FCC-028, and FCC-038.",2597,True,"All claims about saturation limits, rates, and anti-windup interactions are directly supported by FCC-038, FCC-028, and FCC-026.",1777
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,agentic-graph,0,1-hop,2026-08-20,True,All statements and limits in the answer are directly supported by the retrieved contexts.,1901,True,"All claims about actuator command saturation limits, max rates, and anti-windup requirements are directly supported by FCC-028, FCC-038, and FCC-026 in the retrieved contexts.",1177
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,adaptive,0,1-hop,2026-08-20,True,"All facts, citations, and table values in the answer are fully supported by the retrieved contexts.",1907,True,"All claims about actuator-command saturation limits, rates, integrator anti-windup logic, and trim-integrator freeze are directly supported and referenced in the retrieved contexts FCC-028, FCC-026, a",1120
