query,pipeline,repeat,query_type,judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",vanilla,0,1-hop,2026-08-16,True,"Every factual claim about routing, RBAC, encryption, FCC validation, and autothrottle coordination is directly supported by the retrieved requirements.",1264
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",agentic,0,1-hop,2026-08-16,True,All claims in the answer are directly supported by or clearly inferable from the retrieved contexts.,2120
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",graphrag,0,1-hop,2026-08-16,True,All claims about routing and command validation are directly supported by the retrieved contexts.,2173
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",agentic-graph,0,1-hop,2026-08-16,True,"All factual claims in the answer are directly supported by the provided requirements, with clear citations and no unsupported details.",2133
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",adaptive,0,1-hop,2026-08-16,True,"All claims are directly supported by FCC-040 and FCC-007, with clear limits on what is and is not specified.",2229
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,vanilla,0,1-hop,2026-08-16,True,Every claim in the answer is strictly supported by the retrieved contexts and correctly notes what information is missing.,1079
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,agentic,0,1-hop,2026-08-16,True,Every claim is directly supported by the retrieved requirements or correctly identifies absence of explicit information.,1197
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,graphrag,0,1-hop,2026-08-16,True,"All claims about interface type, protocols, PMC definition, and platform-specific payload bus bandwidths are directly supported by the retrieved contexts.",1704
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,agentic-graph,0,1-hop,2026-08-16,True,The answer only makes claims directly supported by the retrieved contexts and explicitly states when information is not available.,1019
Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,adaptive,0,1-hop,2026-08-16,True,"All statements are supported by the retrieved contexts, admit lack of payload-bus implementation detail for EOIR, and correctly source all available information.",1233
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",vanilla,0,1-hop,2026-08-16,True,"All operational modes, transitions, preconditions, and timings are accurately summarized from the retrieved contexts without introducing unsupported claims.",1279
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",agentic,0,1-hop,2026-08-16,True,"All claims about defined modes, transitions, preconditions, and timing are directly supported by the retrieved contexts.",1232
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",graphrag,0,1-hop,2026-08-16,True,"All operational modes, transitions, preconditions, and timing are directly and accurately supported by the retrieved contexts.",2577
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",agentic-graph,0,1-hop,2026-08-16,True,"All claims in the answer are supported by the retrieved requirements, and explanations about absent information are accurate.",1335
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",adaptive,0,1-hop,2026-08-16,True,All claims in the answer are directly supported by the retrieved contexts or simple inferences from requirement text.,1324
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",vanilla,0,1-hop,2026-08-16,True,All factual claims are directly supported by the retrieved requirement contexts.,912
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",agentic,0,1-hop,2026-08-16,True,"All claims are directly grounded in the retrieved contexts, and the answer clearly states when required information (INS spoof-detection criteria) is missing.",1460
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",graphrag,0,1-hop,2026-08-16,True,"All factual claims are supported by the retrieved contexts including logic of spoof response, INS spoof detection criteria, rejection process, and relevant time thresholds.",1751
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",agentic-graph,0,1-hop,2026-08-16,True,"All statements are adequately grounded in NAV-028, and no unsupported details are added.",1041
"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",adaptive,0,1-hop,2026-08-16,True,"All statements in the answer are explicitly supported by NAV-028, INS-028, INS-029, and INS-013, with no unsupported claims.",1683
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,vanilla,0,1-hop,2026-08-16,True,"All factual claims are supported by the retrieved contexts, with explicit attribution to statements and lack of unsupported detail.",977
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,agentic,0,1-hop,2026-08-16,True,"All factual claims are directly supported by the retrieved contexts, with ranges and rates verbatim from FCC-038, requirements logic from FCC-028 and FCC-026, and Stratos-7 limits from STR7-FCC-002 wi",1253
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,graphrag,0,1-hop,2026-08-16,True,"All claims are directly supported by the requirement chunks FCC-028, FCC-038, and FCC-026.",1864
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,agentic-graph,0,1-hop,2026-08-16,True,"All actuator-command saturation limits and rates listed are directly supported by the FCC-038 table, and the interaction with anti-windup/trim logic is accurately described per FCC-026 and FCC-028.",1201
Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,adaptive,0,1-hop,2026-08-16,True,"All factual claims about anti-windup requirements, named requirements, command limits/rates, and the distinction for trim command are directly supported by the retrieved contexts.",1203
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",vanilla,0,1-hop,2026-08-16,True,"All claims about authentication mechanisms (HMAC-SHA-256 per SEC-010, CDL-013) and their application to operator engagement requests are directly supported by the retrieved contexts.",799
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic,0,1-hop,2026-08-16,True,"All claims about HMAC-SHA-256 authentication for operator engagement requests on CDL links, as well as the exceptions for DAA RESOLUTION and RTB, are directly supported by the retrieved contexts.",980
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",graphrag,0,1-hop,2026-08-16,True,"All listed mechanisms (HMAC-SHA-256 authentication per SEC-010, AES-256-GCM encryption, command frame authentication/enforcement from CDL-013) are explicitly supported by the retrieved contexts.",1821
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",agentic-graph,0,1-hop,2026-08-16,True,"The answer correctly cites that HMAC-SHA-256 is required for authentication on the CDL links, as specified in SEC-010 and referenced by AUTO-006 in the retrieved contexts.",906
"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",adaptive,0,1-hop,2026-08-16,True,"All claims accurately reflect that the retrieved contexts do not mention autonomous mode engagement exceptions, authentication mechanisms, or operator engagement requests on control data links.",903
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,vanilla,0,1-hop,2026-08-16,True,Every claim in the answer is explicitly supported by the retrieved contexts.,880
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,agentic,0,1-hop,2026-08-16,True,"All claims in the answer are directly supported by the retrieved contexts, including SEC-008 as the system-level requirement realized by FCC command validation and rejection.",1226
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,graphrag,0,1-hop,2026-08-16,True,"[SEC-008] is explicitly mentioned as the requirement satisfied by the FCC’s command-validation and rejection behavior, as stated in the retrieved contexts.",1806
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,agentic-graph,0,1-hop,2026-08-16,True,All claims in the answer are directly supported and cited in the retrieved contexts.,1337
Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,adaptive,0,1-hop,2026-08-16,True,Both FCC-040 and FCC-031 show that command validation/rejection satisfies ##SEC.SEC-008.,2020
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,vanilla,0,1-hop,2026-08-16,True,"All claims about requirement IDs, references, joystick deadband, and rate limits are directly supported by the retrieved contexts.",881
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,agentic,0,1-hop,2026-08-16,True,"All claims (requirement IDs, references, deadband, roll/pitch limits) are directly supported in the retrieved contexts.",1844
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,graphrag,0,1-hop,2026-08-16,True,"All claims about HMI-025 referencing SKT1-FCC-003, joystick, deadband and rate limiting are explicitly supported by the retrieved contexts.",1773
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,agentic-graph,0,1-hop,2026-08-16,True,"All claims are supported: SKT1-FCC-003 references HMI-025 for joystick input, specifies deadband and rate limits, and no unsupported details about HMI-025 are added.",1934
Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,adaptive,0,1-hop,2026-08-16,True,All claims about [HMI-025] referencing [SKT1-FCC-003] for joystick deadband and rate-limiting are directly supported in the retrieved contexts.,1781
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,vanilla,0,1-hop,2026-08-16,False,APM-009 is verified by the test but not directly referenced in the contexts; only APM-037 appears as a requirement reference in the given contexts.,660
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,agentic,0,1-hop,2026-08-16,True,The answer correctly notes the absence of any endurance-capacity or laboratory discharge verification details for the 30-minute RTB load in the retrieved contexts.,962
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,0,1-hop,2026-08-16,True,"The answer correctly states that APM-037 verifies APM-009, and the factual content is directly grounded in the provided contexts.",1820
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,agentic-graph,0,1-hop,2026-08-16,True,All claims correctly reflect that the retrieved contexts do not mention the laboratory discharge verification or the endurance-capacity requirement.,958
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,0,1-hop,2026-08-16,True,"Every factual claim in the answer is explicitly supported by the retrieved contexts, including the relationship between APM-037 and APM-009 and the requirement contents.",1817
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,vanilla,0,1-hop,2026-08-16,True,All claims about the source interface (##NAV.NAV-029) and update rate (5 Hz minimum) are directly supported by GCS-012 in the retrieved contexts.,791
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,agentic,0,1-hop,2026-08-16,True,"All claims are grounded in the retrieved contexts, including the NAV_STATE_MSG interface, update rate of 50 Hz, transport latency, bus specifics per platform, ADS as an upstream source, and fusion det",1679
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,graphrag,0,1-hop,2026-08-16,True,"All claims are directly supported by the retrieved contexts, specifically by GCS-012 and HMI-005.",1905
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,agentic-graph,0,1-hop,2026-08-16,True,"All claims about interface, update rate, message content, and platform-specific transport are directly supported by the provided contexts.",1716
What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,adaptive,0,1-hop,2026-08-16,True,"All claims about interfaces, update rates, message names, bus types, consumers, and the absence of an explicit GCS display requirement are directly supported by the retrieved contexts.",1412
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",vanilla,0,1-hop,2026-08-16,True,"All claims are supported, and the answer explicitly notes the absence of required field details from the retrieved contexts.",731
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",agentic,0,1-hop,2026-08-16,True,"Every claim about the command-frame definition and required fields is directly supported by requirements [GCS-034], [CDL-033], [ICE-019], and [FCC-040] in the retrieved contexts.",1223
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",graphrag,0,1-hop,2026-08-16,True,"All claims about the command-frame definition, required fields, authentication, and CDL handling are directly supported by the retrieved contexts.",1948
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",agentic-graph,0,1-hop,2026-08-16,True,All claims about the command-frame definition and required fields are directly supported and cited from the retrieved contexts.,1152
"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",adaptive,0,1-hop,2026-08-16,True,The answer accurately summarizes only what is present in the retrieved contexts and clearly states what is not supported.,1240
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,vanilla,0,1-hop,2026-08-16,True,"All claims in the answer are directly supported by the contexts, including interface details, aggregation path, and omissions regarding specific telemetry rate or mapping.",1177
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,agentic,0,1-hop,2026-08-16,True,The answer makes only claims that are directly supported by the retrieved contexts and does not introduce unsupported details.,1875
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,graphrag,0,1-hop,2026-08-16,True,"All claims about interfaces, aggregation, framing, bandwidth, and priorities are explicitly supported by the retrieved contexts and the answer notes missing details.",2091
How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,agentic-graph,0,1-hop,2026-08-16,True,The answer only summarizes what is and isn't present in the retrieved contexts and makes no unsupported claims.,2193
