query,query_type,pipeline,embedder,reranker,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,agentic,local,none,20522,5720,419,6139,ADS-005,ADS-005;ADS-002;ADS-023;ADS-014;ADS-013;ADS-025;ADS-008;ADS-021;ADS-009;ADS-012;ADS-018;ADS-022,12,3,continue,semantic
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,vanilla,azure,none,2497,554,69,623,ADS-005;ADS-002;STR-006;INS-016;STR-022,ADS-005;ADS-002;STR-006;INS-016;STR-022,5,0,,
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,vanilla,azure,azure,34903,552,64,616,ADS-005;ADS-002;STR-006;STR-022;FCC-016,ADS-005;ADS-002;STR-006;STR-022;FCC-016,5,0,,
"What sampling rates are required for pitot, static, AOA, and sideslip sensors?",semantic_specific,agentic,azure,none,15278,3662,364,4026,ADS-005,ADS-005;ADS-002;ADS-014;SKT1-ADS-001;ADS-008;ADS-026;ADS-013;ADS-012,8,3,continue,semantic
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,vanilla,local,none,7426,523,226,749,ADS-003;ADS-001;CDL-011;ADS-008;NBC3-ADS-001,ADS-003;ADS-001;CDL-011;ADS-008;NBC3-ADS-001,5,0,,
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,vanilla,local,azure,36304,486,140,626,CDL-011;ADS-018;ADS-008;NBC3-ADS-001;ADS-005,CDL-011;ADS-018;ADS-008;NBC3-ADS-001;ADS-005,5,0,,
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,agentic,local,none,31818,11191,702,11893,ADS-005;ADS-020;NAV-030,ADS-001;ADS-003;ADS-005;ADS-008;ADS-022;FCC-050;FCC-037;FCC-039;FCC-051;FCC-049;NAV-030;NAV-010;NAV-001;NAV-029;NAV-002;ADS-020;ADS-018;ADS-021;ADS-C5;ADS-023;NBC3-ADS-001;ADS-016,22,3,continue,semantic
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,vanilla,azure,none,3020,523,108,631,CDL-011;INS-053;ADS-005;GCS-037;AUTO-011,CDL-011;INS-053;ADS-005;GCS-037;AUTO-011,5,0,,
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,vanilla,azure,azure,33855,520,116,636,CDL-011;ADS-005;ENG-041;GCS-037;CDL-038,CDL-011;ADS-005;ENG-041;GCS-037;CDL-038,5,0,,
What is the end-to-end latency budget for the ADS data pipeline?,semantic_specific,agentic,azure,none,17118,7251,511,7762,ADS-005;ADS-020,ADS-005;ADS-017;ADS-003;ADS-001;ADS-026;FCC-015;FCC-013;FCC-025;FCC-046;FCC-014;NAV-010;NAV-030;NAV-027;NAV-026;ALX2-NAV-001;ADS-008;ADS-020;ADS-022;ADS-021;ADS-014;ADS-010;SKT1-ADS-001,22,3,continue,semantic
What is the dual-redundancy strategy for air data on each platform?,comparative,vanilla,local,none,11377,557,539,1096,ADS-017;ADS-003;SEC-001;SKT1-FCC-001;LDG-015,ADS-017;ADS-003;SEC-001;SKT1-FCC-001;LDG-015,5,0,,
What is the dual-redundancy strategy for air data on each platform?,comparative,vanilla,local,azure,40754,603,362,965,ADS-017;ADS-003;LDG-015;STR-021;ADS-001,ADS-017;ADS-003;LDG-015;STR-021;ADS-001,5,0,,
What is the dual-redundancy strategy for air data on each platform?,comparative,agentic,local,none,30674,6301,792,7093,ADS-003;ADS-017;ADS-021;FCC-001,ADS-017;ADS-003;ADS-001;ADS-016;ADS-021;SKT1-FCC-001;FCC-004;ALX2-FCC-001;STR7-FCC-001;FCC-039;ADS-023;ADS-002;ADS-010;ADS-020;ADS-005,15,3,continue,semantic
What is the dual-redundancy strategy for air data on each platform?,comparative,vanilla,azure,none,7014,541,406,947,ADS-017;STR7-INS-001;STR7-CDL-002;STR-021;ADS-003,ADS-017;STR7-INS-001;STR7-CDL-002;STR-021;ADS-003,5,0,,
What is the dual-redundancy strategy for air data on each platform?,comparative,vanilla,azure,azure,6481,557,307,864,ADS-017;ADS-003;LDG-015;STR7-INS-001;INS-003,ADS-017;ADS-003;LDG-015;STR7-INS-001;INS-003,5,0,,
What is the dual-redundancy strategy for air data on each platform?,comparative,agentic,azure,none,19996,6540,794,7334,ADS-003;ADS-001;ADS-017;ADS-021,ADS-017;ADS-003;ADS-001;ADS-016;ADS-021;FCC-004;ALX2-FCC-001;ALX2-FCC-003;FCC-048;ALX2-FCC-002;NAV-013;NAV-016;NAV-017;ALX2-NAV-001;NAV-009;ADS-020;ADS-005;ADS-026,18,3,continue,semantic
How is the heater for the pitot and static ports monitored?,cross_module,vanilla,local,none,7554,627,220,847,ICE-008;ADS-019;ADS-027;STR-022;ICE-020,ICE-008;ADS-019;ADS-027;STR-022;ICE-020,5,0,,
How is the heater for the pitot and static ports monitored?,cross_module,vanilla,local,azure,37005,520,131,651,ICE-008;ADS-019;ADS-027;ICE-002;ADS-014,ICE-008;ADS-019;ADS-027;ICE-002;ADS-014,5,0,,
How is the heater for the pitot and static ports monitored?,cross_module,agentic,local,none,22937,5668,540,6208,ADS-019;ADS-023;ICE-008;ADS-027,ADS-019;ADS-027;ADS-014;ADS-023;ADS-026;ICE-008;ICE-020;ICE-002;ICE-009;ICE-015;ADS-005;ADS-002;ADS-011,13,3,continue,semantic
How is the heater for the pitot and static ports monitored?,cross_module,vanilla,azure,none,4710,507,210,717,STR-022;ICE-008;ADS-019;ADS-014;ADS-027,STR-022;ICE-008;ADS-019;ADS-014;ADS-027,5,0,,
How is the heater for the pitot and static ports monitored?,cross_module,vanilla,azure,azure,35290,512,208,720,ICE-008;ADS-019;ADS-027;HMI-090;ADS-014,ICE-008;ADS-019;ADS-027;HMI-090;ADS-014,5,0,,
How is the heater for the pitot and static ports monitored?,cross_module,agentic,azure,none,18105,5887,524,6411,ADS-019;ICE-008;ADS-027;ICE-020;ICE-002,ADS-019;ADS-027;ADS-014;ADS-005;ADS-026;ICE-008;ICE-009;ICE-020;ICE-002;ICE-015;ADS-002;ADS-011;ADS-018;ADS-C5;ADS-007,15,3,continue,semantic
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,vanilla,local,none,8324,567,366,933,EPS-003;EMS-003;GCS-004;DLNK-003;PWR-003,EPS-003;EMS-003;GCS-004;DLNK-003;PWR-003,5,0,,
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,vanilla,local,azure,36638,552,222,774,EPS-003;EMS-003;PWR-003;ADS-004;FUEL-003,EPS-003;EMS-003;PWR-003;ADS-004;FUEL-003,5,0,,
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,agentic,local,none,11995,2346,242,2588,ADS-004;DO-254,ADS-004;ADS-023;ADS-001;ADS-020;ADS-019;ADS-C5;ADS-021;ADS-009;ADS-013;ADS-005,10,0,sufficient,semantic
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,vanilla,azure,none,3233,520,162,682,EPS-003;BIT-003;EMS-003;STR-003;ADS-004,EPS-003;BIT-003;EMS-003;STR-003;ADS-004,5,0,,
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,vanilla,azure,azure,34706,539,227,766,EPS-003;EMS-003;NAV-004;PLD-004;ADS-004,EPS-003;EMS-003;NAV-004;PLD-004;ADS-004,5,0,,
"What governing standards (DO-, ARP, MIL-STD) does the ADS reference?",metadata_filter,agentic,azure,none,8448,2575,272,2847,ADS-004;DO-254,ADS-004;ADS-020;ADS-003;ADS-001;ADS-021;ADS-022;ADS-005;ADS-012;ADS-017;ADS-023,10,0,sufficient,semantic
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,vanilla,local,none,5872,602,56,658,ADS-003;ADS-017;SKT1-ADS-001;ADS-001;ADS-021,ADS-003;ADS-017;SKT1-ADS-001;ADS-001;ADS-021,5,0,,
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,vanilla,local,azure,36171,602,57,659,ADS-003;ADS-017;ADS-021;ADS-001;SKT1-ADS-001,ADS-003;ADS-017;ADS-021;ADS-001;SKT1-ADS-001,5,0,,
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,agentic,local,none,15095,3150,301,3451,ADS-003,ADS-003;ADS-017;SKT1-ADS-001;ADS-016;ADS-001,5,3,continue,semantic
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,vanilla,azure,none,2248,595,53,648,ADS-003;ADS-017;ADS-021;STR7-CDL-002;ADS-001,ADS-003;ADS-017;ADS-021;STR7-CDL-002;ADS-001,5,0,,
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,vanilla,azure,azure,-1,0,0,0,,,0,0,,
On which platforms is the ADS only single-channel rather than dual-redundant?,comparative,agentic,azure,none,12879,3166,316,3482,ADS-003,ADS-003;ADS-017;ADS-021;ADS-001;ADS-020,5,3,continue,semantic
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,vanilla,local,none,6210,557,67,624,ADS-007;ADS-025;FMS-013;EOIR-029;RADAR-005,ADS-007;ADS-025;FMS-013;EOIR-029;RADAR-005,5,0,,
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,vanilla,local,azure,5654,533,60,593,ADS-007;STR7-INS-002;ADS-025;ADS-008;RADAR-005,ADS-007;STR7-INS-002;ADS-025;ADS-008;RADAR-005,5,0,,
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,agentic,local,none,15724,3304,343,3647,ADS-007,ADS-007;ADS-025;ADS-024;ADS-008;ADS-006,5,2,sufficient,semantic
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,vanilla,azure,none,2487,534,67,601,ADS-007;RADAR-005;ADS-025;ADS-008;ADS-010,ADS-007;RADAR-005;ADS-025;ADS-008;ADS-010,5,0,,
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,vanilla,azure,azure,33262,487,64,551,ADS-007;STR7-INS-002;ADS-025;ADS-010;AUTO-012,ADS-007;STR7-INS-002;ADS-025;ADS-010;AUTO-012,5,0,,
"What pressure-altitude accuracy is required at sea level vs at 44,000 ft?",semantic_specific,agentic,azure,none,13722,3160,342,3502,ADS-007,ADS-007;ADS-025;ADS-018;ADS-008;ADS-010,5,3,continue,semantic
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,vanilla,local,none,8183,612,229,841,BIT-003;INS-004;HMI-003;PWR-003;FCC-004,BIT-003;INS-004;HMI-003;PWR-003;FCC-004,5,0,,
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,vanilla,local,azure,39189,561,243,804,EMS-003;EPS-003;ENG-003;LDG-003;BIT-003,EMS-003;EPS-003;ENG-003;LDG-003;BIT-003,5,0,,
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,agentic,local,none,29597,6025,606,6631,BIT-003;INS-004;EMS-003;EPS-003;BIT-039,BIT-003;INS-004;HMI-003;EMS-003;EPS-003;BIT-039;NAV-032;CDL-C5;RADAR-025;FMS-039;FDR-C4;STR-001;ADS-023;FCC-037,14,3,continue,semantic
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,vanilla,azure,none,4702,566,225,791,EMS-003;EPS-003;BIT-003;GCS-004;FCC-004,EMS-003;EPS-003;BIT-003;GCS-004;FCC-004,5,0,,
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,vanilla,azure,azure,37485,502,241,743,EMS-003;TCS-003;EPS-003;NAV-004;BIT-003,EMS-003;TCS-003;EPS-003;NAV-004;BIT-003,5,0,,
"If a requirement says it 'derives from' ARP4761, what does that imply about its safety classification?",semantic_general,agentic,azure,none,20382,5007,480,5487,EMS-003;FCC-004;EPS-003;ENG-003;BIT-003,EMS-003;FCC-004;DLNK-017;EPS-003;ENG-003;BIT-013;ENG-037;BIT-040;BIT-003;SEC-035;PLD-007;BIT-035;BIT-029,13,3,continue,semantic
