query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,n_cited,n_gold,hop_count,stratum,is_cross_module
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,agentic,azure,none,0,16616,5915,438,6353,ADS-010;ADS-005;ADS-019;ADS-027,FCC-032;STR7-FCC-003;ALX2-FCC-003;NBC3-FCC-002;FCC-021;FCC-049;FCC-052;FCC-029;ADS-027;ADS-019;NBC3-ADS-001;ADS-010;ADS-005,13,3,continue,semantic,,,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,graphrag,azure,none,0,4900,1695,203,1898,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014;FMS-043;ENG-025;FUEL-012;EMS-017;ENG-020;FMS-025;ENG-038;FDR-016;FUEL-018;GCS-013,FMS-018;FUEL-015;FUEL-011;FMS-017;FUEL-014;FMS-043;ENG-025;FUEL-012;EMS-017;ENG-020;FMS-025;ENG-038;FDR-016;FUEL-018;GCS-013,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,agentic-graph,azure,none,0,19569,6912,377,7289,FCC-032;FCC-005;AUTO-010;FMS-030;HMI-040,FCC-032;ALX2-FCC-003;STR7-FCC-003;NBC3-FCC-002;FCC-021;AUTO-010;FCC-005;FMS-030;HMI-040,9,3,continue,semantic,,,0.0,0.0,0.0,0.0,5,2,1,1-hop,True
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,adaptive,azure,none,0,15778,4721,464,5185,FCC-032;ADS-001,FCC-032;ALX2-FCC-003;NBC3-FCC-002;STR7-FCC-003;FCC-049;ADS-019;ADS-005;ADS-010;ADS-027;NBC3-ADS-001,10,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.0,0.0,0.0,0.0,2,2,1,1-hop,True
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,vanilla,azure,none,0,5747,553,295,848,LDG-031;LDG-015;FCC-048;INS-015;NAV-013,LDG-031;LDG-015;FCC-048;INS-015;NAV-013,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,agentic,azure,none,0,14940,3590,499,4089,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;LDG-010;INS-015,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,graphrag,azure,none,0,5611,1294,234,1528,LDG-031;LDG-015;FCC-048;INS-015;NAV-013;FCC-033;ALX2-INS-001;INS-054;ALX2-FCC-002;BIT-010;FCC-008;FDR-018;INS-021;INS-031;INS-032,LDG-031;LDG-015;FCC-048;INS-015;NAV-013;FCC-033;ALX2-INS-001;INS-054;ALX2-FCC-002;BIT-010;FCC-008;FDR-018;INS-021;INS-031;INS-032,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,agentic-graph,azure,none,0,15049,4177,527,4704,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;LDG-010;INS-015,5,3,continue,semantic,,,0.6667,1.0,0.8,1.0,3,2,1,1-hop,False
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,adaptive,azure,none,0,20279,5143,740,5883,LDG-031;LDG-015;FCC-048,LDG-031;LDG-015;FCC-048;LDG-010;INS-015;LDG-009;LDG-002;FCC-033;FCC-053;NBC3-FCC-002;SKT1-FCC-001,11,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=True, numeric=False)",0.6667,1.0,0.8,1.0,3,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,vanilla,azure,none,0,3170,753,136,889,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic,azure,none,0,2123,159,68,227,AES-256,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,1,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,graphrag,azure,none,0,3711,1705,117,1822,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019;SEC-023;PLD-012;CDL-021;APM-033;AUTO-006;AUTO-034;CDL-040;COMM-030;DLNK-013;EMS-009,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019;SEC-023;PLD-012;CDL-021;APM-033;AUTO-006;AUTO-034;CDL-040;COMM-030;DLNK-013;EMS-009,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,agentic-graph,azure,none,0,2664,159,55,214,,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,0,2,1,1-hop,False
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,adaptive,azure,none,0,3377,753,131,884,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019,SEC-005;SEC-017;SEC-010;CDL-012;COMM-019,5,0,,,vanilla,R2: explicit_id (1) + no_traceability_kw → cheap top-K,0.4,1.0,0.5714,1.0,5,2,1,1-hop,False
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,vanilla,azure,none,0,7880,576,490,1066,SAR-009;SAR-013;INS-019;GPS-012;GPS-004,SAR-009;SAR-013;INS-019;GPS-012;GPS-004,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic,azure,none,0,21204,5004,760,5764,NAV-010;WGS-84;NAV-020;NAV-019;NAV-027,NAV-011;NAV-008;NAV-015;NAV-002;SKT1-NAV-001;NAV-019;NAV-010;NAV-020;NAV-018;NAV-016;NAV-027,11,3,continue,semantic,,,0.0,0.0,0.0,0.0,5,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,graphrag,azure,none,0,8282,1334,422,1756,SAR-009;SAR-013;INS-019;GPS-012;GPS-004;INS-022;NAV-011;PLD-019;AUTO-014;FCC-043;GPS-010;GPS-011;GPS-015;INS-009;INS-020,SAR-009;SAR-013;INS-019;GPS-012;GPS-004;INS-022;NAV-011;PLD-019;AUTO-014;FCC-043;GPS-010;GPS-011;GPS-015;INS-009;INS-020,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,agentic-graph,azure,none,0,16888,4177,580,4757,NAV-011;NAV-002;NAV-008;NAV-015;NAV-001,NAV-011;NAV-008;NAV-015;NAV-002;SKT1-NAV-001,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,5,2,1,1-hop,True
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,adaptive,azure,none,0,8595,576,413,989,SAR-009;SAR-013;INS-019;GPS-012;GPS-004,SAR-009;SAR-013;INS-019;GPS-012;GPS-004,5,0,,,vanilla,R5: numeric_hint + single_module (SAR) → top-K,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,vanilla,azure,none,0,4711,568,241,809,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,agentic,azure,none,0,17202,4716,680,5396,FCC-023;EMS-006;FCC-009;FCC-010;AUTO-009,EMS-006;FCC-010;EMS-004;AUTO-009;ENG-008;FCC-023;FCC-010;FCC-030;STR7-FCC-006;FCC-009,9,3,continue,semantic,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,graphrag,azure,none,0,6724,1566,334,1900,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010;AUTO-010;EMS-004;FCC-009;BIT-024;EMS-001;EMS-006;EMS-010;EMS-020;EMS-033;EPS-001,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010;AUTO-010;EMS-004;FCC-009;BIT-024;EMS-001;EMS-006;EMS-010;EMS-020;EMS-033;EPS-001,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,agentic-graph,azure,none,0,18670,6708,614,7322,FCC-023;EMS-006;FCC-009;FCC-010,EMS-006;FCC-010;EMS-004;AUTO-009;ENG-008;FCC-023;FCC-030;ALX2-FCC-003;FCC-019;SKT1-FCC-003;EMS-034;FCC-009,12,3,continue,semantic,,,0.5,1.0,0.6667,1.0,4,2,1,1-hop,True
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,adaptive,azure,none,0,7890,1566,378,1944,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010;AUTO-010;EMS-004;FCC-009;BIT-024;EMS-001;EMS-006;EMS-010;EMS-020;EMS-033;EPS-001,AUTO-009;FCC-010;FCC-023;EMS-002;FMS-010;AUTO-010;EMS-004;FCC-009;BIT-024;EMS-001;EMS-006;EMS-010;EMS-020;EMS-033;EPS-001,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,vanilla,azure,none,0,2618,518,94,612,EMS-034;EPS-024;HMI-120;ENG-008;EMS-005,EMS-034;EPS-024;HMI-120;ENG-008;EMS-005,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,agentic,azure,none,0,15187,3744,542,4286,EMS-034;EMS-006,EMS-034;EMS-005;HMI-120;ENG-008;FDR-015,5,2,sufficient,semantic,,,1.0,1.0,1.0,0.5,2,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,graphrag,azure,none,0,3805,1340,112,1452,EMS-034;EPS-024;HMI-120;ENG-008;EMS-005;EMS-009;EMS-035;HMI-210;COMM-021;EMS-006;EMS-023;EPS-004;EPS-005;EPS-006;EPS-011,EMS-034;EPS-024;HMI-120;ENG-008;EMS-005;EMS-009;EMS-035;HMI-210;COMM-021;EMS-006;EMS-023;EPS-004;EPS-005;EPS-006;EPS-011,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,agentic-graph,azure,none,0,15443,5113,554,5667,EMS-034;EMS-006,EMS-034;EPS-024;HMI-120;EMS-005;ENG-008;EMS-009;EMS-006;EMS-002;PLD-007;EMS-004,10,3,continue,semantic,,,1.0,1.0,1.0,1.0,2,2,1,1-hop,False
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,adaptive,azure,none,0,21709,3632,476,4108,EMS-034;EMS-006;EMS-005,EMS-034;EPS-024;HMI-120;EMS-005;ENG-008,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",0.6667,1.0,0.8,0.5,3,2,1,1-hop,False
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,vanilla,azure,none,0,4009,481,173,654,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic,azure,none,0,16252,4992,450,5442,STR-008;EMS-020,EMS-020;FCC-030;EMS-029;EMS-007;FCC-023;EMS-005;EMS-014;EMS-004;EMS-002;EMS-010;EMS-017;EMS-011,12,3,continue,semantic,,,1.0,1.0,1.0,0.5,2,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,graphrag,azure,none,0,6271,1813,311,2124,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021;STR-002;EMS-007;FMS-038;EMS-033;FCC-010;FCC-038;FCC-049;STR-008;ALX2-FCC-004;AUTO-025,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021;STR-002;EMS-007;FMS-038;EMS-033;FCC-010;FCC-038;FCC-049;STR-008;ALX2-FCC-004;AUTO-025,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic-graph,azure,none,0,16063,5226,462,5688,STR-008;EMS-020,EMS-020;FMS-031;FCC-030;HMI-045;FCC-023,5,3,continue,semantic,,,1.0,1.0,1.0,0.5,2,2,1,1-hop,True
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,adaptive,azure,none,0,3896,481,174,655,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021,EMS-020;FMS-031;FCC-030;HMI-045;FCC-021,5,0,,,vanilla,R5: numeric_hint + single_module (EMS) → top-K,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,vanilla,azure,none,0,7152,472,411,883,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,agentic,azure,none,0,12292,2314,607,2921,FDR-045;GCS-010;GCS-018;GCS-019,FDR-015;FDR-012;FDR-035;FDR-040;FDR-045;GCS-010;GCS-018;GCS-038;GCS-019;GCS-022,10,0,sufficient,semantic,,,0.5,1.0,0.6667,1.0,4,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,graphrag,azure,none,0,6760,1485,344,1829,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018;FDR-035;FDR-022;FCC-012;AUTO-010;FCC-037;FDR-008;FDR-045;FMS-022;LDG-026;NBC3-GPS-002,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018;FDR-035;FDR-022;FCC-012;AUTO-010;FCC-037;FDR-008;FDR-045;FMS-022;LDG-026;NBC3-GPS-002,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,agentic-graph,azure,none,0,18837,5617,745,6362,FDR-008;FCC-012,ADS-005;ADS-001;ADS-017;ADS-016;ADS-014;FCC-012;NBC3-FCC-004;FCC-002;FCC-007;FCC-031,10,3,continue,semantic,,,0.0,0.0,0.0,0.0,2,2,1,1-hop,True
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,adaptive,azure,none,0,7271,1485,377,1862,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018;FDR-035;FDR-022;FCC-012;AUTO-010;FCC-037;FDR-008;FDR-045;FMS-022;LDG-026;NBC3-GPS-002,GCS-010;FDR-012;FDR-002;FDR-015;GCS-018;FDR-035;FDR-022;FCC-012;AUTO-010;FCC-037;FDR-008;FDR-045;FMS-022;LDG-026;NBC3-GPS-002,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,vanilla,azure,none,0,3769,504,210,714,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,agentic,azure,none,0,13315,3667,391,4058,HMI-020;FCC-003,HMI-020;HMI-050;HMI-090;HMI-060;HMI-045,5,3,continue,semantic,,,0.5,0.5,0.5,0.5,2,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,graphrag,azure,none,0,5122,1232,201,1433,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009;HMI-060;HMI-010;HMI-045;ADS-014;ALX2-AUTO-003;AUTO-010;AUTO-031;ENG-018;ENG-028;ENG-044,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009;HMI-060;HMI-010;HMI-045;ADS-014;ALX2-AUTO-003;AUTO-010;AUTO-031;ENG-018;ENG-028;ENG-044,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,agentic-graph,azure,none,0,14842,4344,455,4799,HMI-020;FCC-003,HMI-020;HMI-050;HMI-090;HMI-060;HMI-045,5,3,continue,semantic,,,0.5,0.5,0.5,0.5,2,2,1,1-hop,True
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,adaptive,azure,none,0,4457,1232,171,1403,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009;HMI-060;HMI-010;HMI-045;ADS-014;ALX2-AUTO-003;AUTO-010;AUTO-031;ENG-018;ENG-028;ENG-044,HMI-020;ALX2-FCC-003;HMI-050;HMI-090;HMI-009;HMI-060;HMI-010;HMI-045;ADS-014;ALX2-AUTO-003;AUTO-010;AUTO-031;ENG-018;ENG-028;ENG-044,15,0,,,graphrag,R4: traceability_kw + no_explicit_id → structural retrieval,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,vanilla,azure,none,0,4034,599,191,790,PLD-026;PLD-030;ENG-033;NBC3-FCC-003;PLD-031,PLD-026;PLD-030;ENG-033;NBC3-FCC-003;PLD-031,5,0,,,,,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,agentic,azure,none,0,2357,160,81,241,STD-1760,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,1,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,graphrag,azure,none,0,6963,1352,278,1630,PLD-026;PLD-030;ENG-033;NBC3-FCC-003;PLD-031;PLD-001;PLD-023;NBC3-CDL-001;EOIR-002;EOIR-025;FCC-003;HMI-155;SAR-021;ALX2-AUTO-003;ALX2-FCC-001,PLD-026;PLD-030;ENG-033;NBC3-FCC-003;PLD-031;PLD-001;PLD-023;NBC3-CDL-001;EOIR-002;EOIR-025;FCC-003;HMI-155;SAR-021;ALX2-AUTO-003;ALX2-FCC-001,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,agentic-graph,azure,none,0,2456,160,68,228,STD-1760,,0,0,sufficient,id_lookup,,,0.0,0.0,0.0,0.0,1,2,1,1-hop,True
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,adaptive,azure,none,0,5317,599,232,831,PLD-026;PLD-030;ENG-033;NBC3-FCC-003;PLD-031,PLD-026;PLD-030;ENG-033;NBC3-FCC-003;PLD-031,5,0,,,vanilla,R2: explicit_id (1) + no_traceability_kw → cheap top-K,0.2,0.5,0.2857,0.5,5,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,vanilla,azure,none,0,7257,691,490,1181,FCC-031;FCC-040;FCC-007;GCS-011;CDL-030,FCC-031;FCC-040;FCC-007;GCS-011;CDL-030,5,0,,,,,0.4,1.0,0.5714,1.0,5,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,agentic,azure,none,0,12101,2621,628,3249,CDL-030;FCC-031;FCC-040;CDL-035;GCS-022;FCC-007,ADS-026;ADS-014;ADS-021;ADS-017;ADS-004;FCC-031;FCC-040;FCC-007;FCC-018;SKT1-FCC-003,10,0,sufficient,semantic,,,0.3333,1.0,0.5,0.5,6,2,1,1-hop,True
"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,graphrag,azure,none,0,9125,1929,534,2463,FCC-031;FCC-040;FCC-007;GCS-011;CDL-030;FMS-022;SEC-008;SEC-003_1;AUTO-001;AUTO-006;AUTO-033;CDL-013;CDL-035;CDL-040;COMM-023,FCC-031;FCC-040;FCC-007;GCS-011;CDL-030;FMS-022;SEC-008;SEC-003_1;AUTO-001;AUTO-006;AUTO-033;CDL-013;CDL-035;CDL-040;COMM-023,15,0,,,,,0.1333,1.0,0.2353,1.0,15,2,1,1-hop,True
